,PseKNC_5_Xc1.AAA,PseKNC_5_Xc1.AAC,PseKNC_5_Xc1.AAG,PseKNC_5_Xc1.AAT,PseKNC_5_Xc1.ACA,PseKNC_5_Xc1.ACC,PseKNC_5_Xc1.ACG,PseKNC_5_Xc1.ACT,PseKNC_5_Xc1.AGA,PseKNC_5_Xc1.AGC,PseKNC_5_Xc1.AGG,PseKNC_5_Xc1.AGT,PseKNC_5_Xc1.ATA,PseKNC_5_Xc1.ATC,PseKNC_5_Xc1.ATG,PseKNC_5_Xc1.ATT,PseKNC_5_Xc1.CAA,PseKNC_5_Xc1.CAC,PseKNC_5_Xc1.CAG,PseKNC_5_Xc1.CAT,PseKNC_5_Xc1.CCA,PseKNC_5_Xc1.CCC,PseKNC_5_Xc1.CCG,PseKNC_5_Xc1.CCT,PseKNC_5_Xc1.CGA,PseKNC_5_Xc1.CGC,PseKNC_5_Xc1.CGG,PseKNC_5_Xc1.CGT,PseKNC_5_Xc1.CTA,PseKNC_5_Xc1.CTC,PseKNC_5_Xc1.CTG,PseKNC_5_Xc1.CTT,PseKNC_5_Xc1.GAA,PseKNC_5_Xc1.GAC,PseKNC_5_Xc1.GAG,PseKNC_5_Xc1.GAT,PseKNC_5_Xc1.GCA,PseKNC_5_Xc1.GCC,PseKNC_5_Xc1.GCG,PseKNC_5_Xc1.GCT,PseKNC_5_Xc1.GGA,PseKNC_5_Xc1.GGC,PseKNC_5_Xc1.GGG,PseKNC_5_Xc1.GGT,PseKNC_5_Xc1.GTA,PseKNC_5_Xc1.GTC,PseKNC_5_Xc1.GTG,PseKNC_5_Xc1.GTT,PseKNC_5_Xc1.TAA,PseKNC_5_Xc1.TAC,PseKNC_5_Xc1.TAG,PseKNC_5_Xc1.TAT,PseKNC_5_Xc1.TCA,PseKNC_5_Xc1.TCC,PseKNC_5_Xc1.TCG,PseKNC_5_Xc1.TCT,PseKNC_5_Xc1.TGA,PseKNC_5_Xc1.TGC,PseKNC_5_Xc1.TGG,PseKNC_5_Xc1.TGT,PseKNC_5_Xc1.TTA,PseKNC_5_Xc1.TTC,PseKNC_5_Xc1.TTG,PseKNC_5_Xc1.TTT,PseKNC_5_Xc2.lambda.1,PseKNC_5_Xc2.lambda.2,PseKNC_5_Xc2.lambda.3,PseKNC_5_Xc2.lambda.4,PseKNC_5_Xc2.lambda.5
DVU1278,0.001,0.003,0.004,0.001,0.002,0.004,0.004,0.001,0.004,0.002,0.005,0.001,0,0.003,0.003,0.001,0.004,0.003,0.004,0.004,0.004,0.004,0.004,0.003,0.004,0.006,0.005,0.004,0,0.003,0.003,0.002,0.004,0.004,0.004,0.002,0.005,0.004,0.006,0.003,0.003,0.006,0.004,0.004,0,0.004,0.004,0.002,0,0.001,0,0,0.004,0.002,0.006,0.002,0.002,0.004,0.003,0.002,0,0.003,0.002,0.001,0.202,0.156,0.144,0.155,0.158
DVU1279,0,0.001,0.002,0,0.003,0.002,0.005,0.001,0.001,0.002,0.002,0.002,0.001,0.002,0.003,0.001,0.002,0.003,0.002,0.003,0.001,0.006,0.005,0.004,0.005,0.005,0.005,0.005,0.001,0.002,0.004,0.003,0.001,0.005,0.003,0.002,0.005,0.006,0.005,0.002,0.002,0.006,0.005,0.002,0.002,0.004,0.003,0.002,0,0.001,0,0.002,0.002,0.002,0.005,0.002,0.002,0.005,0.004,0.002,0,0.003,0.003,0.002,0.208,0.152,0.147,0.169,0.148
DVU1280,0,0.002,0.002,0.001,0.002,0.002,0.004,0.003,0.003,0.002,0.001,0.002,0.001,0.004,0.002,0,0.001,0.004,0.002,0.004,0.002,0.001,0.004,0.001,0.004,0.006,0.006,0.005,0.001,0.005,0.004,0.003,0.004,0.004,0.002,0.001,0.004,0.003,0.006,0.006,0.002,0.006,0.005,0.002,0.001,0.004,0.003,0.002,0,0.002,0,0.001,0.004,0.002,0.007,0.003,0.002,0.004,0.004,0.001,0,0.003,0.002,0.001,0.211,0.158,0.135,0.167,0.153
DVU1281,0.001,0.002,0.004,0.001,0.002,0.002,0.004,0.002,0.003,0.001,0.005,0.002,0.001,0.002,0.003,0.001,0.002,0.002,0.002,0.003,0.002,0.004,0.005,0.003,0.004,0.004,0.004,0.006,0,0.003,0.003,0.002,0.004,0.003,0.003,0.003,0.002,0.004,0.005,0.003,0.003,0.003,0.003,0.006,0.002,0.006,0.007,0.002,0,0.002,0.001,0.001,0.003,0.004,0.005,0.001,0.003,0.005,0.004,0.003,0,0.003,0.002,0.001,0.207,0.146,0.151,0.159,0.159
DVU1282,0.001,0.003,0.002,0.001,0.003,0.004,0.002,0.002,0.003,0.002,0.002,0.002,0.001,0.003,0.004,0.001,0.002,0.002,0.004,0.004,0.002,0.003,0.005,0.003,0.004,0.006,0.005,0.003,0.001,0.003,0.004,0.003,0.003,0.004,0.003,0.002,0.005,0.003,0.006,0.004,0.004,0.005,0.003,0.003,0.001,0.004,0.002,0.002,0,0.002,0,0.001,0.003,0.002,0.005,0.002,0.002,0.004,0.004,0.002,0,0.003,0.002,0.001,0.205,0.154,0.151,0.157,0.158
DVU1283,0.001,0.002,0.004,0.001,0.003,0.003,0.002,0.001,0.004,0.002,0.003,0.001,0.001,0.004,0.004,0.001,0.003,0.002,0.003,0.004,0.002,0.002,0.005,0.004,0.005,0.004,0.004,0.004,0.001,0.004,0.002,0.003,0.004,0.004,0.003,0.003,0.004,0.005,0.004,0.002,0.002,0.005,0.004,0.004,0.001,0.004,0.003,0.002,0,0.001,0,0.002,0.004,0.003,0.005,0.002,0.003,0.004,0.003,0.002,0,0.003,0.003,0.001,0.203,0.156,0.145,0.163,0.152
DVU1284,0.001,0.002,0.003,0,0.002,0.003,0.003,0.002,0.002,0.002,0.004,0.002,0.001,0.002,0.002,0.001,0.002,0.003,0.004,0.003,0.003,0.003,0.004,0.004,0.003,0.005,0.005,0.004,0.002,0.003,0.004,0.003,0.003,0.003,0.003,0.002,0.004,0.005,0.005,0.004,0.003,0.006,0.004,0.003,0.001,0.003,0.004,0.002,0,0.002,0,0.002,0.003,0.002,0.004,0.002,0.002,0.006,0.003,0.002,0.001,0.003,0.003,0.001,0.207,0.155,0.149,0.158,0.153
DVU1285,0.001,0.002,0.002,0.002,0.003,0.003,0.002,0.002,0.003,0.003,0.002,0,0.003,0.005,0.004,0.001,0.002,0.003,0.002,0.004,0.002,0.003,0.003,0.004,0.004,0.003,0.003,0.004,0.001,0.004,0.003,0.003,0.004,0.003,0.003,0.004,0.002,0.003,0.003,0.002,0.003,0.002,0.003,0.004,0.001,0.004,0.004,0.001,0,0.002,0.001,0.002,0.004,0.003,0.005,0.004,0.004,0.003,0.004,0.002,0,0.003,0.003,0.001,0.203,0.153,0.15,0.157,0.158
DVU1286,0,0.001,0.003,0,0.002,0.003,0.003,0.001,0.001,0.002,0.001,0.001,0,0.005,0.003,0.001,0.002,0.003,0.002,0.006,0.003,0.005,0.003,0.005,0.002,0.003,0.005,0.003,0.002,0.005,0.006,0.003,0.003,0.002,0.001,0.002,0.003,0.005,0.003,0.005,0.001,0.005,0.002,0.004,0.001,0.004,0.003,0.003,0,0.003,0,0.001,0.005,0.004,0.005,0.005,0.003,0.005,0.004,0.003,0,0.006,0.001,0.001,0.204,0.16,0.141,0.155,0.159
DVU1287,0.001,0.003,0.004,0.001,0.002,0.004,0.004,0.002,0.001,0.002,0.003,0.001,0,0.003,0.002,0.001,0.004,0.004,0.002,0.004,0.004,0.006,0.005,0.004,0.004,0.006,0.004,0.004,0.002,0.003,0.004,0.002,0.004,0.004,0.001,0.001,0.004,0.007,0.005,0.002,0.002,0.006,0.001,0.001,0.001,0.003,0.003,0.002,0,0.002,0.001,0,0.003,0.003,0.004,0.002,0.002,0.004,0.003,0.002,0,0.004,0.001,0,0.206,0.153,0.147,0.152,0.167
DVU1288,0,0.005,0.004,0,0.004,0.002,0.003,0.002,0.002,0.004,0.002,0.003,0.001,0.003,0.003,0,0.006,0.002,0.003,0.005,0.004,0.005,0.004,0.004,0.005,0.004,0.002,0.003,0.001,0.002,0.004,0.003,0.003,0.002,0.004,0.001,0.005,0.006,0.005,0.002,0.003,0.005,0.004,0,0.002,0.002,0.003,0.001,0.001,0.002,0,0.001,0.002,0.004,0.002,0.002,0.001,0.005,0.003,0.002,0,0.002,0.001,0.001,0.208,0.145,0.152,0.153,0.163
DVU1289,0.001,0.003,0.004,0.001,0.003,0.004,0.004,0.002,0.002,0.003,0.001,0.002,0,0.003,0.003,0.001,0.004,0.005,0.001,0.004,0.004,0.005,0.005,0.003,0.005,0.004,0.005,0.003,0.001,0.003,0.004,0.003,0.004,0.003,0.003,0.002,0.004,0.006,0.004,0.003,0.003,0.005,0.001,0.002,0.001,0.002,0.003,0.002,0,0.002,0,0,0.004,0.003,0.004,0.002,0.002,0.005,0.004,0.001,0,0.004,0.001,0.001,0.206,0.153,0.15,0.156,0.155
DVU1290,0,0.002,0.002,0,0.001,0.003,0.003,0.003,0.002,0.002,0.001,0.002,0.001,0.002,0.003,0.001,0.002,0.002,0.002,0.004,0.002,0.004,0.006,0.003,0.003,0.007,0.003,0.003,0.001,0.004,0.004,0.006,0.002,0.002,0.002,0.002,0.003,0.004,0.004,0.006,0.002,0.004,0.002,0.003,0.002,0.003,0.003,0.002,0,0.002,0,0.001,0.004,0.004,0.005,0.003,0.002,0.004,0.004,0.002,0,0.007,0.002,0.003,0.205,0.154,0.146,0.158,0.159
DVU1291,0.004,0.003,0.003,0.003,0.002,0.004,0.003,0.002,0.002,0.001,0.004,0.002,0.002,0.003,0.005,0.001,0.002,0.001,0.004,0.004,0.003,0.004,0.004,0.003,0.005,0.004,0.003,0.002,0.001,0.003,0.002,0.002,0.007,0.004,0.002,0.004,0.004,0.004,0.003,0.001,0.005,0.003,0.003,0.002,0.001,0.002,0.002,0.002,0.001,0.003,0,0.001,0.003,0.002,0.003,0.002,0.004,0.004,0.003,0.001,0.001,0.003,0.002,0.001,0.2,0.151,0.155,0.153,0.16
DVU1292,0.006,0.001,0.002,0.002,0.002,0.006,0.002,0.002,0.003,0.002,0.002,0.001,0.001,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.004,0.005,0.003,0.002,0.006,0.005,0.003,0.001,0.002,0.003,0.001,0.002,0.003,0.006,0.002,0.002,0.003,0.001,0.006,0.002,0.001,0.001,0.004,0.005,0.001,0.001,0.003,0.003,0,0.002,0.001,0.002,0.002,0.002,0.004,0.002,0.004,0.004,0.002,0.001,0.001,0.004,0.004,0.005,0.198,0.15,0.156,0.156,0.16
DVU4003,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.006,0.002,0,0.001,0.002,0.003,0.001,0.003,0.002,0.006,0.003,0.002,0.007,0.004,0.006,0.003,0.005,0.004,0.002,0.002,0.005,0.006,0.002,0.004,0.003,0,0.001,0.006,0.007,0.005,0.004,0.003,0.004,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.002,0,0,0.003,0.004,0.002,0.002,0.001,0.007,0.003,0.002,0,0.003,0.003,0.003,0.2,0.161,0.135,0.166,0.156
DVU1294,0.003,0.002,0.003,0.002,0.002,0.001,0.003,0.001,0.003,0.002,0.003,0.004,0.001,0.003,0.004,0.001,0.002,0.001,0.003,0.005,0.002,0.002,0.004,0.002,0.004,0.004,0.002,0.004,0,0.004,0.004,0.004,0.005,0.002,0.004,0.002,0.003,0.003,0.004,0.005,0.003,0.004,0.004,0.004,0,0.007,0.004,0.004,0,0.001,0.001,0.001,0.005,0.004,0.004,0.005,0.003,0.004,0.005,0.004,0.001,0.004,0.004,0.004,0.2,0.151,0.151,0.164,0.145
DVU1295,0.002,0.002,0.008,0.001,0.001,0.004,0.003,0.002,0.003,0.003,0.003,0.002,0,0.003,0.003,0.001,0.004,0.002,0.002,0.003,0.003,0.005,0.005,0.004,0.006,0.005,0.003,0.003,0.001,0.004,0.005,0.003,0.007,0.004,0.001,0.002,0.004,0.006,0.004,0.005,0.002,0.006,0.002,0.002,0.001,0.003,0.004,0.002,0,0.002,0,0,0.003,0.003,0.005,0.002,0.004,0.004,0.004,0.002,0,0.004,0.001,0.001,0.198,0.156,0.142,0.16,0.157
DVU1296,0.009,0.001,0.001,0.004,0.005,0.005,0,0.001,0.001,0,0.001,0.001,0.001,0.005,0.005,0.001,0.007,0.003,0.003,0.003,0.004,0.001,0.004,0.004,0.001,0.001,0.004,0.005,0,0.001,0,0.004,0,0.004,0,0.007,0,0.003,0.005,0,0.004,0.003,0.004,0.001,0,0.003,0.004,0.004,0,0.004,0,0,0.005,0.004,0.003,0,0.005,0.004,0.003,0.003,0.003,0.003,0.005,0,0.199,0.152,0.143,0.178,0.153
DVU1297,0.013,0.002,0.007,0.007,0.004,0.001,0.001,0.002,0.004,0.004,0.005,0,0.002,0.001,0.004,0.005,0.01,0.004,0.002,0.001,0.001,0,0.001,0.001,0.001,0.005,0.002,0.001,0,0.001,0.005,0.001,0.005,0.001,0.002,0.002,0.008,0.001,0.005,0.002,0.002,0.007,0.005,0,0.001,0.002,0.001,0,0.002,0.001,0,0.001,0.004,0.001,0.002,0.001,0.005,0.001,0.002,0.004,0.001,0.004,0.002,0.002,0.197,0.15,0.165,0.158,0.15
DVU1298,0.002,0.002,0.007,0,0.003,0.006,0.002,0.001,0.003,0.003,0.003,0.001,0,0.003,0.001,0,0.003,0.006,0.003,0.002,0.005,0.005,0.006,0.005,0.001,0.006,0.006,0.006,0.002,0.003,0,0.001,0.004,0.002,0,0.001,0.003,0.005,0.008,0.001,0.002,0.005,0.001,0.002,0.002,0.003,0.005,0.001,0.002,0.002,0,0,0.003,0.004,0.004,0,0.001,0.003,0.001,0.003,0,0.002,0.001,0,0.211,0.143,0.153,0.155,0.164
DVU1299,0.002,0.002,0.008,0,0.003,0.004,0.002,0.002,0.005,0.002,0.004,0.001,0,0.002,0.002,0.001,0.003,0.002,0.003,0.002,0.003,0.007,0.005,0.004,0.004,0.007,0.002,0.003,0.001,0.005,0.004,0.004,0.007,0.004,0.002,0.001,0.002,0.007,0.004,0.005,0.002,0.004,0.001,0.005,0.002,0.002,0.005,0.001,0,0.002,0,0.001,0.003,0.001,0.005,0.004,0.004,0.003,0.004,0.002,0,0.004,0.002,0.001,0.2,0.157,0.143,0.154,0.153
DVU1300,0.001,0.002,0.005,0.001,0.002,0.004,0.003,0.001,0.003,0.003,0.003,0.002,0,0.005,0.002,0.001,0.003,0.002,0.002,0.004,0.003,0.003,0.004,0.003,0.006,0.004,0.004,0.005,0.001,0.002,0.004,0.003,0.004,0.005,0.003,0.002,0.003,0.004,0.005,0.003,0.002,0.004,0.002,0.003,0.002,0.004,0.004,0.002,0,0.001,0,0.001,0.004,0.003,0.006,0.003,0.003,0.004,0.003,0.002,0,0.004,0.001,0.001,0.204,0.158,0.141,0.159,0.159
DVU1301,0.001,0.003,0.003,0,0,0.002,0.003,0.002,0.002,0.002,0.004,0.002,0.001,0.002,0.003,0.001,0.001,0.002,0.001,0.002,0.002,0.001,0.007,0.002,0.004,0.006,0.007,0.006,0,0.004,0.004,0.002,0.004,0.002,0.005,0.004,0.003,0.005,0.007,0.003,0.006,0.005,0.004,0.001,0.003,0.004,0.003,0.002,0.002,0,0.001,0.001,0.001,0.004,0.006,0.003,0.003,0.005,0.001,0.003,0,0.004,0.002,0.002,0.202,0.15,0.145,0.158,0.162
DVU1302,0.001,0.002,0.005,0.001,0.004,0.002,0.004,0.001,0.003,0.005,0.002,0.003,0.001,0.005,0.002,0.001,0.005,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.005,0.001,0.002,0.005,0.001,0.002,0.004,0.003,0.003,0.005,0.003,0.004,0.004,0.003,0.004,0.001,0.001,0.002,0.002,0.004,0.002,0.001,0.002,0.002,0.002,0.003,0.004,0.004,0.001,0.004,0.002,0.004,0.002,0.002,0.001,0.001,0,0.209,0.148,0.159,0.143,0.172
DVU1303,0.003,0.002,0.007,0.001,0.001,0.004,0.003,0.001,0.002,0.003,0.004,0.001,0,0.004,0.003,0.001,0.005,0.002,0.002,0.003,0.004,0.004,0.007,0.004,0.003,0.005,0.004,0.004,0.001,0.002,0.005,0.002,0.004,0.003,0.001,0.002,0.003,0.005,0.002,0.004,0.002,0.005,0.004,0.007,0.002,0.005,0.004,0.003,0.001,0.001,0,0,0.004,0.005,0.004,0.001,0.003,0.001,0.006,0.002,0,0.004,0.001,0.001,0.195,0.165,0.137,0.155,0.162
DVU1304,0.001,0.002,0.007,0,0.003,0.003,0.002,0.001,0.003,0.004,0.003,0.002,0,0.003,0.001,0.001,0.005,0.003,0.004,0.002,0.003,0.006,0.005,0.004,0.004,0.006,0.003,0.004,0,0.005,0.005,0.002,0.004,0.002,0.002,0.002,0.004,0.007,0.005,0.005,0.002,0.006,0.001,0.003,0.001,0.003,0.005,0.003,0.001,0.001,0,0,0.005,0.002,0.005,0.002,0.002,0.005,0.004,0.003,0,0.004,0.002,0.001,0.201,0.151,0.15,0.15,0.162
DVU1305,0.005,0.002,0.008,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.008,0.002,0.001,0.004,0.001,0.001,0.006,0.001,0.003,0.002,0.001,0.005,0.008,0.003,0.005,0.003,0.002,0.006,0.001,0.005,0,0.003,0.005,0.004,0.002,0.002,0.001,0.006,0.003,0.002,0.003,0.005,0.003,0.005,0.002,0.005,0.005,0.003,0.002,0.002,0.001,0.001,0.008,0.003,0.004,0.003,0.002,0.001,0.003,0.002,0.001,0.005,0.002,0,0.19,0.158,0.148,0.158,0.151
DVU1306,0,0.003,0.005,0,0.003,0.004,0.002,0.001,0.002,0.003,0.003,0.001,0,0.004,0.001,0.001,0.005,0.003,0.002,0.003,0.003,0.004,0.007,0.003,0.004,0.006,0.004,0.005,0.001,0.004,0.004,0.002,0.003,0.003,0.002,0.001,0.004,0.005,0.004,0.004,0.001,0.005,0.002,0.005,0.002,0.005,0.004,0.001,0.001,0.002,0,0.001,0.003,0.004,0.006,0.001,0.002,0.003,0.004,0.001,0,0.002,0.001,0,0.206,0.16,0.138,0.162,0.157
DVU1307,0.003,0.002,0.008,0,0.002,0.004,0.003,0,0.006,0.003,0.001,0.003,0.002,0.002,0.005,0,0.003,0.003,0.001,0.004,0.004,0.003,0.004,0.003,0.003,0.004,0.002,0.005,0,0.002,0.004,0.001,0.006,0.003,0.002,0.003,0.003,0.006,0.003,0.003,0.001,0.004,0.002,0.003,0.002,0.003,0.004,0.004,0.001,0.001,0.001,0.001,0.002,0.003,0.003,0.002,0.004,0.003,0.006,0.003,0.001,0.003,0.001,0.001,0.205,0.154,0.148,0.148,0.167
DVU1308,0.001,0.002,0.004,0.003,0.001,0.003,0.003,0.002,0.003,0.005,0.003,0,0.002,0.002,0.004,0.001,0.003,0.002,0.005,0.003,0.004,0.006,0.005,0.001,0.004,0.006,0.003,0.007,0.001,0.002,0.004,0.001,0.005,0.003,0.002,0.002,0.004,0.006,0.006,0.003,0.003,0.003,0.001,0.003,0.001,0.004,0.004,0.003,0.001,0.001,0.001,0.001,0.004,0.001,0.005,0.002,0.002,0.007,0.003,0.001,0.001,0.003,0.001,0.002,0.208,0.151,0.154,0.157,0.157
DVU1309,0.001,0.002,0.006,0.001,0.003,0.003,0.002,0.001,0.004,0.003,0.002,0.003,0,0.004,0.001,0.001,0.004,0.001,0.002,0.003,0.001,0.002,0.006,0.003,0.004,0.006,0.004,0.005,0,0.002,0.004,0.003,0.006,0.003,0.003,0.001,0.003,0.004,0.005,0.004,0.001,0.003,0.002,0.006,0.003,0.004,0.005,0.002,0,0.003,0.001,0.001,0.003,0.003,0.007,0.001,0.004,0.004,0.003,0.001,0,0.003,0.002,0.001,0.206,0.152,0.149,0.165,0.151
DVU1310,0.002,0.002,0.008,0.001,0.001,0.002,0.001,0.002,0.003,0.005,0.004,0,0,0.004,0.001,0.001,0.004,0.002,0.003,0.002,0.004,0.006,0.005,0.001,0.004,0.006,0.004,0.004,0,0.003,0.004,0.002,0.004,0.002,0.002,0.002,0.004,0.007,0.004,0.004,0.001,0.004,0.003,0.006,0.002,0.004,0.005,0.001,0.002,0,0,0.001,0.003,0.002,0.007,0.002,0.003,0.004,0.003,0.002,0.001,0.003,0,0.001,0.202,0.155,0.142,0.165,0.154
DVU1311,0.003,0.004,0.006,0.002,0.001,0.005,0.001,0.004,0.004,0.007,0.005,0,0.001,0.002,0.003,0.002,0.002,0.003,0.006,0.004,0.005,0.001,0.005,0.001,0.002,0.007,0.002,0.003,0,0.003,0.006,0.003,0.009,0.003,0.003,0.001,0.005,0.004,0.005,0.005,0.006,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.002,0,0.004,0.002,0.003,0.002,0.004,0.003,0.002,0.001,0.002,0.004,0,0,0.198,0.156,0.137,0.167,0.152
DVU1312,0.002,0.003,0.01,0.001,0.003,0.003,0.002,0.001,0.005,0.005,0.001,0.003,0,0.004,0.003,0.001,0.005,0.002,0.001,0.004,0.003,0.001,0.006,0.001,0.006,0.006,0.001,0.006,0.001,0.003,0.002,0.002,0.008,0.003,0.002,0.001,0.003,0.002,0.004,0.004,0.002,0.002,0.001,0.001,0.001,0.008,0.002,0.002,0.001,0.001,0.001,0.001,0.003,0.004,0.008,0.003,0.002,0.001,0.003,0.002,0.002,0.003,0.001,0,0.2,0.161,0.137,0.145,0.174
DVU1313,0,0.003,0.007,0.001,0.002,0.002,0.002,0.003,0.002,0.001,0.005,0.002,0.001,0.005,0.003,0.001,0.004,0.002,0.002,0.005,0.004,0.003,0.007,0.004,0.003,0.007,0.005,0.004,0.001,0.005,0.004,0.002,0.006,0.003,0,0.002,0.003,0.006,0.005,0.002,0.003,0.004,0.002,0.006,0.001,0.006,0.004,0.003,0.001,0.001,0.001,0.001,0.005,0.006,0.006,0.003,0.004,0.004,0.002,0.001,0,0.004,0.001,0,0.2,0.16,0.135,0.167,0.154
DVU1314,0.004,0.003,0.01,0.001,0.003,0.002,0.004,0.001,0.003,0.003,0.005,0.002,0,0.005,0.002,0.001,0.007,0.002,0.002,0.002,0.002,0.002,0.004,0.003,0.005,0.003,0.003,0.005,0.002,0.001,0.001,0.001,0.006,0.003,0.001,0.004,0.006,0.004,0.002,0.002,0.003,0.003,0.002,0.005,0.002,0.003,0.007,0.002,0.001,0.002,0,0.001,0.003,0.002,0.007,0.001,0.003,0.004,0.002,0.001,0,0.003,0.001,0.001,0.202,0.158,0.133,0.17,0.157
DVU1315,0.004,0.003,0.007,0.002,0.002,0.003,0.002,0.002,0.003,0.002,0.004,0.002,0.001,0.004,0.003,0.002,0.006,0.002,0.002,0.003,0.003,0.002,0.005,0.002,0.004,0.004,0.003,0.005,0.001,0.003,0.002,0.003,0.006,0.004,0.002,0.003,0.003,0.004,0.004,0.003,0.005,0.003,0.002,0.003,0.001,0.003,0.003,0.003,0.001,0.001,0,0.001,0.005,0.003,0.005,0.002,0.003,0.004,0.003,0.001,0,0.005,0.002,0.002,0.197,0.152,0.144,0.155,0.165
DVU1316,0,0.003,0.006,0,0.001,0.003,0,0.001,0,0.003,0.001,0.004,0.001,0.002,0.001,0,0.004,0,0.001,0.001,0,0.005,0.008,0.007,0.005,0.008,0.005,0.006,0.002,0.004,0.006,0.003,0.004,0,0.001,0.001,0.004,0.009,0.008,0.002,0.001,0.005,0,0.002,0.003,0.005,0.003,0.004,0.002,0.002,0,0.002,0.001,0.003,0.008,0.005,0,0.007,0.002,0.002,0,0.006,0.001,0,0.204,0.146,0.166,0.155,0.153
DVU1317,0.001,0.002,0.008,0.001,0.001,0.001,0.003,0.001,0.002,0.004,0.004,0.001,0.001,0.005,0.003,0.001,0.004,0.002,0.002,0.004,0.002,0.004,0.003,0.004,0.004,0.006,0.003,0.002,0.001,0.005,0.003,0.001,0.006,0.002,0.002,0.003,0.005,0.004,0.006,0.003,0.003,0.004,0.003,0.004,0.002,0.003,0.003,0.001,0.001,0.001,0,0.002,0.004,0.004,0.003,0.002,0.004,0.003,0.003,0.002,0,0,0.003,0,0.203,0.144,0.162,0.143,0.168
DVU1318,0.002,0.002,0.008,0.001,0.001,0.004,0.002,0.001,0.002,0.003,0.005,0.002,0.001,0.002,0.002,0.001,0.005,0.001,0.002,0.003,0.003,0.005,0.005,0.002,0.004,0.004,0.003,0.003,0.001,0.003,0.004,0.001,0.004,0.004,0.001,0.002,0.004,0.004,0.003,0.003,0.001,0.004,0.003,0.006,0.003,0.004,0.005,0.003,0.002,0.002,0.002,0,0.002,0.003,0.004,0.002,0.003,0.004,0.003,0.003,0.001,0.002,0.002,0.001,0.202,0.16,0.145,0.153,0.16
DVU1319,0.001,0.002,0.007,0.002,0.002,0.003,0.003,0.001,0.003,0.003,0.005,0,0,0.003,0.002,0.002,0.004,0.003,0.003,0.003,0.005,0.003,0.007,0.002,0.002,0.006,0.004,0.004,0.003,0.001,0.003,0,0.006,0.002,0.001,0.002,0.004,0.007,0.003,0.003,0.004,0.005,0,0.003,0,0.003,0.003,0.001,0.001,0.002,0,0,0.002,0.003,0.003,0.002,0.002,0.003,0.003,0.001,0,0.002,0.001,0,0.202,0.155,0.149,0.151,0.167
DVU1320,0.001,0.002,0.008,0,0.001,0.003,0.003,0,0.002,0.004,0.004,0.002,0,0.003,0.002,0.001,0.004,0.002,0.003,0.002,0.003,0.002,0.005,0.003,0.004,0.007,0.006,0.005,0,0.003,0.004,0.003,0.006,0.001,0.002,0.003,0.003,0.006,0.006,0.005,0.003,0.005,0.004,0.004,0.002,0.006,0.003,0.002,0,0.002,0,0,0.003,0.002,0.009,0.002,0.003,0.004,0.002,0.002,0,0.003,0.002,0,0.202,0.16,0.135,0.165,0.154
DVU1321,0,0.002,0.008,0,0.001,0.002,0.002,0.001,0.002,0.004,0.005,0.003,0,0.005,0.003,0.001,0.008,0.002,0.004,0.003,0.003,0.002,0.003,0.001,0.002,0.008,0.002,0.003,0,0.003,0.005,0,0.002,0.002,0.003,0.005,0.006,0.005,0.004,0.003,0.001,0.002,0.001,0.005,0.001,0.003,0.003,0.004,0.001,0,0,0,0.006,0,0.005,0.003,0.008,0.005,0.001,0,0,0.003,0.002,0.001,0.199,0.165,0.135,0.16,0.157
DVU1322,0,0.002,0.008,0,0.002,0.002,0.004,0,0.004,0.002,0.005,0.002,0,0.003,0.002,0,0.005,0.002,0.002,0.002,0.002,0.002,0.004,0.004,0.003,0.004,0.005,0.004,0,0.004,0.004,0.003,0.004,0.002,0.002,0.002,0.004,0.005,0.005,0.004,0.001,0.007,0.001,0.004,0.002,0.004,0.005,0.001,0.001,0.001,0,0,0.004,0.004,0.004,0.002,0.003,0.005,0.002,0.003,0,0.002,0.002,0.001,0.201,0.15,0.147,0.155,0.167
DVU1323,0,0.002,0.003,0.001,0.003,0.002,0.001,0.001,0.002,0.002,0.002,0.001,0.001,0.005,0.002,0.002,0.002,0.003,0.002,0.005,0.003,0.003,0.005,0.003,0.002,0.003,0.005,0.003,0.001,0.003,0.005,0.004,0.002,0.002,0.002,0.004,0.003,0.004,0.003,0.004,0.002,0.005,0.004,0.003,0.002,0.002,0.004,0.002,0.001,0.001,0,0.002,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0,0.005,0.003,0.002,0.203,0.157,0.151,0.155,0.156
DVU1324,0.003,0.004,0.003,0.001,0.002,0.003,0.006,0.002,0.002,0.002,0.003,0.001,0.001,0.003,0.003,0.001,0.002,0.003,0.003,0.003,0.002,0.003,0.004,0.003,0.004,0.002,0.006,0.005,0.002,0.003,0.003,0.003,0.006,0.003,0.003,0.001,0.003,0.003,0.003,0.003,0.003,0.005,0.003,0.003,0.002,0.004,0.004,0.002,0,0.002,0.001,0.002,0.004,0.003,0.005,0.003,0.005,0.003,0.002,0.003,0,0.003,0.002,0.002,0.205,0.155,0.15,0.158,0.153
