,PseKNC_3_Xc1.AAA,PseKNC_3_Xc1.AAC,PseKNC_3_Xc1.AAG,PseKNC_3_Xc1.AAT,PseKNC_3_Xc1.ACA,PseKNC_3_Xc1.ACC,PseKNC_3_Xc1.ACG,PseKNC_3_Xc1.ACT,PseKNC_3_Xc1.AGA,PseKNC_3_Xc1.AGC,PseKNC_3_Xc1.AGG,PseKNC_3_Xc1.AGT,PseKNC_3_Xc1.ATA,PseKNC_3_Xc1.ATC,PseKNC_3_Xc1.ATG,PseKNC_3_Xc1.ATT,PseKNC_3_Xc1.CAA,PseKNC_3_Xc1.CAC,PseKNC_3_Xc1.CAG,PseKNC_3_Xc1.CAT,PseKNC_3_Xc1.CCA,PseKNC_3_Xc1.CCC,PseKNC_3_Xc1.CCG,PseKNC_3_Xc1.CCT,PseKNC_3_Xc1.CGA,PseKNC_3_Xc1.CGC,PseKNC_3_Xc1.CGG,PseKNC_3_Xc1.CGT,PseKNC_3_Xc1.CTA,PseKNC_3_Xc1.CTC,PseKNC_3_Xc1.CTG,PseKNC_3_Xc1.CTT,PseKNC_3_Xc1.GAA,PseKNC_3_Xc1.GAC,PseKNC_3_Xc1.GAG,PseKNC_3_Xc1.GAT,PseKNC_3_Xc1.GCA,PseKNC_3_Xc1.GCC,PseKNC_3_Xc1.GCG,PseKNC_3_Xc1.GCT,PseKNC_3_Xc1.GGA,PseKNC_3_Xc1.GGC,PseKNC_3_Xc1.GGG,PseKNC_3_Xc1.GGT,PseKNC_3_Xc1.GTA,PseKNC_3_Xc1.GTC,PseKNC_3_Xc1.GTG,PseKNC_3_Xc1.GTT,PseKNC_3_Xc1.TAA,PseKNC_3_Xc1.TAC,PseKNC_3_Xc1.TAG,PseKNC_3_Xc1.TAT,PseKNC_3_Xc1.TCA,PseKNC_3_Xc1.TCC,PseKNC_3_Xc1.TCG,PseKNC_3_Xc1.TCT,PseKNC_3_Xc1.TGA,PseKNC_3_Xc1.TGC,PseKNC_3_Xc1.TGG,PseKNC_3_Xc1.TGT,PseKNC_3_Xc1.TTA,PseKNC_3_Xc1.TTC,PseKNC_3_Xc1.TTG,PseKNC_3_Xc1.TTT,PseKNC_3_Xc2.lambda.1,PseKNC_3_Xc2.lambda.2,PseKNC_3_Xc2.lambda.3
DVU1327,0.003,0.004,0.009,0.001,0.005,0.005,0.005,0.001,0.008,0.006,0.006,0,0,0.004,0.003,0.001,0.008,0.006,0.006,0.006,0.008,0.007,0.01,0.002,0.002,0.01,0.008,0.008,0.002,0.003,0.002,0.001,0.005,0.004,0.005,0.001,0.006,0.011,0.007,0.003,0.002,0.008,0.006,0.006,0.001,0.006,0.003,0.004,0.001,0.001,0,0.001,0.007,0.004,0.006,0.002,0.003,0.003,0.003,0.001,0,0.006,0.001,0.002,0.296,0.231,0.204
DVU1328,0.002,0.004,0.009,0,0.002,0.004,0.004,0.002,0.003,0.005,0.004,0.003,0.001,0.004,0.002,0.002,0.004,0.003,0.005,0.003,0.003,0.004,0.011,0.004,0.007,0.01,0.003,0.008,0.002,0.003,0.003,0.005,0.007,0.003,0.002,0.004,0.005,0.008,0.007,0.006,0.001,0.006,0.001,0.004,0.003,0.005,0.006,0.002,0.002,0.003,0,0.002,0.004,0.006,0.006,0.002,0.004,0.005,0.003,0.002,0.001,0.006,0.003,0.003,0.302,0.224,0.219
DVU1329,0.002,0.005,0.007,0.002,0.003,0.005,0.004,0.003,0.005,0.006,0.005,0.002,0.002,0.005,0.006,0.002,0.006,0.003,0.005,0.005,0.004,0.003,0.005,0.003,0.01,0.005,0.006,0.005,0.002,0.007,0.004,0.004,0.007,0.006,0.006,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.004,0.005,0.001,0.006,0.004,0.002,0.001,0.001,0.001,0.002,0.007,0.003,0.009,0.006,0.004,0.005,0.004,0.001,0,0.006,0.001,0.001,0.288,0.223,0.221
DVU1330,0,0.003,0.006,0.001,0.001,0.006,0.005,0.002,0.003,0.006,0.005,0.001,0.001,0.005,0.001,0.001,0.005,0.005,0.003,0.003,0.003,0.008,0.009,0.007,0.006,0.008,0.005,0.01,0.002,0.005,0.008,0.003,0.004,0.003,0.005,0.003,0.008,0.01,0.008,0.006,0.002,0.011,0.001,0.001,0.002,0.004,0.004,0.004,0.001,0.003,0.001,0,0.004,0.003,0.007,0.003,0.003,0.006,0.005,0.002,0,0.004,0.004,0,0.302,0.23,0.209
DVU1331,0.002,0.001,0.004,0.001,0.001,0.003,0.002,0.002,0.003,0.004,0.003,0.003,0.001,0.005,0.006,0.003,0.001,0.002,0.004,0.006,0.001,0.003,0.007,0.008,0.005,0.006,0.005,0.005,0.001,0.005,0.006,0.007,0.005,0.004,0.003,0.005,0.005,0.007,0.007,0.007,0.003,0.007,0.007,0.003,0.003,0.005,0.008,0.002,0,0.001,0.001,0.002,0.005,0.006,0.006,0.003,0.008,0.008,0.005,0.006,0,0.005,0.007,0.002,0.3,0.222,0.215
DVU1333,0.004,0.008,0.002,0.006,0.009,0.002,0.004,0.004,0.002,0.002,0,0.002,0.004,0,0.006,0,0.009,0.004,0,0.002,0,0.004,0.002,0,0.006,0.011,0.004,0.006,0,0.002,0.006,0.004,0.002,0.006,0.004,0,0.004,0,0.017,0.004,0.002,0.004,0.004,0.004,0.004,0.004,0.008,0.006,0.004,0.002,0.002,0,0.002,0,0.004,0.004,0.002,0.008,0.006,0.009,0,0.004,0.006,0.002,0.329,0.199,0.237
DVU1334,0.001,0.003,0.009,0.002,0.003,0.004,0.004,0.002,0.006,0.005,0.007,0.002,0.001,0.004,0.005,0.001,0.005,0.002,0.006,0.005,0.004,0.005,0.01,0.004,0.009,0.01,0.003,0.006,0.001,0.005,0.005,0.003,0.009,0.006,0.005,0.004,0.007,0.009,0.005,0.005,0.004,0.006,0.001,0.005,0.001,0.007,0.004,0.002,0,0.002,0.001,0.001,0.004,0.005,0.01,0.003,0.004,0.005,0.004,0.002,0,0.005,0.001,0.002,0.293,0.231,0.207
DVU1335,0,0.001,0.003,0.002,0.005,0.004,0.002,0.001,0.003,0.005,0.004,0.002,0.003,0.007,0.005,0.002,0.002,0.004,0.007,0.007,0.006,0.004,0.006,0.004,0.005,0.007,0.004,0.004,0.002,0.004,0.006,0.002,0.004,0.004,0.004,0.004,0.005,0.008,0.008,0.006,0.004,0.008,0.005,0.001,0.003,0.002,0.003,0.001,0,0.003,0.002,0.004,0.005,0.004,0.005,0.003,0.004,0.006,0.004,0.001,0,0.004,0.001,0.002,0.307,0.215,0.231
DVU1336,0.001,0.004,0.007,0.001,0.004,0.004,0.005,0.001,0.005,0.004,0.007,0.001,0.001,0.008,0.004,0.001,0.005,0.003,0.005,0.007,0.005,0.004,0.006,0.004,0.009,0.008,0.006,0.004,0.001,0.005,0.004,0.003,0.006,0.005,0.005,0.004,0.006,0.006,0.008,0.006,0.003,0.008,0.004,0.004,0.002,0.004,0.004,0.002,0.001,0.002,0,0.001,0.006,0.004,0.008,0.003,0.002,0.006,0.003,0.003,0,0.004,0.001,0.001,0.3,0.222,0.218
DVU1337,0.001,0.003,0.007,0.001,0.002,0.005,0.006,0.002,0.006,0.004,0.006,0.002,0.001,0.005,0.003,0.001,0.005,0.003,0.004,0.004,0.005,0.006,0.007,0.005,0.008,0.008,0.006,0.005,0.001,0.005,0.005,0.003,0.006,0.006,0.007,0.004,0.006,0.007,0.008,0.005,0.005,0.007,0.004,0.004,0.002,0.005,0.005,0.002,0.001,0.002,0,0.001,0.004,0.004,0.008,0.003,0.003,0.007,0.004,0.002,0.001,0.003,0.002,0.001,0.294,0.223,0.217
DVU1338,0.001,0.004,0.004,0,0.003,0.008,0.005,0.002,0.005,0.005,0.004,0.001,0.001,0.003,0.004,0,0.003,0.008,0.007,0.003,0.004,0.008,0.009,0.007,0.006,0.009,0.006,0.005,0.001,0.006,0.006,0.004,0.005,0.005,0.004,0.004,0.008,0.01,0.006,0.004,0.003,0.007,0.004,0.004,0.001,0.004,0.006,0.001,0,0.002,0.001,0,0.005,0.003,0.005,0.003,0.004,0.007,0.004,0.003,0,0.003,0.002,0,0.301,0.229,0.208
DVU1339,0.001,0.005,0.004,0.001,0.003,0.005,0.006,0.003,0.001,0.002,0.006,0.001,0.001,0.002,0.003,0.001,0.005,0.003,0.005,0.003,0.004,0.009,0.009,0.005,0.007,0.011,0.009,0.005,0.001,0.007,0.005,0.004,0.005,0.006,0.002,0.001,0.005,0.008,0.009,0.006,0.005,0.009,0.005,0.005,0.001,0.006,0.006,0.002,0,0.002,0,0,0.005,0.004,0.008,0.004,0.002,0.006,0.004,0.005,0,0.005,0.002,0.001,0.296,0.225,0.211
DVU1340,0,0.003,0.003,0.001,0.004,0.004,0.009,0.005,0.003,0.002,0.004,0.001,0.001,0.002,0.004,0,0.003,0.01,0.002,0.003,0.008,0.012,0.01,0.006,0.006,0.013,0.007,0.005,0.002,0.005,0.006,0.004,0.004,0.007,0.005,0.001,0.005,0.013,0.006,0.004,0.004,0.006,0.003,0.005,0.002,0.005,0.004,0.002,0.001,0.002,0,0.001,0,0.007,0.007,0.003,0.004,0.007,0.003,0.003,0,0.004,0.002,0.001,0.306,0.215,0.218
DVU1341,0.001,0.002,0.001,0,0.001,0.004,0.005,0.001,0.001,0.003,0.002,0.001,0.001,0.005,0.006,0.001,0.001,0.004,0.003,0.009,0.004,0.005,0.008,0.009,0.004,0.012,0.008,0.005,0.002,0.008,0.007,0.005,0.001,0.004,0.002,0.002,0.007,0.012,0.003,0.008,0.002,0.009,0.006,0.006,0.001,0.006,0.006,0.003,0,0.002,0.001,0.001,0.004,0.005,0.012,0.003,0.003,0.007,0.007,0.004,0,0.006,0.002,0.001,0.305,0.237,0.2
DVU1342,0,0.003,0.002,0,0.004,0.007,0.005,0.003,0.002,0.004,0.003,0.003,0,0.003,0.006,0,0.004,0.005,0.006,0.004,0.005,0.009,0.007,0.005,0.007,0.005,0.008,0.007,0.002,0.006,0.004,0.005,0.002,0.007,0.002,0.002,0.006,0.006,0.006,0.006,0.003,0.011,0.007,0.002,0.003,0.004,0.003,0.003,0,0.003,0.001,0.002,0.004,0.004,0.008,0.003,0.003,0.005,0.004,0.002,0.001,0.006,0.001,0.001,0.298,0.225,0.221
DVU1343,0.001,0.003,0.003,0.001,0.003,0.007,0.005,0.003,0.002,0.004,0.003,0.002,0,0.004,0.005,0,0.003,0.007,0.006,0.007,0.008,0.009,0.01,0.005,0.007,0.014,0.005,0.004,0.002,0.005,0.003,0.004,0.004,0.007,0.002,0.001,0.008,0.013,0.007,0.003,0.002,0.006,0.003,0.003,0.001,0.004,0.004,0.002,0,0.002,0,0.001,0.004,0.002,0.008,0.003,0.002,0.007,0.003,0.002,0,0.004,0.002,0.001,0.305,0.225,0.216
DVU1344,0.001,0.002,0.004,0.002,0.002,0.005,0.004,0.002,0.004,0.003,0.005,0.002,0.002,0.006,0.003,0.001,0.005,0.003,0.003,0.006,0.005,0.005,0.008,0.003,0.007,0.01,0.007,0.005,0,0.005,0.005,0.002,0.003,0.006,0.006,0.003,0.005,0.006,0.009,0.005,0.004,0.009,0.005,0.005,0.002,0.005,0.007,0.001,0,0.002,0,0.001,0.005,0.004,0.009,0.002,0.003,0.005,0.005,0.003,0,0.002,0.002,0.001,0.303,0.225,0.217
DVU1345,0.001,0.003,0.006,0,0.002,0.005,0.005,0.002,0.003,0.004,0.005,0.002,0.001,0.003,0.004,0,0.004,0.003,0.004,0.005,0.005,0.006,0.009,0.005,0.009,0.009,0.006,0.006,0.002,0.006,0.005,0.003,0.005,0.006,0.004,0.002,0.005,0.009,0.009,0.006,0.002,0.009,0.005,0.004,0.001,0.004,0.007,0.002,0,0.003,0,0,0.004,0.004,0.008,0.002,0.003,0.007,0.005,0.002,0,0.005,0.001,0,0.302,0.221,0.217
DVU1346,0.001,0.002,0.002,0,0.001,0.003,0.006,0.003,0.003,0.005,0.005,0.001,0.001,0.002,0.003,0.001,0.002,0.004,0.005,0.004,0.003,0.006,0.008,0.004,0.006,0.012,0.008,0.006,0.001,0.004,0.004,0.005,0.003,0.005,0.006,0.003,0.005,0.009,0.011,0.005,0.005,0.008,0.007,0.005,0.003,0.004,0.006,0.003,0,0.002,0.001,0.001,0.003,0.003,0.007,0.002,0.003,0.006,0.005,0.003,0,0.005,0.003,0.003,0.306,0.213,0.228
DVU1347,0,0.001,0.004,0,0.002,0.002,0.004,0.002,0.001,0.004,0.006,0.001,0.001,0.002,0.003,0.001,0.002,0.002,0.004,0.005,0.002,0.004,0.01,0.002,0.006,0.009,0.008,0.009,0.001,0.002,0.004,0.004,0.003,0.004,0.005,0.001,0.006,0.007,0.011,0.004,0.002,0.007,0.006,0.009,0.002,0.007,0.009,0.004,0,0.003,0.001,0.001,0.002,0.004,0.007,0.004,0.004,0.008,0.005,0.004,0.001,0.006,0.003,0.002,0.314,0.217,0.218
DVU1348,0.001,0.001,0.012,0,0.001,0.003,0.006,0.001,0.008,0.008,0.01,0.002,0.002,0.001,0.002,0.002,0.003,0.001,0.006,0,0,0.006,0.008,0.006,0.012,0.012,0.005,0.002,0.001,0.005,0.007,0.003,0.008,0.007,0.01,0.008,0.007,0.009,0.009,0.007,0.012,0.009,0.006,0.001,0.001,0.002,0.003,0.001,0.001,0.002,0.001,0,0.002,0.001,0.007,0.002,0.003,0.003,0.007,0.001,0,0.005,0.002,0.002,0.28,0.24,0.198
DVU1349,0.001,0.001,0.002,0,0.002,0.005,0.004,0.001,0.002,0.003,0.004,0.001,0.001,0.004,0.005,0.001,0.002,0.002,0.006,0.006,0.005,0.003,0.005,0.007,0.007,0.009,0.008,0.005,0.002,0.007,0.005,0.004,0.002,0.008,0.003,0.003,0.008,0.008,0.008,0.006,0.002,0.01,0.007,0.004,0.001,0.004,0.005,0.002,0,0.001,0.001,0.002,0.001,0.004,0.011,0.003,0.004,0.008,0.004,0.002,0,0.004,0.003,0,0.301,0.23,0.217
DVU1350,0.001,0.003,0.003,0.001,0.002,0.004,0.006,0.002,0.002,0.003,0.005,0.001,0.001,0.005,0.004,0.001,0.002,0.004,0.004,0.006,0.005,0.004,0.008,0.005,0.007,0.008,0.007,0.007,0.001,0.005,0.006,0.003,0.004,0.006,0.004,0.003,0.006,0.009,0.007,0.005,0.004,0.011,0.007,0.003,0.002,0.004,0.006,0.002,0,0.002,0.001,0.001,0.004,0.005,0.007,0.003,0.003,0.005,0.006,0.003,0,0.006,0.001,0.001,0.302,0.226,0.213
DVU1351,0,0.002,0.001,0.001,0.002,0.003,0.002,0.002,0.002,0.002,0.003,0.001,0,0.008,0.008,0,0.001,0.003,0.004,0.012,0.004,0.009,0.01,0.006,0.006,0.012,0.005,0.007,0,0.007,0.004,0.006,0.003,0.003,0.003,0.003,0.006,0.012,0.01,0.004,0.003,0.01,0.006,0.002,0.001,0.004,0.004,0.001,0,0.001,0,0.001,0.007,0.004,0.008,0.006,0.002,0.007,0.007,0.001,0,0.007,0.001,0.001,0.303,0.225,0.211
DVU1352,0.002,0.005,0.004,0.004,0.005,0.008,0.007,0.003,0.002,0.001,0.005,0.001,0,0.003,0.005,0.001,0.006,0.01,0.001,0.003,0.005,0.005,0.007,0.006,0.007,0.007,0.007,0.007,0.002,0.006,0.003,0.005,0.007,0.004,0.004,0.001,0.005,0.008,0.005,0.004,0.004,0.005,0.003,0.005,0.003,0.005,0.006,0.001,0,0.005,0.001,0,0.004,0.002,0.009,0.003,0.003,0.008,0.003,0.003,0.001,0.004,0.002,0.001,0.308,0.205,0.232
DVU1353,0.001,0.003,0.007,0.001,0.004,0.006,0.006,0.002,0.004,0.003,0.005,0.002,0.001,0.004,0.004,0.001,0.005,0.005,0.004,0.006,0.005,0.006,0.006,0.005,0.008,0.01,0.006,0.004,0.002,0.005,0.004,0.004,0.006,0.007,0.004,0.002,0.006,0.008,0.008,0.005,0.004,0.007,0.004,0.004,0.001,0.004,0.004,0.002,0,0.003,0,0.001,0.005,0.002,0.008,0.003,0.002,0.006,0.004,0.002,0,0.005,0.001,0.001,0.301,0.219,0.218
DVU1354,0,0,0,0.001,0.002,0.003,0.001,0,0,0.002,0.001,0.001,0.001,0.004,0.011,0.001,0,0.003,0.003,0.01,0.002,0.012,0.011,0.005,0.002,0.014,0.008,0.007,0.001,0.001,0.004,0.004,0.001,0.001,0.001,0.002,0.008,0.012,0.014,0.002,0.003,0.008,0.002,0.004,0.002,0.007,0.004,0.003,0,0.002,0,0.003,0.004,0.004,0.005,0.002,0.001,0.012,0.005,0.004,0.001,0.003,0.004,0.001,0.325,0.2,0.243
DVU1355,0,0.001,0.003,0.002,0.002,0.006,0.003,0,0.005,0.002,0.008,0.002,0,0.005,0.004,0.001,0.002,0.005,0.005,0.004,0.004,0.005,0.009,0.006,0.005,0.009,0.011,0.003,0,0.003,0.008,0.007,0.003,0.005,0.01,0.003,0.005,0.011,0.008,0.005,0.005,0.011,0.009,0.007,0.002,0.005,0.007,0.002,0,0.001,0,0.002,0.005,0.002,0.008,0.006,0.006,0.008,0.004,0.003,0.001,0.007,0.002,0,0.294,0.235,0.195
DVU1356,0,0.002,0.002,0.001,0.004,0.005,0.003,0.002,0.002,0.003,0.003,0.002,0.001,0.004,0.006,0,0.002,0.005,0.004,0.005,0.002,0.007,0.009,0.004,0.006,0.01,0.007,0.006,0,0.003,0.005,0.005,0.002,0.006,0.003,0.003,0.006,0.007,0.012,0.005,0.004,0.008,0.006,0.005,0.002,0.003,0.008,0.002,0.001,0.001,0.001,0.001,0.005,0.002,0.005,0.002,0.002,0.009,0.006,0.004,0,0.005,0.002,0.001,0.314,0.212,0.225
DVU1357,0,0.002,0.002,0,0.002,0.004,0.004,0.001,0.001,0.002,0.004,0.001,0,0.002,0.006,0.001,0.002,0.002,0.002,0.005,0.002,0.005,0.008,0.005,0.004,0.01,0.006,0.01,0.002,0.003,0.007,0.002,0.002,0.004,0.004,0.002,0.006,0.009,0.011,0.007,0.003,0.009,0.01,0.004,0.002,0.004,0.009,0.004,0,0.003,0.001,0.001,0.001,0.002,0.006,0.002,0.003,0.012,0.006,0.004,0,0.003,0.004,0.002,0.317,0.211,0.227
DVU1358,0,0.003,0.003,0.001,0.002,0.006,0.01,0.003,0.002,0.003,0.003,0,0,0.002,0.003,0.002,0.002,0.008,0.003,0.004,0.003,0.006,0.011,0.004,0.009,0.009,0.007,0.006,0.001,0.002,0.008,0.003,0.005,0.009,0.002,0.002,0.007,0.009,0.006,0.006,0.004,0.008,0.005,0.004,0,0.005,0.007,0.002,0,0.001,0,0,0.004,0.002,0.006,0.002,0.004,0.007,0.005,0.004,0,0.005,0.002,0.001,0.308,0.228,0.209
DVU1359,0.001,0.003,0.004,0.001,0.003,0.006,0.006,0.002,0.002,0.004,0.004,0.001,0.001,0.004,0.004,0.001,0.003,0.005,0.003,0.006,0.003,0.009,0.011,0.004,0.007,0.012,0.006,0.005,0.003,0.006,0.004,0.002,0.004,0.005,0.003,0.002,0.006,0.008,0.007,0.005,0.003,0.006,0.006,0.005,0.003,0.004,0.003,0.002,0,0.005,0.001,0.002,0.004,0.004,0.006,0.004,0.002,0.004,0.004,0.002,0,0.005,0.001,0.001,0.308,0.219,0.22
DVU1360,0.001,0.004,0.002,0.001,0.003,0.005,0.005,0.003,0.002,0.004,0.003,0.001,0.002,0.004,0.005,0.001,0.005,0.003,0.004,0.006,0.003,0.007,0.006,0.005,0.006,0.007,0.008,0.007,0.002,0.004,0.006,0.003,0.002,0.006,0.004,0.003,0.008,0.008,0.009,0.004,0.002,0.011,0.004,0.003,0.001,0.006,0.005,0.002,0,0.002,0.001,0.002,0.004,0.002,0.009,0.003,0.004,0.006,0.005,0.004,0,0.004,0.002,0.002,0.309,0.225,0.217
DVU1361,0.001,0.002,0.003,0.001,0.002,0.006,0.003,0.003,0.001,0.002,0.004,0.001,0.001,0.005,0.005,0.002,0.002,0.005,0.004,0.008,0.004,0.011,0.009,0.007,0.005,0.011,0.007,0.004,0.002,0.006,0.005,0.004,0.004,0.004,0.002,0.002,0.008,0.01,0.008,0.004,0.004,0.009,0.004,0.003,0.001,0.004,0.005,0,0,0.002,0,0.001,0.004,0.003,0.007,0.003,0.002,0.008,0.005,0.001,0,0.004,0.002,0,0.306,0.22,0.219
DVU1362,0,0.003,0.002,0,0.003,0.006,0.004,0.002,0.001,0.003,0.002,0,0,0.006,0.005,0.001,0.002,0.005,0.003,0.01,0.006,0.007,0.007,0.006,0.004,0.012,0.006,0.005,0.001,0.007,0.009,0.003,0.003,0.004,0.001,0.002,0.005,0.01,0.008,0.007,0.002,0.008,0.006,0.003,0.001,0.004,0.005,0.003,0,0.002,0,0,0.006,0.003,0.008,0.005,0.003,0.007,0.006,0.004,0,0.005,0.002,0.001,0.308,0.229,0.207
DVU1363,0.001,0.004,0.004,0,0.004,0.006,0.008,0.005,0.003,0.002,0.004,0.001,0,0.003,0.002,0.001,0.005,0.005,0.004,0.005,0.004,0.006,0.01,0.006,0.006,0.009,0.007,0.006,0.002,0.003,0.007,0.005,0.004,0.009,0.001,0.001,0.008,0.009,0.006,0.003,0.004,0.008,0.006,0.004,0.001,0.005,0.005,0.002,0,0.003,0,0,0.003,0.004,0.005,0.003,0.002,0.007,0.006,0.003,0,0.004,0.004,0.001,0.299,0.221,0.223
DVU1364,0.001,0.005,0.004,0.001,0.006,0.008,0.007,0.003,0.003,0.002,0.003,0.002,0.002,0.002,0.004,0.001,0.004,0.004,0.004,0.005,0.005,0.007,0.008,0.006,0.008,0.009,0.007,0.005,0.003,0.005,0.005,0.004,0.006,0.009,0.002,0.001,0.002,0.008,0.007,0.006,0.004,0.007,0.006,0.002,0.002,0.004,0.004,0.002,0,0.005,0.001,0.001,0.005,0.004,0.006,0.002,0.003,0.005,0.004,0.002,0,0.005,0.002,0.002,0.302,0.227,0.213
DVU1365,0.002,0.002,0.003,0.002,0.003,0.004,0.006,0.002,0.002,0.003,0.005,0.001,0.001,0.004,0.005,0.001,0.002,0.005,0.005,0.006,0.003,0.006,0.008,0.004,0.008,0.007,0.007,0.006,0,0.003,0.006,0.004,0.005,0.006,0.003,0.002,0.008,0.007,0.008,0.005,0.003,0.009,0.007,0.006,0.002,0.003,0.006,0.004,0,0.002,0,0.001,0.003,0.004,0.007,0.003,0.003,0.008,0.007,0.002,0,0.007,0.002,0.001,0.307,0.217,0.222
DVU1366,0,0.001,0.004,0.001,0.003,0.004,0.003,0.002,0.002,0.003,0.006,0.001,0,0.004,0.004,0.002,0.002,0.003,0.004,0.004,0.002,0.007,0.009,0.005,0.007,0.008,0.007,0.007,0.002,0.003,0.009,0.004,0.004,0.005,0.004,0.003,0.006,0.009,0.01,0.005,0.003,0.012,0.007,0.004,0.002,0.007,0.004,0.002,0,0.002,0,0.001,0.003,0.003,0.007,0.005,0.004,0.006,0.007,0.003,0,0.005,0.003,0.001,0.295,0.223,0.223
DVU1367,0.001,0.007,0.009,0,0.006,0.004,0.006,0.003,0.009,0.006,0.003,0,0,0.004,0.001,0.001,0.009,0.001,0.004,0.001,0.004,0.004,0.009,0.006,0.007,0.001,0.012,0.01,0.001,0.006,0.004,0.004,0.006,0.01,0.004,0.003,0.001,0.007,0.003,0.006,0.006,0.007,0.013,0.004,0.003,0.01,0,0.003,0.003,0,0,0.001,0.004,0.007,0.013,0.001,0.001,0.003,0.003,0.001,0,0.006,0.003,0.003,0.266,0.245,0.2
DVU1368,0,0.003,0.003,0.001,0.003,0.003,0.006,0.002,0.001,0.003,0.005,0.002,0,0.003,0.003,0.001,0.003,0.005,0.003,0.004,0.004,0.005,0.007,0.005,0.007,0.008,0.008,0.007,0.001,0.004,0.006,0.004,0.003,0.005,0.004,0.002,0.006,0.01,0.009,0.006,0.004,0.011,0.005,0.005,0.001,0.005,0.009,0.002,0,0.002,0,0.001,0.002,0.003,0.007,0.003,0.002,0.009,0.007,0.003,0,0.003,0.003,0.002,0.308,0.223,0.215
DVU1369,0.001,0.003,0.003,0.001,0.001,0.003,0.009,0.001,0.004,0.003,0.004,0,0.001,0.001,0.007,0.001,0.001,0.002,0.003,0.001,0,0.008,0.008,0.005,0.009,0.01,0.011,0.003,0.002,0.001,0.007,0.004,0.005,0.007,0.005,0.005,0.005,0.008,0.012,0.007,0.007,0.008,0.005,0.003,0.001,0.001,0.006,0.003,0.001,0.001,0,0.002,0.002,0.003,0.003,0.001,0.003,0.012,0.003,0.004,0,0.005,0.003,0.003,0.303,0.214,0.227
DVU1370,0.001,0.001,0.002,0.001,0.001,0.004,0.005,0.003,0.004,0.002,0.005,0.001,0.001,0.001,0.004,0,0.001,0.003,0.003,0.003,0.001,0.006,0.011,0.007,0.008,0.012,0.007,0.006,0.001,0.006,0.008,0.004,0.003,0.008,0.005,0.002,0.005,0.012,0.009,0.006,0.003,0.009,0.005,0.004,0.001,0.005,0.005,0.003,0,0.001,0.001,0.001,0.002,0.004,0.007,0.003,0.003,0.01,0.004,0.003,0,0.004,0.003,0.002,0.297,0.222,0.221
DVU1371,0,0.002,0.001,0,0.005,0.004,0.006,0.004,0.002,0.003,0.005,0.001,0.001,0.004,0.004,0.002,0.002,0.004,0.004,0.007,0.003,0.004,0.006,0.004,0.007,0.009,0.006,0.006,0.002,0.003,0.006,0.004,0.001,0.009,0.004,0.002,0.008,0.006,0.008,0.005,0.004,0.006,0.006,0.004,0.001,0.004,0.007,0.001,0,0.004,0.001,0,0.002,0.004,0.008,0.003,0.004,0.009,0.003,0.003,0,0.006,0.001,0.001,0.314,0.209,0.227
DVU1372,0.002,0.002,0,0.006,0,0.006,0.001,0.003,0.002,0.002,0.001,0.001,0.002,0.01,0.002,0.002,0.004,0.002,0.003,0.005,0.003,0.005,0.007,0.005,0.003,0.009,0.003,0.009,0.005,0.006,0.006,0.003,0.002,0.003,0.001,0.002,0.005,0.006,0.004,0.005,0.001,0.003,0.002,0.007,0.002,0.007,0.011,0.002,0.001,0.003,0.002,0.003,0.006,0.003,0.013,0.007,0.002,0.006,0.007,0.005,0,0.007,0.001,0.001,0.31,0.242,0.2
DVU1373,0.001,0.001,0.004,0.003,0.004,0.004,0.003,0.001,0.005,0.007,0.008,0.002,0.001,0.005,0.005,0,0.004,0.005,0.007,0.003,0.003,0.005,0.007,0.005,0.007,0.012,0.007,0.004,0,0.006,0.004,0.004,0.003,0.005,0.01,0.004,0.008,0.009,0.012,0.006,0.004,0.01,0.008,0.004,0.001,0.003,0.004,0.002,0.001,0,0.001,0.001,0.005,0.002,0.008,0.003,0.006,0.006,0.003,0.001,0,0.005,0.002,0.001,0.295,0.221,0.219
DVU1374,0.002,0.002,0.007,0.002,0.003,0.002,0.005,0.001,0.007,0.002,0.006,0.003,0.002,0.002,0.004,0,0.006,0,0.006,0.002,0.001,0.004,0.007,0.003,0.003,0.007,0.012,0.003,0.002,0.003,0.005,0.004,0.006,0.008,0.005,0.001,0.007,0.007,0.007,0.007,0.005,0.013,0.01,0.006,0.001,0.007,0.005,0.002,0,0.001,0.002,0.002,0.002,0.001,0.008,0.002,0.004,0.007,0.006,0.002,0,0.002,0.005,0,0.287,0.23,0.22
DVU1375,0.004,0.005,0.015,0.001,0.005,0.005,0.006,0.004,0.01,0.01,0.01,0.001,0,0.003,0.004,0,0.005,0.006,0.008,0,0.004,0.004,0.003,0.004,0.009,0.005,0.003,0.004,0.001,0.006,0.008,0.005,0.016,0.008,0.008,0.001,0.008,0.004,0.004,0.008,0.009,0.004,0.001,0.004,0.005,0.005,0.001,0.001,0.001,0.001,0.001,0.003,0.003,0.001,0.008,0.005,0.005,0.004,0.004,0.004,0,0.003,0.004,0.001,0.283,0.21,0.22
