TACC_Dnase I.lag1,TACC_Dnase I.lag2,TACC_Nucleosome.lag1,TACC_Nucleosome.lag2,TACC_Dnase I.Nucleosome.lag.1,TACC_Dnase I.Nucleosome.lag.2,TACC_Nucleosome.Dnase I.lag.1,TACC_Nucleosome.Dnase I.lag.2
DVU1702,0.066,0.05,0.377,0.076,-0.195,-0.065,-0.205,-0.054
DVU1703,0.081,0.059,0.333,0.078,-0.16,-0.075,-0.186,-0.073
DVU1704,-0.031,0.015,0.265,-0.01,-0.094,0.007,-0.104,-0.057
DVU1705,0.236,0.131,0.636,0.269,-0.273,-0.074,-0.335,-0.217
DVU1707,0.163,0.005,0.518,0.14,-0.335,-0.149,-0.319,-0.11
DVU1708,0.104,0.105,0.486,0.143,-0.254,-0.061,-0.265,-0.115
DVU1709,0.1,0.096,0.397,0.105,-0.217,-0.103,-0.215,-0.101
DVU1710,-0.004,0.056,0.292,-0.002,-0.111,-0.014,-0.101,-0.042
DVU1711,-0.015,0.018,0.367,0.112,-0.104,-0.077,-0.037,-0.069
DVU1712,0.035,-0.019,0.231,-0.014,-0.126,0.022,-0.12,-0.003
DVU1713,0.011,-0.001,0.209,-0.045,-0.081,-0.014,-0.111,0.032
DVU1714,-0.003,-0.025,0.219,-0.015,-0.094,0.029,-0.075,0.015
DVU1715,-0.039,0.041,0.184,-0.003,-0.072,-0.036,-0.052,-0.013
DVU1716,0.064,-0.016,0.183,-0.051,-0.099,0.022,-0.142,0.024
DVU1717,-0.001,0.027,0.225,0.001,-0.134,-0.024,-0.092,-0.001
DVU1718,0.031,0.01,0.23,-0.021,-0.15,0.007,-0.105,-0.015
DVU1719,0.005,0.018,0.199,-0.044,-0.129,-0.004,-0.14,0.01
DVU1720,-0.057,0.036,0.27,0.106,-0.087,-0.09,-0.062,-0.023
DVU1721,0.008,-0.024,0.221,-0.021,-0.107,0.016,-0.105,0.024
DVU1722,0.011,-0.007,0.17,-0.041,-0.099,0.034,-0.06,0.021
DVU1723,-0.033,-0.036,0.198,-0.054,-0.092,0.032,-0.033,0.051
DVU1724,-0.011,-0.007,0.2,0.002,-0.088,0.009,-0.077,-0.002
DVU1725,-0.028,0.003,0.17,-0.025,-0.096,0.002,-0.026,0.006
DVU1726,0.007,-0.006,0.151,-0.059,-0.087,0.008,-0.073,0.063
DVU1727,-0.051,-0.036,0.189,0.013,0.007,0.047,-0.013,0.002
DVU1728,-0.002,0.001,0.187,-0.042,-0.087,0.023,-0.134,0.019
DVU1729,0.003,-0.012,0.318,-0.027,-0.043,-0.012,-0.101,-0.005
DVU1730,-0.041,-0.002,0.206,0.005,-0.086,0.021,-0.088,-0.016
DVU1731,0.148,0.029,0.751,0.367,-0.244,-0.097,-0.105,0.041
DVU1732,-0.016,0.158,0.547,0.187,-0.214,-0.115,-0.093,-0.049
DVU1733,-0.042,0.055,0.314,0.097,-0.107,-0.029,-0.054,-0.091
DVU1734,0.037,0.039,0.354,0.077,-0.149,-0.051,-0.207,-0.083
DVU1735,-0.002,0.076,0.45,0.031,-0.241,-0.01,-0.136,-0.086
DVU1736,0.034,0.076,0.292,0.062,-0.146,-0.091,-0.168,-0.073
DVU1737,0.005,0.107,0.18,0.04,-0.156,-0.103,-0.122,-0.11
DVU1738,-0.01,-0.002,0.22,-0.013,-0.084,0.02,-0.087,-0.01
DVU1740,0.011,0.021,0.263,-0.009,-0.193,-0.029,-0.114,0.038
DVU1741,0.011,0.02,0.304,0.037,-0.158,-0.028,-0.135,-0.024
DVU1742,0.021,-0.006,0.204,-0.04,-0.105,-0.023,-0.098,0.047
DVU1743,0.028,-0.023,0.224,-0.015,-0.12,0.013,-0.098,0.015
DVU1744,0.119,0.24,0.478,0.109,-0.166,-0.114,-0.17,-0.127
DVU1745,0.13,0.091,0.449,0.082,-0.215,-0.089,-0.239,-0.071
DVU1746,0.073,-0.007,0.376,0.029,-0.084,-0.002,-0.16,-0.024
DVU1747,0.101,0.031,0.401,0.058,-0.167,-0.039,-0.19,-0.053
DVU1748,0.226,0.098,0.566,0.19,-0.248,-0.076,-0.307,-0.144
DVU1749,0.062,0.12,0.457,0.154,-0.234,-0.054,-0.195,-0.104
DVU1750,0.077,0.052,0.343,0.057,-0.175,-0.08,-0.167,-0.044
DVU1751,0.192,0.071,0.783,0.311,-0.307,-0.101,-0.236,-0.133
DVU1752,0.089,-0.023,0.351,-0.074,-0.03,0.098,-0.106,-0.013
DVU1753,0.03,-0.005,0.348,0.108,-0.124,-0.07,-0.082,-0.016
DVU1754,-0.02,0.032,0.238,0.082,-0.08,-0.042,-0.105,-0.041
DVU1755,0.043,-0.018,0.225,0.032,-0.094,0.028,-0.089,-0.017
DVU1756,0.047,-0.036,0.261,0.041,-0.051,0.043,-0.071,-0.015
DVU1757,0.011,0.037,0.26,0.018,-0.092,-0.027,-0.114,-0.015
DVU1758,0.08,0.017,0.329,0.063,-0.159,-0.049,-0.185,-0.072
DVU1759,0.044,0.053,0.245,0.009,-0.158,0.021,-0.173,-0.11
DVU1760,0.024,0.037,0.404,0.068,-0.185,-0.05,-0.087,-0.024
DVU1761,0.076,0.23,0.425,0.197,-0.267,-0.226,-0.256,-0.177
DVU1762,-0.07,0.066,0.33,0.115,-0.032,-0.069,-0.054,-0.045
DVU1763,0.119,0.033,0.292,0.072,-0.149,-0.038,-0.101,-0.069
DVU1764,-0.052,0.085,0.184,-0.022,-0.09,-0.019,-0.076,-0.018
DVU1765,0.017,0.011,0.236,0.005,-0.089,0.009,-0.112,0.006
DVU1766,0.023,0.034,0.232,0.027,-0.128,-0.04,-0.134,-0.02
DVU1767,0.011,0.036,0.235,-0.01,-0.109,-0.035,-0.077,-0.01
DVU1768,-0.001,0.014,0.18,-0.014,-0.076,-0.014,-0.095,-0.012
DVU1769,0.013,0.012,0.199,-0.012,-0.122,-0.024,-0.097,0.008
DVU1770,0.062,-0.007,0.214,-0.048,-0.115,0.007,-0.123,0.004
DVU1771,0.051,0.031,0.25,0.03,-0.141,-0.042,-0.113,-0.035
DVU1772,0.009,0.01,0.264,0.041,-0.104,-0.025,-0.095,-0.022
DVU1773,0.182,0.164,0.476,0.128,-0.291,-0.138,-0.321,-0.191
DVU1774,0.059,-0.002,0.273,0.003,-0.149,0,-0.14,0.007
DVU1775,0.029,0.007,0.219,-0.036,-0.123,-0.019,-0.112,0.003
DVU1776,0.147,0.042,0.694,0.259,-0.221,-0.112,-0.186,0.081
DVU1777,0.047,0.003,0.337,0.041,-0.142,-0.057,-0.088,0.03
DVU1778,-0.015,-0.01,0.247,-0.01,-0.105,0.021,-0.064,-0.006
DVU1779,0.098,0.094,0.357,0.129,-0.248,-0.139,-0.135,-0.075
DVU1780,-0.007,0.102,0.332,0.084,-0.098,-0.088,-0.047,-0.072
DVU1781,0.074,0.031,0.291,0.036,-0.19,-0.013,-0.176,-0.041
DVU1782,0.057,0.052,0.271,0.062,-0.137,-0.041,-0.123,-0.018
DVU1783,-0.022,0.048,0.32,0.052,-0.109,-0.06,-0.054,-0.059
DVU1784,0.069,0.035,0.283,0.051,-0.141,-0.075,-0.119,-0.026
DVU1785,0.01,-0.006,0.29,0.079,-0.09,-0.025,-0.09,-0.032
DVU1786,0.011,0.037,0.333,0.104,-0.086,-0.029,-0.048,-0.033
DVU1787,0.05,-0.013,0.363,0.059,-0.102,-0.012,-0.142,-0.044
DVU1788,0.035,0.039,0.261,0.052,-0.158,-0.042,-0.14,-0.038
DVU1789,0.011,0.032,0.335,0.044,-0.143,-0.036,-0.104,-0.036
DVU1790,0.048,0.036,0.233,0.014,-0.152,-0.043,-0.133,-0.022
DVU1791,0.025,-0.031,0.288,0.001,-0.19,0.003,-0.121,0.015
DVU1792,-0.006,0.135,0.349,0.054,-0.194,-0.038,-0.151,-0.128
DVU1793,0.19,-0.027,0.731,0.268,0.165,0.213,0.335,0.298
DVU1794,-0.006,0.007,0.262,0.048,-0.153,-0.029,-0.074,0.045
DVU1795,0.021,-0.033,0.262,-0.05,-0.19,0.045,-0.198,0.022
DVU1796,0.172,0.162,0.492,0.165,-0.314,-0.184,-0.322,-0.179
DVU1797,0.022,0.022,0.245,0.023,-0.094,0.012,-0.126,-0.031
DVU1798,-0.006,0.014,0.297,0.051,-0.086,-0.009,-0.052,0.014
DVU1799,0.026,0.021,0.246,0.018,-0.091,-0.023,-0.081,-0.012
DVU4005,0.021,0.022,0.258,0.033,-0.074,-0.002,-0.032,0.016
DVU1801,0.068,0.002,0.349,0.081,-0.116,0.025,-0.09,0.009
DVU1802,-0.024,-0.036,0.226,-0.022,-0.081,0.03,-0.07,0.026
DVU1803,0.009,-0.001,0.23,0.004,-0.081,-0.014,-0.071,0.013
DVU1804,-0.025,0.047,0.237,0.029,-0.095,-0.027,-0.042,-0.017
DVU1805,0.031,-0.001,0.272,0.007,-0.111,-0.014,-0.101,-0.003
DVU1806,0.036,0.015,0.281,0.022,-0.142,-0.02,-0.123,-0.001
DVU1807,-0.011,0.023,0.238,0.016,-0.09,-0.034,-0.086,0.006
DVU1808,0.013,0.034,0.231,0.035,-0.112,-0.055,-0.115,-0.006
DVU1809,0.025,0.027,0.225,0.03,-0.098,-0.033,-0.103,-0.028
DVU1810,0.031,0.05,0.31,0.103,-0.048,-0.013,-0.049,-0.05
DVU1811,-0.026,0.029,0.271,0.043,-0.106,-0.036,-0.074,-0.034
DVU1812,0.025,0.021,0.27,0.021,-0.136,-0.026,-0.091,-0.015
DVU1813,-0.045,0.006,0.3,0.01,-0.094,-0.034,-0.012,-0.05
DVU1814,0.04,0.088,0.28,0.103,-0.101,-0.053,-0.066,-0.025
DVU1815,-0.036,0.017,0.278,0.068,-0.101,-0.045,-0.053,0.005
DVU1816,-0.028,-0.017,0.198,0.029,-0.109,-0.032,-0.053,0.003
DVU1817,0.031,0.141,0.384,0.169,-0.223,-0.159,-0.109,-0.136
DVU1818,-0.029,0.022,0.196,-0.001,-0.091,-0.044,-0.071,0.002
DVU1819,0.014,-0.001,0.277,0.045,-0.12,-0.016,-0.091,-0.008
DVU1820,0.016,-0.04,0.231,-0.002,-0.118,-0.008,-0.124,0.016
DVU1821,-0.033,-0.021,0.19,0.013,-0.059,0.027,-0.043,-0.001
DVU1822,0.022,-0.022,0.267,0.026,-0.12,0.01,-0.106,-0.023
DVU1823,0.02,0.009,0.291,0.024,-0.134,-0.032,-0.137,-0.02
DVU1824,0.018,0.037,0.33,0.091,-0.173,-0.064,-0.125,-0.07
DVU1825,0.033,-0.001,0.218,-0.013,-0.123,-0.011,-0.119,0.01
DVU1826,0.024,0.015,0.308,0,-0.197,-0.06,-0.127,0.037
DVU1827,0.004,-0.006,0.25,0.035,-0.068,-0.023,-0.091,-0.008
DVU1828,0.007,0.01,0.228,-0.01,-0.104,-0.012,-0.104,-0.003
DVU1829,0.035,0.086,0.211,-0.086,-0.086,-0.052,-0.102,0.038
DVU1830,-0.027,0.064,0.279,0.048,-0.097,-0.037,-0.085,-0.05
DVU1832,-0.017,0.057,0.444,0.001,-0.116,-0.103,-0.105,0.138
DVU1833,0.038,0.029,0.248,0.029,-0.146,-0.039,-0.115,-0.025
DVU1834,0.015,0.005,0.247,0.011,-0.126,-0.023,-0.101,-0.018
DVU1835,0.024,0.035,0.288,-0.014,-0.142,0,-0.166,-0.029
DVU1836,0.056,0.051,0.315,0.029,-0.141,-0.019,-0.145,-0.017
DVU1837,0.021,0.032,0.319,0.064,-0.159,-0.072,-0.112,-0.038
DVU1838,-0.02,0.01,0.322,0.014,-0.12,0.009,-0.098,0.003
DVU1839,-0.008,0.157,0.292,0.092,-0.194,-0.134,-0.087,-0.132
DVU1840,-0.002,0.029,0.264,0.005,-0.126,0.003,-0.098,-0.021
DVU1841,0.019,0.008,0.278,0.041,-0.134,-0.007,-0.115,-0.034
DVU1842,-0.002,0.031,0.29,-0.027,-0.14,-0.032,-0.105,-0.004
DVU1843,0.07,0.078,0.332,0.069,-0.19,-0.076,-0.161,-0.016
DVU1844,0.259,0.225,0.442,0.1,-0.345,-0.148,-0.343,-0.166
DVU1845,0.026,0.07,0.298,0.059,-0.106,-0.038,-0.098,-0.043
DVU1846,0.007,-0.003,0.35,0.098,-0.094,-0.035,-0.073,-0.047
DVU1847,-0.029,0.025,0.264,0.064,-0.102,-0.027,-0.071,-0.042
DVU1848,0.012,0.018,0.294,0.08,-0.107,-0.018,-0.016,0.017
DVU1849,0.059,0.044,0.258,-0.022,-0.114,-0.027,-0.124,-0.037
DVU1850,0.037,0.013,0.251,0.036,-0.138,0.003,-0.097,-0.054
DVU1851,0.054,0.071,0.312,0.108,-0.185,-0.081,-0.144,-0.077
DVU1852,0.056,0.039,0.344,0.055,-0.151,-0.016,-0.14,-0.067
DVU1853,0.039,0.015,0.22,-0.021,-0.165,-0.008,-0.106,0.044
DVU1854,0.072,0.037,0.312,0.038,-0.192,-0.012,-0.185,-0.028
DVU1855,0.023,-0.028,0.368,0.038,-0.143,-0.053,-0.168,-0.023
DVU1856,0.087,-0.022,0.43,0.112,-0.127,-0.033,-0.054,-0.029
DVU1857,0.016,0.023,0.267,0.028,-0.151,-0.039,-0.102,-0.028
DVU1858,0.019,0.016,0.35,0.099,-0.121,-0.086,-0.055,-0.099
DVU1859,-0.042,0.047,0.557,0.224,0.043,0.036,0.091,-0.013
DVU1860,0.02,0.04,0.376,0.1,-0.116,-0.044,-0.105,-0.055
DVU1861,0.085,0.041,0.295,0.018,-0.14,-0.02,-0.178,-0.059
DVU1862,0.043,0.075,0.318,0.034,-0.162,-0.05,-0.155,-0.035
DVU1863,0.012,-0.002,0.309,0.012,-0.155,-0.005,-0.105,0.022
DVU1864,0.026,0.041,0.281,-0.02,-0.158,-0.04,-0.144,-0.048
DVU1865,0.026,-0.005,0.316,-0.058,-0.15,-0.04,-0.194,0.055
DVU1866,0.02,0.015,0.241,0.03,-0.122,-0.041,-0.098,0.014
DVU1867,-0.033,0.024,0.244,0.002,-0.076,-0.008,-0.067,0.004
DVU1868,0.007,0.007,0.276,0.021,-0.137,-0.031,-0.093,0.002
DVU1869,0.021,0.03,0.276,0.027,-0.135,-0.022,-0.13,-0.021
DVU1870,-0.014,0.043,0.239,0.058,-0.096,-0.031,-0.1,-0.076
DVU1871,0.037,0.018,0.256,0.041,-0.162,-0.041,-0.083,-0.003
DVU1872,0.053,-0.07,0.307,0.067,-0.091,0.017,-0.158,-0.047
DVU1873,0.008,0.092,0.297,0.005,-0.181,-0.074,-0.143,-0.039
DVU1874,0.026,-0.018,0.245,-0.018,-0.118,0.013,-0.111,0.017
DVU1875,0.032,0.017,0.325,0.009,-0.15,-0.039,-0.122,0.005
DVU1876,0.024,-0.016,0.248,-0.012,-0.098,0.007,-0.11,0.009
DVU1877,0.038,0.002,0.238,-0.018,-0.096,0.022,-0.097,0.018
DVU1878,-0.018,0.03,0.277,0.027,-0.129,-0.027,-0.104,-0.014
DVU1879,-0.004,-0.011,0.224,0.006,-0.093,-0.014,-0.065,-0.01
DVU1880,0.032,0.043,0.296,-0.009,-0.161,-0.048,-0.114,0.008
DVU1881,0.071,0.011,0.295,0.004,-0.172,-0.034,-0.161,-0.002
DVU1882,0.052,0.028,0.251,0.002,-0.139,-0.02,-0.143,-0.01
DVU1883,-0.007,0.033,0.241,0.007,-0.122,-0.006,-0.095,0.001
DVU1884,0.018,0.053,0.247,0.045,-0.117,-0.068,-0.083,-0.04
DVU1885,0.028,0.005,0.199,0.001,-0.125,-0.019,-0.084,-0.003
DVU1886,0.007,-0.004,0.261,0.036,-0.096,-0.047,-0.12,-0.004
DVU1887,0.023,0.022,0.23,0.033,-0.093,-0.028,-0.067,-0.03
DVU1888,-0.015,-0.003,0.211,0.011,-0.065,-0.01,-0.042,0.026
DVU1889,-0.025,-0.016,0.297,0.044,-0.069,0.013,-0.066,-0.003
DVU1890,0.068,0.02,0.22,-0.043,-0.138,-0.006,-0.157,0.001
DVU1891,-0.045,0.039,0.209,0.038,-0.099,-0.044,-0.061,-0.065
DVU1892,0.009,-0.03,0.271,0,-0.07,0.018,-0.033,0.03
DVU1893,0.033,0.003,0.258,-0.002,-0.134,-0.001,-0.123,-0.008
DVU1894,-0.015,-0.005,0.298,0.065,-0.115,-0.074,-0.142,0.047
DVU1895,0,0.015,0.237,0.064,-0.093,-0.044,-0.057,-0.041
DVU1896,0.046,0.02,0.246,-0.032,-0.152,0.009,-0.161,-0.004
DVU1897,0,0.01,0.25,0.015,-0.123,-0.04,-0.072,0.007
DVU1898,-0.028,0.01,0.296,0.03,-0.092,0.012,-0.085,-0.042
DVU1899,0.028,0.069,0.3,0.026,-0.112,-0.067,-0.089,-0.032
DVU1900,0.046,0.001,0.306,0.081,-0.136,-0.028,-0.136,-0.034
DVU1901,0.035,-0.01,0.314,0.041,-0.127,-0.003,-0.099,0.006
DVU1902,0.017,-0.026,0.23,-0.027,-0.092,0.026,-0.098,-0.002
DVU1903,0.019,0.008,0.251,0.013,-0.102,-0.01,-0.106,-0.02
DVU1904,0.032,-0.024,0.267,0.034,-0.145,-0.006,-0.076,0.003
DVU1905,0.101,0.049,0.372,0.07,-0.213,-0.08,-0.232,-0.055
DVU1906,0.117,-0.016,0.249,-0.072,-0.198,0.005,-0.222,0.042
DVU1907,0.024,0.004,0.244,-0.002,-0.13,-0.038,-0.073,0.016
DVU1908,0.057,0.018,0.248,0.037,-0.096,-0.019,-0.149,-0.039
DVU1909,0.004,0.006,0.176,-0.028,-0.079,0.007,-0.096,0.02
DVU1910,0.017,-0.003,0.217,-0.005,-0.109,-0.013,-0.111,-0.021
DVU1911,-0.019,-0.042,0.176,-0.072,-0.082,0.063,-0.08,0.025
DVU1912,0.015,-0.025,0.231,-0.027,-0.114,0.025,-0.131,0.037
DVU1913,0.015,-0.012,0.232,0.05,-0.102,-0.005,-0.102,-0.036
DVU1914,0.036,0.031,0.215,0.005,-0.145,-0.032,-0.117,-0.011
DVU1915,-0.043,0.084,0.319,0.038,-0.145,-0.071,-0.055,-0.005
DVU1916,0.137,-0.027,0.48,0.016,-0.184,-0.004,-0.095,-0.002
DVU1917,0.025,0.08,0.223,0.052,-0.134,-0.114,-0.121,-0.063
DVU1919,0.027,0.019,0.276,0.083,-0.089,-0.08,-0.098,-0.04
DVU1920,-0.022,0.061,0.585,0.168,-0.266,-0.145,-0.224,-0.248
DVU1921,0.062,0.029,0.3,0.018,-0.15,-0.059,-0.167,0.02
DVU1922,0.026,-0.012,0.217,0.012,-0.113,0.01,-0.107,0.005
DVU1923,0.027,0,0.216,0.001,-0.101,-0.002,-0.096,0.011
DVU1924,0.018,0.082,0.283,0.071,-0.23,-0.084,-0.146,-0.057
DVU1925,-0.053,0.056,0.19,0.005,-0.07,-0.066,-0.049,0.013
DVU1926,-0.019,0.06,0.192,0.104,-0.108,-0.073,-0.07,-0.063
DVU1927,0.035,0.002,0.24,0.041,-0.124,-0.034,-0.121,-0.03
DVU1928,0.033,0.035,0.423,0.144,-0.083,-0.042,-0.093,-0.035
DVU1929,0.012,0.037,0.243,0.074,-0.094,-0.042,-0.12,-0.018
DVU1930,0.046,0.011,0.22,0.016,-0.127,-0.043,-0.116,-0.007
DVU1931,0.055,0.021,0.242,0.008,-0.184,-0.01,-0.14,-0.028
DVU1932,-0.026,0.053,0.227,0.053,-0.112,-0.045,-0.088,-0.056
DVU1933,0.035,0.129,0.266,0.043,-0.213,-0.136,-0.109,-0.07
DVU1934,0.02,0.061,0.299,0.066,-0.104,-0.047,-0.102,-0.026
DVU1935,-0.05,0.03,0.245,0.003,-0.106,-0.022,-0.023,0.001
DVU1936,0.041,0.019,0.265,0.078,-0.133,0.003,-0.121,-0.068
DVU1937,0.009,0.002,0.281,0.032,-0.093,-0.025,-0.108,0.007
DVU1938,0.018,0.076,0.262,0.076,-0.072,-0.108,-0.062,-0.049
DVU1939,0.009,0.005,0.243,0,-0.108,-0.006,-0.084,-0.019
DVU1940,-0.017,-0.002,0.238,0.011,-0.107,-0.021,-0.056,0.011
DVU1941,-0.009,0.033,0.239,0.067,-0.111,-0.05,-0.083,0.003
DVU1942,-0.009,0.016,0.215,0.054,-0.091,-0.051,-0.079,-0.018
DVU1943,0.067,0.037,0.301,0.034,-0.168,-0.039,-0.196,-0.077
DVU1944,0.065,-0.005,0.331,-0.057,-0.183,-0.046,-0.178,0.061
DVU1945,0.047,0.054,0.275,0.037,-0.164,-0.048,-0.145,-0.017
DVU1946,0.022,0.013,0.209,0.043,-0.103,-0.032,-0.11,-0.034
DVU1947,0.014,0.018,0.258,0.037,-0.116,-0.033,-0.108,-0.033
DVU1948,0.053,-0.001,0.282,0.064,-0.155,-0.024,-0.18,-0.012
DVU1949,0.024,0.019,0.26,0.024,-0.166,-0.03,-0.11,-0.011
DVU1950,0.026,0.015,0.229,-0.055,-0.159,-0.01,-0.152,0.035
DVU1951,-0.003,0.011,0.214,0.015,-0.101,-0.029,-0.087,-0.012
DVU1952,0.054,0.042,0.268,0.018,-0.167,-0.067,-0.163,0.008
DVU1953,-0.011,0.001,0.214,-0.026,-0.097,-0.007,-0.068,0.025
DVU1954,0.013,0.018,0.251,-0.024,-0.12,-0.028,-0.078,0.029
DVU1955,0.076,0.024,0.296,-0.018,-0.146,-0.022,-0.154,0.029
DVU1956,0.028,0.023,0.235,0.006,-0.14,-0.034,-0.085,-0.014
DVU1957,0.155,0.035,0.461,0.032,-0.096,-0.03,-0.105,-0.064
DVU1958,0.015,0.013,0.282,0.059,-0.112,-0.044,-0.112,-0.015
DVU1959,0.028,0.03,0.285,0.068,-0.114,-0.052,-0.138,-0.065
DVU1960,0.001,0.007,0.219,0.008,-0.118,-0.039,-0.088,-0.021
DVU1961,-0.01,0.01,0.19,0.038,-0.075,-0.028,-0.047,-0.022
DVU1962,0.018,0.01,0.254,0.044,-0.119,-0.024,-0.101,-0.037
DVU1963,0.046,0.074,0.377,0.15,-0.089,-0.027,-0.018,-0.017
DVU1964,0.04,-0.022,0.316,0.05,-0.208,-0.025,-0.174,-0.066
DVU1965,0.245,0.085,0.622,0.32,-0.317,-0.186,-0.35,-0.258
DVU1966,0.155,0.028,0.692,0.297,-0.033,0.05,0.004,0.006
DVU1967,0.047,0.022,0.27,0.006,-0.184,-0.049,-0.138,0.017
DVU1968,0.069,0.01,0.271,0.028,-0.173,-0.039,-0.149,-0.008
DVU1969,0.039,0.019,0.191,0.002,-0.092,-0.007,-0.134,-0.013
DVU1970,0.103,0.051,0.337,0.102,-0.147,-0.079,-0.193,-0.043
DVU1971,-0.015,0.01,0.245,0.009,-0.102,-0.019,-0.081,-0.01
DVU1972,0.043,0.071,0.518,0.203,0.006,0.03,0.163,0.031
DVU1973,0.024,0.047,0.309,0.066,-0.15,-0.101,-0.154,-0.027
DVU1974,0.022,-0.001,0.255,0.005,-0.148,0,-0.098,-0.003
DVU1975,0.044,0.078,0.333,0.058,-0.171,-0.087,-0.159,-0.058
DVU1976,0.018,-0.002,0.244,0.012,-0.121,0,-0.094,-0.008
DVU1977,0.061,0.042,0.316,0.062,-0.222,-0.056,-0.189,-0.063
DVU1978,-0.008,0.02,0.285,0.03,-0.077,-0.01,-0.016,0.006
DVU1979,0.026,0.009,0.226,0.023,-0.111,-0.023,-0.142,-0.022
DVU1980,-0.03,-0.01,0.182,-0.046,-0.032,0.022,-0.072,0.059
DVU1981,-0.006,0.074,0.252,0.104,-0.177,-0.101,-0.078,-0.051
DVU1982,0.002,-0.01,0.245,-0.016,-0.07,0.012,-0.035,0.043
DVU1983,0.017,0.012,0.212,0.026,-0.102,-0.036,-0.081,-0.004
DVU1984,0.065,0.058,0.303,0.001,-0.169,-0.039,-0.167,-0.024
DVU1985,-0.004,0.022,0.28,0.04,-0.131,-0.032,-0.054,-0.007
DVU1986,0.005,-0.012,0.242,0.002,-0.095,0.029,-0.066,0.017
DVU1987,0.008,-0.001,0.23,-0.011,-0.083,0,-0.104,0.014
DVU1988,0,0,0.241,0.058,-0.087,-0.01,-0.077,0.004
DVU1989,-0.041,-0.066,0.382,0.014,-0.222,-0.23,-0.06,0.04
DVU1990,0.038,-0.013,0.292,-0.02,-0.081,0.043,-0.128,0.019
DVU1991,0,0.056,0.253,0.054,-0.14,-0.062,-0.116,-0.03
DVU1992,-0.025,0.024,0.257,0.04,-0.081,-0.05,-0.089,-0.048
DVU1993,0.004,0,0.241,0.021,-0.123,-0.022,-0.095,-0.019
DVU1994,0.02,-0.029,0.255,0.048,-0.152,0.056,-0.205,-0.033
DVU1995,0.061,0.097,0.397,0.088,-0.114,-0.047,-0.103,-0.065
DVU1996,0.259,0.165,0.523,0.236,-0.01,0.067,0.106,0.049
DVU1997,0.221,0.349,0.721,0.306,-0.367,-0.356,-0.378,-0.302
DVU1998,0.005,-0.004,0.28,0.057,-0.156,-0.037,-0.13,-0.082
DVU1999,0.027,0.029,0.361,0.048,-0.134,-0.045,-0.097,-0.047
DVU2002,0.217,0.129,0.541,0.147,-0.197,-0.054,-0.246,-0.05
DVU2003,0.065,0.031,0.424,0.123,-0.154,-0.052,-0.177,-0.055
DVU2004,0.11,0.086,0.427,0.107,-0.191,-0.112,-0.178,-0.06
DVU2005,0.46,0.111,0.796,0.392,-0.104,-0.103,0.047,-0.061
DVU2006,0.406,0.072,0.698,0.227,-0.33,-0.09,-0.381,-0.139
DVU2007,0.151,0.158,0.503,0.124,-0.132,-0.016,-0.113,-0.062
DVU2008,0.055,0.159,0.431,0.148,-0.193,-0.116,-0.265,-0.233
DVU2009,0.04,0.153,0.411,0.021,-0.196,-0.085,-0.151,-0.052
DVU2010,0.076,0.102,0.487,0.107,-0.201,-0.106,-0.204,-0.134
DVU2011,0.224,0.051,0.556,0.131,-0.375,-0.2,-0.261,-0.175
DVU2012,0.243,0.281,0.658,0.229,0.037,0.028,0.024,-0.042
DVU2013,0.057,0.081,0.492,0.141,-0.235,-0.117,-0.216,-0.075
DVU2014,0.074,0.052,0.425,0.106,-0.153,-0.03,-0.157,-0.044
DVU2015,0.412,0.291,0.589,0.144,0.003,0.006,-0.021,0.105
DVU2016,0.306,0.112,0.706,0.287,-0.144,-0.129,-0.111,-0.146
DVU2017,0.037,0.024,0.352,0.015,-0.128,-0.014,-0.13,0.015
DVU2019,0.066,0.05,0.374,0.083,-0.176,-0.041,-0.178,-0.071
DVU2020,0.032,0.039,0.317,0.028,-0.155,-0.031,-0.153,-0.034
DVU2021,0.174,0.017,0.533,0.117,-0.232,-0.08,-0.246,-0.111
DVU2022,0.071,0.071,0.467,0.135,-0.21,-0.077,-0.206,-0.093
DVU2023,0.083,0.094,0.377,0.025,-0.253,-0.115,-0.239,-0.076
DVU2024,0.087,0.042,0.407,0.099,-0.219,-0.058,-0.242,-0.116
DVU2025,0.098,0.046,0.403,0.094,-0.221,-0.078,-0.233,-0.067
DVU2026,0.084,0.01,0.44,0.102,-0.15,-0.027,-0.102,0.026
DVU2027,0.104,-0.065,0.427,0.073,-0.199,0.007,-0.23,-0.117
DVU2028,0.046,0.034,0.255,0.036,-0.137,-0.007,-0.214,0.012
DVU2029,0.025,0.056,0.449,0.14,-0.234,-0.06,-0.221,-0.19
DVU2030,0.005,0.016,0.308,0.004,-0.152,-0.016,-0.141,-0.084
DVU2031,0.028,0.107,0.438,0.06,-0.241,-0.144,-0.053,0.036
DVU2032,0.003,0.048,0.273,-0.01,-0.131,-0.054,-0.133,-0.015
DVU2033,0.027,0.021,0.268,-0.029,-0.138,-0.007,-0.149,-0.002
DVU2034,-0.017,0.132,0.289,0.065,-0.123,-0.022,-0.082,-0.132
DVU2035,-0.046,-0.023,0.236,0.007,-0.126,-0.027,-0.011,0.036
DVU2036,0.051,0.029,0.403,0.03,-0.203,-0.021,-0.203,0.006
DVU2037,0.012,0.043,0.26,0,-0.086,-0.016,-0.095,-0.023
