PseDNC_Xc1.AA,PseDNC_Xc1.AC,PseDNC_Xc1.AG,PseDNC_Xc1.AT,PseDNC_Xc1.CA,PseDNC_Xc1.CC,PseDNC_Xc1.CG,PseDNC_Xc1.CT,PseDNC_Xc1.GA,PseDNC_Xc1.GC,PseDNC_Xc1.GG,PseDNC_Xc1.GT,PseDNC_Xc1.TA,PseDNC_Xc1.TC,PseDNC_Xc1.TG,PseDNC_Xc1.TT,PseDNC_Xc2.lambda.1,PseDNC_Xc2.lambda.2,PseDNC_Xc2.lambda.3
DVU2053,0.019,0.055,0.026,0.034,0.072,0.063,0.088,0.059,0.026,0.086,0.057,0.041,0.017,0.078,0.04,0.041,0.081,0.059,0.058
DVU2054,0.008,0.025,0.041,0.033,0.025,0.05,0.091,0.066,0.058,0.091,0.05,0.05,0.025,0.066,0.058,0.074,0.077,0.062,0.052
DVU2055,0.035,0.053,0.042,0.027,0.052,0.063,0.084,0.051,0.052,0.079,0.067,0.047,0.018,0.055,0.052,0.029,0.077,0.059,0.057
DVU2056,0.013,0.058,0.006,0.058,0.058,0.071,0.084,0.058,0.045,0.084,0.065,0.026,0.019,0.058,0.065,0.019,0.085,0.06,0.066
DVU2057,0.029,0.041,0.053,0.034,0.051,0.064,0.1,0.037,0.062,0.101,0.066,0.039,0.014,0.045,0.05,0.021,0.079,0.06,0.055
DVU2058,0.044,0.06,0.041,0.038,0.071,0.085,0.087,0.037,0.06,0.091,0.056,0.023,0.009,0.045,0.044,0.019,0.077,0.057,0.056
DVU2059,0.02,0.059,0.026,0.02,0.052,0.094,0.107,0.06,0.041,0.1,0.056,0.039,0.011,0.06,0.048,0.017,0.078,0.059,0.054
DVU2060,0.016,0.039,0.047,0.031,0.031,0.062,0.086,0.055,0.062,0.086,0.086,0.047,0.016,0.047,0.07,0.031,0.075,0.059,0.056
DVU2061,0.036,0.055,0.03,0.037,0.067,0.083,0.094,0.045,0.043,0.084,0.055,0.037,0.013,0.067,0.04,0.016,0.079,0.061,0.055
DVU2062,0.028,0.057,0.035,0.026,0.052,0.09,0.097,0.051,0.056,0.093,0.065,0.031,0.01,0.05,0.049,0.023,0.075,0.058,0.055
DVU2063,0.025,0.059,0.035,0.021,0.051,0.094,0.092,0.056,0.055,0.09,0.068,0.036,0.009,0.05,0.054,0.021,0.075,0.055,0.056
DVU2064,0.043,0.034,0.05,0.041,0.062,0.066,0.091,0.041,0.056,0.088,0.051,0.042,0.007,0.071,0.046,0.023,0.076,0.058,0.053
DVU2065,0.031,0.012,0.031,0.043,0.035,0.085,0.074,0.047,0.043,0.078,0.066,0.066,0.012,0.066,0.078,0.047,0.074,0.058,0.058
DVU2066,0.021,0.044,0.038,0.028,0.044,0.073,0.096,0.048,0.05,0.093,0.073,0.048,0.015,0.051,0.058,0.027,0.079,0.057,0.057
DVU2067,0.021,0.048,0.029,0.043,0.054,0.061,0.096,0.04,0.055,0.091,0.065,0.044,0.01,0.051,0.066,0.025,0.083,0.06,0.056
DVU2068,0.025,0.05,0.03,0.034,0.049,0.06,0.087,0.052,0.051,0.078,0.076,0.05,0.013,0.06,0.061,0.032,0.078,0.058,0.057
DVU4011,0.022,0.039,0.039,0.041,0.049,0.083,0.08,0.032,0.061,0.085,0.078,0.044,0.01,0.037,0.071,0.039,0.077,0.056,0.059
DVU2069,0.019,0.043,0.037,0.029,0.047,0.074,0.096,0.039,0.051,0.096,0.085,0.05,0.011,0.043,0.064,0.022,0.079,0.056,0.059
DVU2070,0.033,0.049,0.045,0.022,0.052,0.072,0.087,0.051,0.048,0.096,0.066,0.044,0.016,0.045,0.056,0.025,0.078,0.059,0.056
DVU2071,0.011,0.041,0.016,0.03,0.055,0.095,0.085,0.08,0.02,0.114,0.055,0.036,0.011,0.064,0.07,0.026,0.08,0.058,0.054
DVU2072,0.035,0.042,0.047,0.04,0.057,0.071,0.089,0.046,0.063,0.086,0.066,0.035,0.01,0.064,0.047,0.018,0.074,0.06,0.052
DVU2073,0.057,0.053,0.053,0.05,0.061,0.055,0.066,0.048,0.068,0.044,0.055,0.039,0.024,0.079,0.035,0.02,0.076,0.059,0.058
DVU2074,0.03,0.045,0.047,0.04,0.054,0.048,0.08,0.037,0.056,0.069,0.09,0.053,0.02,0.058,0.052,0.025,0.078,0.061,0.055
DVU2075,0.032,0.045,0.033,0.037,0.054,0.056,0.083,0.049,0.044,0.095,0.075,0.043,0.018,0.046,0.066,0.023,0.081,0.059,0.06
DVU2076,0.041,0.05,0.058,0.039,0.064,0.044,0.072,0.054,0.057,0.077,0.055,0.038,0.027,0.063,0.042,0.022,0.079,0.062,0.055
DVU2077,0.031,0.041,0.043,0.037,0.051,0.064,0.093,0.051,0.063,0.093,0.067,0.035,0.007,0.06,0.056,0.02,0.075,0.058,0.055
DVU2078,0.032,0.042,0.044,0.042,0.059,0.074,0.081,0.034,0.053,0.085,0.063,0.048,0.015,0.047,0.061,0.025,0.08,0.06,0.056
DVU2079,0.029,0.042,0.038,0.037,0.05,0.056,0.078,0.043,0.054,0.076,0.084,0.053,0.014,0.053,0.066,0.032,0.078,0.057,0.057
DVU4018,0.028,0.049,0.038,0.045,0.047,0.071,0.097,0.054,0.052,0.08,0.033,0.035,0.031,0.068,0.035,0.033,0.083,0.058,0.063
DVU2081,0.04,0.04,0.061,0.045,0.045,0.042,0.058,0.04,0.082,0.056,0.082,0.034,0.021,0.048,0.053,0.069,0.071,0.054,0.057
DVU2082,0.034,0.063,0.043,0.032,0.073,0.065,0.086,0.051,0.051,0.081,0.059,0.034,0.014,0.065,0.039,0.015,0.078,0.059,0.057
DVU2083,0.031,0.054,0.046,0.037,0.067,0.062,0.092,0.042,0.058,0.089,0.064,0.033,0.012,0.058,0.043,0.016,0.078,0.058,0.059
DVU2084,0.027,0.052,0.042,0.036,0.059,0.067,0.082,0.042,0.049,0.079,0.077,0.043,0.023,0.051,0.048,0.026,0.08,0.059,0.059
DVU2085,0.036,0.057,0.05,0.029,0.062,0.079,0.08,0.055,0.06,0.075,0.052,0.035,0.014,0.065,0.04,0.023,0.074,0.057,0.056
DVU2086,0.021,0.04,0.043,0.035,0.047,0.047,0.079,0.047,0.054,0.086,0.09,0.051,0.017,0.048,0.069,0.029,0.079,0.057,0.06
DVU2087,0.019,0.066,0.041,0.034,0.068,0.06,0.073,0.05,0.053,0.073,0.074,0.042,0.02,0.052,0.054,0.024,0.081,0.059,0.057
DVU2088,0.016,0.051,0.032,0.04,0.071,0.066,0.078,0.055,0.037,0.081,0.054,0.048,0.015,0.072,0.056,0.028,0.081,0.06,0.057
DVU2089,0.089,0.054,0.049,0.059,0.089,0.094,0.035,0.03,0.04,0.045,0.01,0.035,0.035,0.054,0.035,0.045,0.08,0.064,0.06
DVU2090,0.035,0.067,0.063,0.026,0.071,0.047,0.082,0.035,0.08,0.088,0.104,0.02,0.006,0.033,0.042,0.016,0.072,0.059,0.053
DVU2091,0.021,0.047,0.035,0.046,0.057,0.057,0.089,0.037,0.05,0.086,0.084,0.046,0.019,0.052,0.059,0.012,0.084,0.061,0.059
DVU2092,0.02,0.033,0.03,0.034,0.038,0.079,0.09,0.043,0.045,0.095,0.09,0.057,0.013,0.043,0.078,0.018,0.079,0.063,0.053
DVU2093,0.014,0.049,0.039,0.034,0.06,0.072,0.092,0.042,0.046,0.096,0.078,0.04,0.016,0.048,0.053,0.026,0.081,0.059,0.057
DVU2094,0.015,0.048,0.025,0.038,0.051,0.072,0.112,0.039,0.05,0.109,0.083,0.031,0.01,0.045,0.053,0.018,0.082,0.058,0.058
DVU2095,0.037,0.053,0.045,0.028,0.033,0.045,0.089,0.041,0.073,0.057,0.093,0.057,0.02,0.053,0.053,0.037,0.076,0.061,0.05
DVU2097,0.035,0.064,0.041,0.054,0.074,0.043,0.057,0.054,0.061,0.057,0.054,0.032,0.024,0.063,0.052,0.036,0.082,0.06,0.059
DVU2098,0.031,0.05,0.031,0.04,0.064,0.077,0.09,0.038,0.044,0.095,0.066,0.038,0.012,0.048,0.056,0.021,0.082,0.059,0.058
DVU2099,0.033,0.056,0.033,0.036,0.072,0.068,0.067,0.05,0.041,0.084,0.075,0.038,0.012,0.049,0.064,0.026,0.079,0.061,0.057
DVU2100,0.033,0.035,0.056,0.035,0.056,0.05,0.077,0.033,0.056,0.066,0.06,0.074,0.014,0.066,0.062,0.033,0.078,0.061,0.056
DVU2101,0.017,0.039,0.034,0.025,0.043,0.058,0.096,0.046,0.046,0.097,0.106,0.052,0.009,0.05,0.065,0.028,0.077,0.057,0.056
DVU2102,0.013,0.051,0.034,0.025,0.045,0.073,0.105,0.037,0.05,0.088,0.088,0.053,0.015,0.048,0.052,0.028,0.08,0.058,0.057
DVU2103,0.02,0.05,0.032,0.033,0.063,0.059,0.089,0.043,0.042,0.092,0.071,0.049,0.011,0.053,0.061,0.031,0.082,0.059,0.058
DVU2104,0.026,0.043,0.034,0.028,0.05,0.061,0.081,0.044,0.044,0.092,0.085,0.06,0.01,0.04,0.083,0.023,0.08,0.061,0.055
DVU2105,0.024,0.044,0.035,0.019,0.038,0.066,0.099,0.035,0.047,0.087,0.12,0.063,0.013,0.041,0.063,0.014,0.077,0.06,0.056
DVU2106,0.031,0.061,0.031,0.026,0.061,0.082,0.099,0.046,0.051,0.098,0.062,0.034,0.006,0.048,0.053,0.02,0.078,0.058,0.056
DVU2107,0.038,0.067,0.038,0.032,0.071,0.062,0.085,0.041,0.048,0.087,0.055,0.038,0.016,0.043,0.051,0.028,0.083,0.059,0.06
DVU2108,0.029,0.063,0.025,0.034,0.065,0.096,0.101,0.034,0.047,0.085,0.079,0.034,0.009,0.052,0.04,0.013,0.078,0.059,0.058
DVU2109,0.034,0.061,0.03,0.025,0.062,0.09,0.1,0.037,0.049,0.089,0.068,0.042,0.007,0.048,0.05,0.016,0.078,0.059,0.056
DVU2110,0.012,0.039,0.026,0.037,0.061,0.071,0.085,0.058,0.028,0.093,0.073,0.05,0.012,0.073,0.059,0.028,0.08,0.06,0.056
DVU2111,0.022,0.039,0.043,0.028,0.049,0.07,0.097,0.05,0.047,0.103,0.066,0.046,0.013,0.055,0.055,0.022,0.078,0.057,0.059
DVU2112,0.048,0.062,0.035,0.037,0.056,0.087,0.079,0.05,0.07,0.079,0.045,0.029,0.01,0.045,0.062,0.017,0.076,0.057,0.056
DVU2113,0.018,0.044,0.023,0.043,0.065,0.073,0.08,0.051,0.033,0.077,0.069,0.051,0.013,0.075,0.057,0.034,0.08,0.062,0.055
DVU2114,0.039,0.054,0.036,0.032,0.054,0.074,0.101,0.047,0.055,0.093,0.057,0.034,0.012,0.056,0.045,0.021,0.078,0.057,0.056
DVU2115,0.043,0.038,0.051,0.043,0.047,0.034,0.06,0.034,0.068,0.055,0.085,0.055,0.017,0.047,0.068,0.068,0.075,0.051,0.06
DVU2116,0.037,0.056,0.047,0.042,0.075,0.084,0.066,0.056,0.047,0.052,0.042,0.047,0.023,0.089,0.033,0.014,0.078,0.063,0.049
DVU2117,0.011,0.042,0.016,0.039,0.054,0.069,0.079,0.069,0.027,0.086,0.09,0.039,0.013,0.074,0.059,0.044,0.076,0.059,0.054
DVU2118,0.027,0.057,0.044,0.027,0.06,0.083,0.1,0.037,0.061,0.082,0.075,0.043,0.007,0.058,0.042,0.015,0.074,0.061,0.051
DVU2119,0.027,0.06,0.038,0.031,0.066,0.069,0.092,0.042,0.051,0.085,0.069,0.042,0.011,0.054,0.049,0.022,0.08,0.06,0.054
DVU2120,0.048,0.068,0.044,0.024,0.072,0.094,0.092,0.032,0.052,0.088,0.06,0.03,0.01,0.04,0.036,0.018,0.077,0.06,0.052
DVU2121,0.028,0.052,0.04,0.028,0.063,0.081,0.095,0.05,0.051,0.098,0.066,0.032,0.005,0.059,0.046,0.023,0.074,0.056,0.055
DVU2122,0.033,0.063,0.04,0.031,0.068,0.08,0.097,0.045,0.058,0.088,0.055,0.031,0.007,0.06,0.039,0.015,0.076,0.06,0.054
DVU2123,0.03,0.051,0.026,0.042,0.064,0.07,0.089,0.052,0.049,0.094,0.065,0.03,0.006,0.059,0.059,0.02,0.078,0.058,0.057
DVU2124,0.03,0.05,0.036,0.033,0.073,0.071,0.089,0.052,0.043,0.097,0.068,0.03,0.003,0.068,0.046,0.024,0.075,0.058,0.053
DVU2125,0.028,0.06,0.031,0.019,0.058,0.089,0.109,0.052,0.042,0.11,0.068,0.026,0.009,0.049,0.039,0.02,0.077,0.055,0.057
DVU2126,0.027,0.05,0.046,0.039,0.072,0.062,0.087,0.043,0.043,0.085,0.068,0.043,0.017,0.068,0.041,0.012,0.081,0.06,0.054
DVU2127,0.033,0.061,0.044,0.029,0.068,0.07,0.082,0.051,0.053,0.085,0.069,0.036,0.013,0.054,0.049,0.013,0.078,0.06,0.053
DVU2128,0.039,0.057,0.042,0.021,0.042,0.072,0.094,0.041,0.055,0.083,0.086,0.046,0.023,0.037,0.047,0.018,0.079,0.059,0.057
DVU2129,0.028,0.058,0.042,0.033,0.066,0.076,0.09,0.042,0.06,0.085,0.067,0.034,0.008,0.054,0.047,0.021,0.076,0.058,0.055
DVU2130,0.016,0.055,0.025,0.049,0.071,0.061,0.074,0.048,0.044,0.076,0.061,0.047,0.014,0.062,0.067,0.023,0.084,0.062,0.059
DVU2131,0.017,0.069,0.032,0.032,0.077,0.082,0.08,0.054,0.042,0.085,0.057,0.037,0.013,0.057,0.052,0.017,0.081,0.06,0.058
DVU2132,0.012,0.043,0.046,0.028,0.046,0.049,0.074,0.043,0.037,0.087,0.105,0.065,0.031,0.034,0.071,0.022,0.086,0.06,0.06
DVU2133,0.033,0.034,0.041,0.042,0.06,0.066,0.067,0.049,0.045,0.078,0.077,0.049,0.012,0.064,0.064,0.029,0.076,0.06,0.054
DVU2134,0.091,0.061,0.024,0.073,0.097,0.03,0.018,0.03,0.03,0.061,0.024,0.024,0.03,0.024,0.073,0.085,0.087,0.064,0.07
DVU2135,0.057,0.06,0.062,0.029,0.08,0.043,0.084,0.027,0.066,0.078,0.078,0.038,0.006,0.052,0.037,0.015,0.075,0.06,0.055
DVU2136,0.035,0.047,0.041,0.032,0.059,0.088,0.082,0.045,0.051,0.093,0.052,0.042,0.009,0.046,0.064,0.023,0.077,0.06,0.054
DVU2137,0.021,0.04,0.028,0.029,0.045,0.066,0.099,0.041,0.043,0.097,0.098,0.052,0.009,0.048,0.065,0.026,0.079,0.058,0.057
DVU2138,0.038,0.054,0.035,0.032,0.054,0.067,0.093,0.043,0.057,0.076,0.054,0.053,0.01,0.059,0.059,0.021,0.079,0.06,0.055
DVU2139,0.026,0.063,0.035,0.035,0.065,0.067,0.095,0.038,0.054,0.086,0.069,0.038,0.013,0.049,0.048,0.022,0.081,0.058,0.058
DVU2140,0.015,0.04,0.037,0.032,0.048,0.067,0.092,0.037,0.046,0.094,0.096,0.05,0.017,0.042,0.061,0.029,0.08,0.059,0.058
DVU2141,0.034,0.05,0.042,0.032,0.057,0.071,0.078,0.047,0.053,0.085,0.073,0.042,0.013,0.047,0.061,0.022,0.077,0.059,0.057
DVU2142,0.021,0.073,0.034,0.021,0.068,0.087,0.096,0.043,0.043,0.089,0.072,0.04,0.016,0.046,0.042,0.014,0.081,0.059,0.056
DVU2143,0.034,0.057,0.038,0.033,0.066,0.074,0.097,0.041,0.05,0.09,0.054,0.039,0.011,0.057,0.045,0.017,0.08,0.061,0.057
DVU2144,0.035,0.059,0.029,0.032,0.067,0.075,0.096,0.046,0.043,0.091,0.059,0.04,0.009,0.059,0.051,0.016,0.08,0.062,0.052
DVU2145,0.044,0.029,0.048,0.068,0.054,0.033,0.043,0.045,0.065,0.049,0.04,0.057,0.027,0.063,0.08,0.048,0.083,0.059,0.066
DVU2146,0.091,0.051,0.025,0.071,0.066,0.025,0.02,0.061,0.03,0.051,0.02,0.03,0.045,0.045,0.071,0.081,0.087,0.066,0.065
DVU2147,0.019,0.04,0.033,0.033,0.047,0.065,0.089,0.044,0.044,0.099,0.085,0.05,0.015,0.04,0.071,0.025,0.082,0.058,0.059
DVU2148,0.027,0.05,0.027,0.036,0.053,0.076,0.099,0.05,0.049,0.091,0.055,0.041,0.01,0.062,0.054,0.025,0.08,0.059,0.056
DVU2149,0.022,0.043,0.034,0.028,0.045,0.078,0.091,0.05,0.049,0.099,0.076,0.048,0.011,0.044,0.072,0.016,0.079,0.057,0.058
DVU2150,0.042,0.045,0.065,0.042,0.054,0.054,0.087,0.042,0.083,0.081,0.045,0.031,0.013,0.058,0.045,0.022,0.075,0.06,0.055
DVU2151,0.045,0.051,0.08,0.038,0.08,0.076,0.069,0.034,0.065,0.101,0.038,0.02,0.022,0.031,0.038,0.013,0.079,0.053,0.066
DVU2152,0.035,0.06,0.029,0.037,0.058,0.051,0.087,0.036,0.042,0.088,0.084,0.045,0.025,0.033,0.06,0.02,0.087,0.064,0.058
DVU2153,0.011,0.052,0.031,0.023,0.054,0.071,0.116,0.033,0.041,0.103,0.087,0.055,0.012,0.047,0.052,0.011,0.084,0.059,0.058
DVU2154,0.013,0.053,0.041,0.028,0.057,0.074,0.091,0.041,0.051,0.1,0.079,0.047,0.015,0.036,0.066,0.009,0.083,0.06,0.056
DVU2155,0.01,0.061,0.04,0.03,0.063,0.091,0.097,0.038,0.059,0.076,0.055,0.049,0.01,0.061,0.048,0.021,0.08,0.06,0.053
DVU2156,0.013,0.044,0.04,0.026,0.051,0.066,0.086,0.04,0.048,0.103,0.097,0.051,0.011,0.029,0.077,0.022,0.081,0.055,0.062
DVU2157,0.028,0.05,0.047,0.029,0.063,0.063,0.092,0.037,0.053,0.098,0.083,0.038,0.01,0.044,0.051,0.02,0.078,0.058,0.056
DVU2158,0.035,0.051,0.065,0.023,0.051,0.067,0.093,0.042,0.077,0.1,0.056,0.035,0.009,0.035,0.056,0.019,0.075,0.056,0.057
DVU2159,0.028,0.057,0.04,0.029,0.065,0.074,0.079,0.051,0.051,0.088,0.076,0.035,0.009,0.051,0.056,0.024,0.076,0.06,0.053
DVU2160,0.031,0.057,0.034,0.033,0.064,0.071,0.096,0.034,0.053,0.095,0.076,0.041,0.007,0.043,0.059,0.01,0.081,0.058,0.057
DVU2161,0.022,0.039,0.039,0.025,0.045,0.08,0.1,0.047,0.043,0.1,0.088,0.04,0.015,0.053,0.045,0.031,0.076,0.056,0.058
DVU2162,0.012,0.034,0.032,0.017,0.032,0.046,0.107,0.058,0.041,0.122,0.1,0.056,0.012,0.041,0.078,0.012,0.081,0.059,0.059
DVU2163,0.03,0.044,0.034,0.025,0.03,0.059,0.118,0.034,0.064,0.084,0.079,0.064,0.01,0.054,0.059,0.02,0.078,0.062,0.052
DVU2164,0.02,0.045,0.049,0.029,0.057,0.067,0.088,0.055,0.043,0.106,0.07,0.035,0.022,0.049,0.049,0.02,0.08,0.059,0.058
DVU2165,0.021,0.04,0.031,0.019,0.031,0.074,0.109,0.048,0.043,0.09,0.093,0.063,0.016,0.058,0.056,0.011,0.078,0.058,0.06
DVU2166,0.024,0.035,0.035,0.026,0.047,0.051,0.083,0.063,0.039,0.087,0.067,0.065,0.012,0.071,0.071,0.033,0.079,0.056,0.057
DVU2167,0.047,0.043,0.059,0.02,0.047,0.099,0.067,0.043,0.075,0.095,0.079,0.039,0,0.02,0.083,0.008,0.068,0.061,0.048
DVU2168,0.034,0.059,0.047,0.029,0.063,0.08,0.093,0.041,0.061,0.086,0.059,0.036,0.009,0.054,0.044,0.017,0.076,0.059,0.054
DVU2169,0.026,0.046,0.046,0.033,0.07,0.078,0.1,0.028,0.044,0.102,0.068,0.044,0.011,0.05,0.044,0.013,0.082,0.059,0.057
DVU2170,0.03,0.048,0.047,0.027,0.064,0.072,0.091,0.037,0.045,0.105,0.074,0.041,0.014,0.039,0.052,0.017,0.08,0.061,0.057
DVU2171,0.025,0.053,0.039,0.024,0.058,0.077,0.091,0.052,0.048,0.101,0.073,0.036,0.01,0.047,0.055,0.02,0.077,0.059,0.055
DVU2172,0.029,0.052,0.059,0.033,0.055,0.059,0.077,0.048,0.074,0.085,0.07,0.029,0.015,0.044,0.052,0.033,0.075,0.057,0.054
DVU2173,0.064,0.045,0.039,0.058,0.052,0.026,0.071,0.032,0.071,0.071,0.077,0.026,0.019,0.039,0.058,0.058,0.079,0.053,0.062
DVU2174,0.088,0.033,0.05,0.079,0.033,0.01,0.029,0.038,0.06,0.04,0.021,0.051,0.067,0.026,0.074,0.073,0.093,0.066,0.069
DVU2175,0.054,0.043,0.05,0.051,0.058,0.051,0.055,0.039,0.054,0.075,0.055,0.037,0.031,0.035,0.061,0.048,0.082,0.062,0.06
DVU2176,0.062,0.071,0.049,0.049,0.075,0.053,0.053,0.04,0.062,0.062,0.049,0.031,0.031,0.035,0.053,0.018,0.085,0.066,0.059
DVU2177,0.081,0.027,0.049,0.074,0.029,0.014,0.021,0.042,0.062,0.036,0.027,0.055,0.06,0.028,0.082,0.091,0.088,0.066,0.067
DVU2178,0.043,0.044,0.05,0.046,0.061,0.043,0.069,0.039,0.058,0.071,0.05,0.048,0.022,0.053,0.059,0.041,0.082,0.061,0.062
DVU2179,0.066,0.033,0.059,0.043,0.031,0.035,0.082,0.039,0.088,0.055,0.055,0.049,0.016,0.064,0.051,0.049,0.071,0.06,0.052
DVU2180,0.057,0.045,0.028,0.051,0.051,0.073,0.04,0.062,0.028,0.062,0.062,0.023,0.045,0.045,0.051,0.068,0.079,0.066,0.064
DVU2181,0.04,0.061,0.048,0.036,0.08,0.092,0.087,0.032,0.054,0.087,0.045,0.029,0.01,0.05,0.037,0.017,0.078,0.059,0.058
DVU2182,0.145,0.099,0.006,0.076,0.087,0.023,0.023,0.041,0.029,0.023,0.012,0.012,0.064,0.029,0.035,0.058,0.095,0.066,0.077
DVU2183,0.142,0.063,0.052,0.076,0.078,0.018,0.022,0.038,0.05,0.036,0.012,0.015,0.063,0.039,0.027,0.048,0.088,0.069,0.065
DVU2184,0.018,0.036,0.047,0.025,0.036,0.044,0.062,0.058,0.044,0.098,0.109,0.062,0.029,0.022,0.094,0.007,0.084,0.062,0.064
DVU2185,0.025,0.05,0.04,0.029,0.056,0.068,0.092,0.042,0.051,0.098,0.072,0.043,0.012,0.042,0.06,0.021,0.08,0.06,0.058
DVU2186,0.029,0.044,0.047,0.03,0.049,0.053,0.094,0.047,0.061,0.106,0.099,0.029,0.011,0.04,0.055,0.018,0.076,0.059,0.052
DVU2187,0.031,0.034,0.044,0.038,0.043,0.061,0.099,0.04,0.055,0.095,0.107,0.038,0.017,0.053,0.046,0.009,0.077,0.056,0.058
DVU2188,0.031,0.054,0.047,0.026,0.061,0.075,0.089,0.045,0.056,0.092,0.066,0.037,0.01,0.05,0.048,0.022,0.076,0.058,0.056
DVU2189,0.045,0.041,0.06,0.037,0.056,0.063,0.071,0.056,0.071,0.078,0.058,0.028,0.011,0.063,0.047,0.035,0.069,0.058,0.054
DVU2190,0.042,0.05,0.046,0.029,0.05,0.033,0.075,0.079,0.054,0.088,0.063,0.029,0.021,0.067,0.05,0.033,0.075,0.06,0.054
DVU4014,0.04,0.04,0.054,0.031,0.051,0.088,0.097,0.031,0.051,0.077,0.046,0.054,0.02,0.063,0.034,0.031,0.077,0.058,0.056
DVU2191,0.041,0.053,0.064,0.034,0.071,0.046,0.078,0.021,0.071,0.082,0.085,0.032,0.011,0.034,0.041,0.05,0.075,0.061,0.051
DVU2192,0.015,0.087,0.01,0.02,0.061,0.102,0.077,0.066,0.031,0.097,0.046,0.036,0.02,0.02,0.082,0.02,0.087,0.058,0.064
DVU2193,0.035,0.051,0.029,0.03,0.062,0.09,0.091,0.049,0.033,0.109,0.065,0.029,0.015,0.044,0.051,0.02,0.08,0.06,0.056
DVU2194,0.027,0.054,0.035,0.033,0.056,0.086,0.109,0.036,0.057,0.096,0.061,0.035,0.007,0.052,0.046,0.018,0.078,0.06,0.055
DVU2195,0.022,0.05,0.047,0.034,0.072,0.088,0.094,0.044,0.047,0.107,0.044,0.031,0.009,0.053,0.047,0.016,0.08,0.055,0.058
DVU2196,0.055,0.062,0.065,0.031,0.07,0.07,0.074,0.034,0.071,0.083,0.074,0.022,0.016,0.033,0.039,0.009,0.075,0.056,0.058
DVU2197,0.021,0.046,0.042,0.034,0.048,0.054,0.088,0.043,0.058,0.076,0.073,0.06,0.015,0.058,0.065,0.022,0.08,0.058,0.06
DVU2198,0.032,0.045,0.041,0.053,0.057,0.041,0.081,0.037,0.065,0.097,0.073,0.02,0.016,0.032,0.061,0.049,0.081,0.062,0.058
DVU2199,0.049,0.017,0.031,0.07,0.035,0.031,0.042,0.059,0.028,0.07,0.059,0.052,0.056,0.049,0.077,0.056,0.091,0.068,0.061
DVU2200,0.033,0.052,0.039,0.056,0.037,0.025,0.076,0.045,0.072,0.068,0.058,0.052,0.035,0.039,0.078,0.019,0.09,0.065,0.061
DVU2201,0.033,0.054,0.037,0.038,0.061,0.07,0.088,0.045,0.052,0.077,0.064,0.04,0.015,0.063,0.045,0.024,0.078,0.059,0.057
DVU2202,0.027,0.043,0.036,0.036,0.048,0.068,0.085,0.045,0.051,0.082,0.072,0.05,0.015,0.054,0.062,0.031,0.078,0.06,0.057
DVU2203,0.033,0.041,0.052,0.024,0.055,0.111,0.081,0.05,0.044,0.076,0.041,0.05,0.017,0.068,0.039,0.033,0.073,0.059,0.053
DVU2204,0.03,0.059,0.039,0.035,0.069,0.082,0.09,0.045,0.052,0.083,0.053,0.035,0.013,0.062,0.041,0.019,0.078,0.061,0.054
DVU2205,0.019,0.053,0.023,0.039,0.064,0.074,0.082,0.063,0.031,0.083,0.056,0.041,0.018,0.074,0.052,0.03,0.082,0.061,0.055
DVU2206,0.033,0.053,0.041,0.042,0.063,0.059,0.071,0.045,0.066,0.074,0.071,0.039,0.008,0.052,0.065,0.028,0.077,0.06,0.054
DVU2207,0.014,0.038,0.028,0.023,0.042,0.023,0.07,0.047,0.033,0.089,0.15,0.066,0.014,0.033,0.089,0.052,0.08,0.063,0.046
DVU2208,0.029,0.036,0.029,0.036,0.072,0.036,0.058,0.043,0.036,0.087,0.144,0.043,0,0.051,0.079,0.036,0.073,0.06,0.051
DVU2209,0.03,0.058,0.034,0.026,0.061,0.073,0.103,0.049,0.052,0.092,0.047,0.043,0.006,0.063,0.049,0.025,0.078,0.056,0.055
DVU2210,0.024,0.058,0.038,0.027,0.056,0.081,0.086,0.056,0.055,0.087,0.065,0.034,0.011,0.053,0.054,0.027,0.076,0.056,0.057
DVU2211,0.033,0.041,0.045,0.037,0.062,0.058,0.069,0.049,0.049,0.083,0.077,0.042,0.012,0.055,0.061,0.037,0.076,0.058,0.058
DVU2212,0.056,0.056,0.034,0.031,0.056,0.051,0.096,0.049,0.054,0.072,0.054,0.045,0.013,0.074,0.04,0.029,0.077,0.057,0.056
DVU2213,0.026,0.072,0.036,0.032,0.076,0.095,0.087,0.04,0.05,0.081,0.049,0.034,0.014,0.049,0.044,0.017,0.081,0.058,0.058
DVU2214,0.041,0.064,0.032,0.046,0.078,0.041,0.069,0.032,0.051,0.074,0.078,0.041,0.014,0.041,0.064,0.028,0.084,0.056,0.065
DVU2215,0.045,0.042,0.036,0.024,0.033,0.067,0.094,0.057,0.054,0.082,0.048,0.051,0.012,0.061,0.061,0.045,0.075,0.059,0.053
DVU2216,0.046,0.046,0.028,0.031,0.046,0.105,0.089,0.043,0.037,0.077,0.046,0.055,0.018,0.055,0.055,0.031,0.079,0.056,0.056
DVU2217,0.022,0.03,0.037,0.032,0.04,0.062,0.08,0.035,0.043,0.078,0.086,0.072,0.014,0.046,0.078,0.051,0.079,0.059,0.056
DVU2218,0.031,0.037,0.05,0.04,0.053,0.036,0.077,0.039,0.063,0.085,0.094,0.049,0.012,0.048,0.069,0.025,0.078,0.06,0.054
