DCC_Twist.Tilt.lag.1,DCC_Twist.Tilt.lag.2,DCC_Tilt.Twist.lag.1,DCC_Tilt.Twist.lag.2
DVU1131,-0.301,0.019,-0.272,-0.007
DVU1132,-0.249,0.061,-0.227,0.022
DVU1133,-0.349,0.076,-0.307,0.027
DVU1134,-0.329,0.065,-0.177,0.025
DVU1135,-0.308,-0.005,-0.244,0.05
DVU1136,-0.224,-0.024,-0.235,0.003
DVU1137,-0.266,-0.024,-0.212,0.025
DVU1138,-0.301,0.08,-0.302,0.078
DVU1139,-0.282,0.046,-0.254,0.02
DVU1140,-0.292,0.008,-0.286,0.012
DVU1141,-0.238,-0.046,-0.293,-0.026
DVU1142,-0.297,0.093,-0.201,0.014
DVU1143,-0.317,0.01,-0.198,-0.035
DVU1144,-0.257,0.017,-0.21,0.026
DVU1145,-0.269,-0.054,-0.198,-0.03
DVU1147,-0.273,0.003,-0.282,0.01
DVU1148,-0.32,0.031,-0.313,0.032
DVU1150,-0.324,0.041,-0.281,0.013
DVU1151,-0.285,-0.093,-0.361,0.005
DVU1152,-0.296,-0.081,-0.22,-0.049
DVU1153,-0.31,-0.017,-0.445,0.124
DVU1154,-0.314,0.092,-0.367,0.176
DVU1155,-0.495,0.209,-0.616,0.279
DVU1156,-0.27,-0.013,-0.269,0.002
DVU1157,-0.273,0.002,-0.289,0.018
DVU1158,-0.295,-0.004,-0.265,-0.03
DVU1159,-0.284,0.004,-0.273,-0.042
DVU1160,-0.304,0.032,-0.317,0.02
DVU1161,-0.271,0.009,-0.247,0.032
DVU1162,-0.352,0.095,-0.318,0.044
DVU1163,-0.25,0,-0.303,0.04
DVU1164,-0.287,-0.024,-0.316,0.003
DVU1165,-0.322,-0.008,-0.26,0.004
DVU1166,-0.232,-0.082,-0.227,0.057
DVU1167,-0.373,0.078,-0.342,0.088
DVU1168,-0.316,-0.022,-0.355,-0.008
DVU1169,-0.3,-0.006,-0.299,0.002
DVU1170,-0.248,0.004,-0.187,-0.007
DVU1171,-0.361,0.117,-0.324,0.2
DVU1172,-0.336,-0.015,-0.427,0.053
DVU1173,-0.309,-0.004,-0.273,-0.029
DVU1174,-0.317,0.042,-0.316,0.059
DVU1175,-0.295,0.022,-0.325,0.008
DVU1176,-0.297,-0.007,-0.291,0.035
DVU1177,-0.329,0.023,-0.308,-0.013
DVU1178,-0.403,-0.166,-0.516,-0.021
DVU1179,-0.264,-0.016,-0.27,0.003
DVU1180,-0.325,-0.025,-0.275,-0.034
DVU1181,-0.231,-0.038,-0.312,0.058
DVU1182,-0.271,0.028,-0.32,0.022
DVU1183,-0.235,-0.049,-0.287,0.042
DVU1185,-0.282,0.01,-0.232,0.012
DVU1186,-0.249,0.009,-0.21,-0.011
DVU1187,-0.318,-0.026,-0.237,-0.069
DVU1188,-0.36,0.043,-0.449,0.037
DVU1189,-0.284,0.026,-0.288,-0.005
DVU1190,-0.282,-0.004,-0.24,-0.021
DVU1191,-0.261,0.036,-0.254,0.018
DVU1192,-0.335,0.055,-0.288,0.073
DVU1193,-0.324,0.014,-0.258,0.027
DVU1194,-0.238,-0.003,-0.222,-0.049
DVU1195,-0.325,-0.002,-0.311,0.031
DVU1196,-0.272,-0.018,-0.271,-0.022
DVU1197,-0.199,-0.047,-0.216,-0.029
DVU1198,-0.214,-0.088,-0.299,-0.053
DVU1199,-0.231,-0.05,-0.258,0.016
DVU1200,-0.263,-0.029,-0.292,0.063
DVU1201,-0.325,0.046,-0.317,0.015
DVU1202,-0.343,0.03,-0.307,0.059
DVU1203,-0.24,-0.064,-0.315,-0.03
DVU1204,-0.241,-0.046,-0.288,-0.019
DVU1205,-0.16,-0.141,-0.182,-0.064
DVU1206,-0.239,-0.088,-0.267,-0.033
DVU1207,-0.271,0.01,-0.296,-0.022
DVU1208,-0.237,-0.029,-0.252,0
DVU1209,-0.284,0.01,-0.384,0.034
DVU1210,-0.269,0.044,-0.181,0.024
DVU1211,-0.192,-0.076,-0.271,-0.028
DVU1212,-0.253,-0.019,-0.297,0.019
DVU1213,-0.287,0.012,-0.279,0.014
DVU1214,-0.267,-0.013,-0.304,-0.018
DVU1215,-0.287,0.053,-0.364,0.04
DVU1216,-0.302,-0.115,-0.43,-0.052
DVU1217,-0.323,0.009,-0.275,-0.011
DVU1218,-0.292,0.014,-0.289,0.016
DVU1219,-0.268,-0.004,-0.281,0.019
DVU1220,-0.322,0.035,-0.272,0.05
DVU1221,-0.286,0.107,-0.321,0.009
DVU1222,-0.312,0.098,-0.244,0.067
DVU1223,-0.242,-0.026,-0.255,-0.018
DVU1224,-0.309,-0.017,-0.285,0
DVU1225,-0.321,0.071,-0.268,0.019
DVU1226,-0.396,0.024,-0.242,-0.128
DVU1227,-0.26,0.09,-0.197,0.081
DVU1228,-0.286,0.02,-0.262,-0.059
DVU1229,-0.267,0.036,-0.342,0.113
DVU1230,-0.287,0.044,-0.303,0.136
DVU1231,-0.367,0.037,-0.279,0.012
DVU1232,-0.297,0.029,-0.267,0.053
DVU1233,-0.308,0.042,-0.249,0.018
DVU1234,-0.312,-0.002,-0.311,0.001
DVU1235,-0.317,0.06,-0.296,0.026
DVU1236,-0.206,-0.025,-0.233,-0.07
DVU1237,-0.232,-0.04,-0.303,0.002
DVU1238,-0.224,-0.128,-0.289,-0.051
DVU1239,-0.376,0.008,-0.304,-0.036
DVU1240,-0.273,0.033,-0.222,0.006
DVU1241,-0.251,-0.005,-0.279,0.066
DVU1242,-0.295,0.038,-0.266,-0.011
DVU1243,-0.224,-0.071,-0.284,-0.012
DVU1244,-0.308,-0.09,-0.297,0.022
DVU1245,-0.268,0.015,-0.274,0.032
DVU1246,-0.265,-0.069,-0.334,-0.035
DVU1247,-0.209,-0.014,-0.236,-0.023
DVU1248,-0.257,-0.046,-0.267,-0.028
DVU1249,-0.29,0.021,-0.284,0.018
DVU1250,-0.253,0.001,-0.25,0.009
DVU1251,-0.28,-0.041,-0.149,-0.075
DVU1252,-0.331,0.029,-0.296,0.02
DVU1253,-0.417,0.048,-0.457,0.038
DVU1254,-0.329,-0.013,-0.31,0.077
DVU1255,-0.287,-0.031,-0.245,-0.074
DVU1256,-0.317,0.019,-0.321,0.072
DVU1257,-0.305,0.083,-0.292,0.05
DVU1258,-0.23,-0.027,-0.256,-0.028
DVU1259,-0.312,-0.058,-0.24,-0.137
DVU1260,-0.348,0.026,-0.312,0.004
DVU1261,-0.279,-0.01,-0.267,0.019
DVU1262,-0.225,-0.02,-0.271,0.026
DVU1263,-0.3,-0.005,-0.313,0.024
DVU1264,-0.28,-0.03,-0.334,0.045
DVU1265,-0.256,-0.055,-0.204,-0.043
DVU1266,-0.323,0.006,-0.3,-0.033
DVU1267,-0.268,-0.069,-0.431,0.056
DVU1268,-0.344,-0.009,-0.388,0.048
DVU1269,-0.431,0.234,-0.302,0.093
DVU1270,-0.266,-0.057,-0.272,-0.027
DVU4015,-0.318,0.036,-0.254,-0.052
DVU1271,-0.284,-0.034,-0.297,-0.03
DVU1272,-0.272,-0.024,-0.305,0.006
DVU1273,-0.225,-0.033,-0.254,-0.049
DVU1274,-0.326,-0.009,-0.36,0.027
DVU1275,-0.263,-0.006,-0.259,-0.036
DVU1276,-0.266,-0.012,-0.296,0.026
DVU1277,-0.462,0.096,-0.352,0.057
DVU1278,-0.207,-0.023,-0.223,-0.037
DVU1279,-0.315,0.026,-0.273,-0.027
DVU1280,-0.283,-0.048,-0.324,0.002
DVU1281,-0.323,0.049,-0.263,0.011
DVU1282,-0.263,-0.006,-0.253,0.025
DVU1283,-0.241,-0.042,-0.249,-0.033
DVU1284,-0.258,-0.011,-0.279,0.021
DVU1285,-0.292,0.014,-0.267,-0.003
DVU1286,-0.271,-0.017,-0.295,-0.026
DVU1287,-0.259,0.005,-0.308,0.017
DVU1288,-0.302,0.024,-0.288,0.019
DVU1289,-0.274,-0.006,-0.282,0.017
DVU1290,-0.26,-0.018,-0.289,-0.029
DVU1291,-0.256,0.024,-0.245,0.043
DVU1292,-0.198,-0.038,-0.222,0.011
DVU4003,-0.233,-0.018,-0.222,-0.014
DVU1294,-0.228,-0.015,-0.246,0.039
DVU1295,-0.227,0.015,-0.211,-0.029
DVU1296,-0.245,-0.164,-0.337,0.019
DVU1297,-0.252,0.037,-0.211,-0.014
DVU1298,-0.265,0.031,-0.369,0.063
DVU1299,-0.238,-0.021,-0.207,-0.054
DVU1300,-0.26,-0.05,-0.276,-0.033
DVU1301,-0.271,0.003,-0.264,0.022
DVU1302,-0.351,0.064,-0.323,0.038
DVU1303,-0.258,-0.039,-0.216,-0.092
DVU1304,-0.222,-0.018,-0.245,0.007
DVU1305,-0.201,-0.057,-0.225,-0.004
DVU1306,-0.259,-0.035,-0.284,-0.068
DVU1307,-0.322,0.039,-0.292,0.02
DVU1308,-0.254,-0.001,-0.284,-0.006
DVU1309,-0.29,0.013,-0.241,0.008
DVU1310,-0.24,-0.006,-0.223,-0.048
DVU1311,-0.138,-0.109,-0.266,0.041
DVU1312,-0.173,-0.118,-0.299,-0.052
DVU1313,-0.208,-0.031,-0.217,-0.008
DVU1314,-0.309,-0.005,-0.224,-0.07
DVU1315,-0.213,-0.018,-0.223,0.004
DVU1316,-0.251,0.062,-0.241,-0.007
DVU1317,-0.272,0.033,-0.209,0.029
DVU1318,-0.269,-0.026,-0.23,-0.113
DVU1319,-0.269,0.018,-0.3,0.018
DVU1320,-0.207,-0.115,-0.244,-0.05
DVU1321,-0.183,-0.086,-0.153,-0.131
DVU1322,-0.283,0.046,-0.21,-0.017
DVU1323,-0.286,-0.002,-0.284,-0.024
DVU1324,-0.331,0.016,-0.298,-0.009
DVU1325,-0.18,-0.067,-0.17,-0.056
DVU1326,-0.316,-0.006,-0.289,-0.014
DVU1327,-0.216,-0.025,-0.288,-0.022
DVU1328,-0.258,-0.001,-0.288,0.001
DVU1329,-0.223,-0.053,-0.196,-0.032
DVU1330,-0.237,0.013,-0.304,-0.015
DVU1331,-0.257,-0.018,-0.256,0.022
DVU1333,-0.493,0.164,-0.291,0.059
DVU1334,-0.21,-0.014,-0.226,-0.027
DVU1335,-0.305,0.027,-0.352,0.07
DVU1336,-0.237,-0.015,-0.261,-0.011
DVU1337,-0.226,-0.02,-0.229,-0.008
DVU1338,-0.246,-0.049,-0.281,-0.005
DVU1339,-0.244,-0.026,-0.233,-0.029
DVU1340,-0.302,0.049,-0.301,0.032
DVU1341,-0.273,-0.032,-0.286,-0.03
DVU1342,-0.277,0.034,-0.319,-0.017
DVU1343,-0.214,-0.033,-0.32,0.027
DVU1344,-0.261,-0.02,-0.272,-0.026
DVU1345,-0.258,0.01,-0.259,-0.007
DVU1346,-0.287,0.03,-0.286,0.08
DVU1347,-0.32,0.026,-0.308,-0.021
DVU1348,-0.205,-0.057,-0.125,-0.121
DVU1349,-0.262,-0.025,-0.247,-0.039
DVU1350,-0.29,0.011,-0.301,0.005
DVU1351,-0.215,0.014,-0.293,0.05
DVU1352,-0.308,0.052,-0.327,0.096
DVU1353,-0.246,0.001,-0.252,0.017
DVU1354,-0.325,0.089,-0.403,0.133
DVU1355,-0.206,-0.062,-0.195,-0.033
DVU1356,-0.326,0.055,-0.287,-0.001
DVU1357,-0.344,0.056,-0.33,0.07
DVU1358,-0.323,0.013,-0.306,0.006
DVU1359,-0.28,0.04,-0.325,0.019
DVU1360,-0.31,0.015,-0.297,-0.013
DVU1361,-0.241,-0.016,-0.285,0.042
DVU1362,-0.259,-0.026,-0.317,0.02
DVU1363,-0.287,0.002,-0.287,0.016
DVU1364,-0.298,-0.006,-0.301,0.007
DVU1365,-0.325,0.078,-0.277,0.03
DVU1366,-0.256,-0.001,-0.263,0.003
DVU1367,-0.221,-0.114,-0.19,-0.166
DVU1368,-0.328,0.025,-0.272,0.022
DVU1369,-0.352,0.072,-0.194,0.024
DVU1370,-0.255,-0.004,-0.226,-0.044
DVU1371,-0.329,0.067,-0.314,0.08
DVU1372,-0.288,-0.033,-0.348,-0.029
DVU1373,-0.205,-0.01,-0.182,-0.036
DVU1374,-0.288,-0.042,-0.174,0.005
DVU1375,-0.23,-0.008,-0.196,0.06
DVU1376,-0.291,0.011,-0.296,-0.006
DVU1377,-0.222,-0.024,-0.253,-0.007
DVU1378,-0.211,-0.045,-0.279,0.013
DVU1379,-0.255,0.111,-0.291,0.053
DVU1380,-0.297,-0.018,-0.373,-0.014
DVU1381,-0.159,-0.075,-0.202,-0.012
DVU1383,-0.309,0.026,-0.258,-0.023
DVU1384,-0.294,-0.056,-0.291,-0.039
DVU1385,-0.218,-0.077,-0.291,-0.087
DVU1386,-0.26,-0.029,-0.28,-0.012
DVU1387,-0.334,0.01,-0.335,0.006
DVU1388,-0.291,0.043,-0.296,0.068
DVU1389,-0.29,0,-0.23,-0.017
DVU1390,-0.255,-0.014,-0.339,0.018
DVU1391,-0.291,0.065,-0.282,0.036
DVU1392,-0.289,0.004,-0.261,-0.018
DVU1393,-0.364,0.029,-0.354,0.107
DVU1394,-0.312,0.03,-0.329,0.03
DVU1395,-0.289,0.005,-0.112,-0.054
DVU1396,-0.251,0.111,-0.224,0.067
DVU1397,-0.269,-0.083,-0.295,-0.005
DVU1398,-0.284,0.039,-0.313,0.031
DVU1399,-0.233,-0.036,-0.207,-0.009
DVU1400,-0.252,-0.045,-0.254,-0.049
DVU1401,-0.29,-0.042,-0.333,-0.008
DVU1402,-0.306,-0.007,-0.259,-0.011
DVU1403,-0.292,0.067,-0.2,0.066
DVU1404,-0.304,0.027,-0.309,0.027
DVU1405,-0.272,0.026,-0.317,-0.017
DVU1406,-0.317,0.008,-0.295,-0.009
DVU1407,-0.248,0.007,-0.277,0.056
DVU1408,-0.237,-0.001,-0.212,-0.033
DVU1409,-0.249,-0.013,-0.255,-0.009
DVU1410,-0.284,0.058,-0.283,0.036
DVU1411,-0.227,-0.027,-0.241,-0.019
DVU1412,-0.291,0.016,-0.321,0.04
DVU1413,-0.271,0.026,-0.256,0.022
DVU1414,-0.276,-0.003,-0.29,0.043
DVU1415,-0.268,-0.002,-0.256,-0.003
DVU1416,-0.235,0.008,-0.257,0.021
DVU1417,-0.425,0.157,-0.404,0.178
DVU1418,-0.213,-0.052,-0.263,-0.008
DVU1419,-0.268,-0.003,-0.232,0.003
DVU1420,-0.282,0.035,-0.19,-0.107
DVU1421,-0.26,0.012,-0.259,0.008
DVU1422,-0.19,-0.029,-0.253,-0.023
DVU1423,-0.24,-0.019,-0.271,0.01
DVU1424,-0.292,0.024,-0.264,0.003
DVU1425,-0.285,0.007,-0.294,0.008
DVU1426,-0.215,-0.11,-0.271,-0.026
DVU1427,-0.288,0.048,-0.314,0.025
DVU1428,-0.306,0.013,-0.309,0.015
DVU1429,-0.25,-0.005,-0.277,0.013
DVU1430,-0.253,-0.012,-0.258,-0.014
DVU1431,-0.287,-0.014,-0.239,-0.026
DVU1432,-0.251,0.022,-0.271,0.036
DVU1433,-0.24,-0.151,-0.269,-0.038
DVU1434,-0.293,-0.028,-0.231,-0.03
DVU1435,-0.233,0.003,-0.274,0.038
DVU1436,-0.275,0.069,-0.245,-0.131
DVU1437,-0.209,-0.028,-0.139,-0.072
DVU1438,-0.276,0.01,-0.254,-0.004
DVU1439,-0.345,0.032,-0.313,0.05
DVU1440,-0.272,0.034,-0.233,0.011
DVU1441,-0.235,-0.062,-0.258,-0.068
DVU1442,-0.186,-0.045,-0.251,-0.008
DVU1443,-0.254,-0.058,-0.306,-0.027
DVU1444,-0.261,-0.057,-0.218,-0.052
DVU1445,-0.234,-0.006,-0.22,-0.02
DVU1446,-0.216,-0.004,-0.288,-0.003
DVU1447,-0.261,0.001,-0.251,-0.004
DVU1448,-0.251,-0.034,-0.273,-0.029
DVU1449,-0.211,-0.057,-0.271,-0.059
DVU1450,-0.321,0.022,-0.339,0.061
DVU1451,-0.288,-0.024,-0.296,0.003
DVU1452,-0.271,0.012,-0.217,0.01
DVU1453,-0.242,-0.001,-0.266,0.017
DVU1454,-0.279,0.026,-0.324,0.019
DVU1455,-0.189,-0.092,-0.215,-0.027
DVU1456,-0.268,-0.006,-0.292,0.03
DVU1457,-0.22,-0.037,-0.289,-0.003
DVU1458,-0.197,-0.068,-0.263,-0.005
DVU1459,-0.242,0.044,-0.255,0.044
DVU1460,-0.325,0.002,-0.277,0.038
DVU1461,-0.262,0.017,-0.288,0.015
DVU1462,-0.245,0.035,-0.272,0.052
DVU1463,-0.258,-0.017,-0.303,-0.03
DVU1464,-0.303,0.008,-0.262,-0.018
DVU1465,-0.274,-0.003,-0.238,-0.007
DVU1466,-0.257,-0.048,-0.223,-0.069
DVU1467,-0.244,0.008,-0.255,0.003
DVU1468,-0.231,-0.068,-0.241,-0.072
DVU1469,-0.229,-0.028,-0.261,-0.037
DVU1470,-0.242,0.035,-0.198,-0.09
DVU1471,-0.272,-0.004,-0.305,0.025
DVU1472,-0.261,0.023,-0.249,0.004
DVU1473,-0.177,-0.03,-0.341,0.084
DVU1474,-0.531,0.243,-0.413,0.216
DVU1475,-0.299,0.024,-0.236,0.035
DVU1476,-0.235,-0.109,-0.323,0.064
DVU1477,-0.328,0.013,-0.294,0.065
DVU1478,-0.332,0.016,-0.292,0.049
DVU1479,-0.327,0.064,-0.288,0.066
DVU1480,-0.336,0.046,-0.373,0.032
DVU1481,-0.368,0.102,-0.296,0.05
DVU1482,-0.299,0.061,-0.286,0.055
DVU1483,-0.357,-0.038,-0.282,-0.012
DVU1484,-0.273,0.002,-0.262,0.038
DVU1485,-0.413,0.016,-0.292,-0.017
DVU1486,-0.316,0.018,-0.321,0.009
DVU1487,-0.283,0.039,-0.353,0.075
DVU1488,-0.331,-0.004,-0.306,0.052
DVU1489,-0.361,0.133,-0.369,0.105
DVU1490,-0.272,-0.031,-0.247,-0.025
DVU1491,-0.211,0.002,-0.215,0.05
DVU4002,-0.237,-0.001,-0.267,0.012
DVU1493,-0.331,0.024,-0.251,-0.006
DVU1494,-0.274,-0.02,-0.263,-0.026
DVU1495,-0.262,0.033,-0.314,0.058
DVU1496,-0.236,0.018,-0.245,0.038
DVU1497,-0.263,0.055,-0.233,0.007
DVU1498,-0.288,0.006,-0.334,0.1
DVU1499,-0.241,0.055,-0.245,0.017
DVU1500,-0.236,-0.06,-0.316,0.007
DVU1501,-0.308,0.056,-0.276,-0.018
DVU1502,-0.259,-0.007,-0.274,-0.027
DVU1503,-0.313,0.032,-0.261,0.009
DVU1504,-0.228,-0.006,-0.216,-0.009
DVU1505,-0.269,0.113,-0.31,0.18
DVU1506,-0.33,-0.084,-0.33,-0.012
DVU1507,-0.312,-0.066,-0.268,-0.021
DVU1508,-0.373,0.061,-0.331,0.001
DVU1509,-0.243,-0.025,-0.282,0.046
DVU1510,-0.313,0.076,-0.287,0.046
DVU1511,-0.262,0.015,-0.248,0.039
DVU1512,-0.38,0.138,-0.235,-0.019
DVU1513,-0.238,0.028,-0.266,0.099
DVU1514,-0.334,0.053,-0.293,0.06
DVU1515,-0.288,0.019,-0.3,0.067
DVU1516,-0.28,0.026,-0.248,-0.033
DVU1517,-0.266,0.031,-0.251,0.081
DVU1518,-0.186,-0.014,-0.229,-0.032
DVU1519,-0.292,-0.024,-0.236,-0.032
DVU1520,-0.242,-0.011,-0.212,-0.002
DVU1521,-0.495,0.048,-0.257,-0.07
DVU1522,-0.337,0.044,-0.301,0.063
DVU1523,-0.283,-0.023,-0.304,-0.007
DVU1524,-0.23,0.036,-0.248,0.023
DVU1525,-0.271,0.001,-0.217,0.011
DVU1526,-0.192,-0.127,-0.397,-0.018
DVU1527,-0.258,0.008,-0.245,0.015
DVU1528,-0.311,0.001,-0.268,0.011
DVU1529,-0.292,0.006,-0.283,0.031
DVU1530,-0.268,0.01,-0.295,0
DVU1531,-0.284,0.004,-0.226,0.001
DVU1532,-0.304,0.039,-0.302,0.031
DVU1533,-0.331,0.029,-0.316,0.02
DVU1534,-0.283,-0.057,-0.336,0.024
DVU1535,-0.282,-0.084,-0.232,-0.072
DVU1536,-0.31,0.007,-0.28,0.029
DVU1537,-0.221,-0.038,-0.268,-0.029
DVU1538,-0.269,0,-0.229,-0.073
DVU1539,-0.266,0.004,-0.296,-0.041
DVU1540,-0.245,-0.049,-0.347,0.018
DVU1541,-0.288,0.004,-0.275,-0.064
DVU1542,-0.189,-0.028,-0.24,0.043
DVU1543,-0.282,0.015,-0.251,0.008
DVU1544,-0.259,-0.014,-0.257,-0.028
DVU1545,-0.296,-0.04,-0.31,-0.052
DVU1546,-0.389,0.059,-0.309,0.025
DVU1547,-0.293,0,-0.259,-0.017
DVU1548,-0.355,0.037,-0.327,0.031
DVU1549,-0.338,0.024,-0.283,0.042
DVU1550,-0.284,-0.004,-0.315,0.014
DVU1551,-0.323,0.058,-0.331,0.06
DVU1552,-0.273,-0.004,-0.296,0.02
DVU1553,-0.282,0,-0.282,0.034
DVU1554,-0.309,0.071,-0.307,0.048
DVU1555,-0.25,0.038,-0.28,0.005
DVU1556,-0.282,0.003,-0.253,0.053
DVU1557,-0.259,0.018,-0.21,0.091
DVU1558,-0.296,0.03,-0.301,0.044
DVU1559,-0.27,-0.021,-0.278,-0.004
DVU1560,-0.264,-0.032,-0.299,-0.011
DVU1561,-0.241,-0.089,-0.182,-0.071
DVU1562,-0.285,0.026,-0.272,0.002
DVU1563,-0.271,0.001,-0.26,0.023
DVU1564,-0.241,0.025,-0.219,-0.034
DVU4023,-0.32,0.089,-0.303,0.107
DVU1566,-0.332,0.063,-0.257,0.052
DVU1567,-0.393,0.068,-0.345,0.159
DVU1568,-0.256,0.01,-0.234,-0.034
DVU1569,-0.279,0.004,-0.264,0.026
DVU1570,-0.332,-0.006,-0.319,0.046
DVU1571,-0.203,-0.049,-0.228,-0.027
DVU1572,-0.284,-0.006,-0.282,0.002
DVU1573,-0.266,0.006,-0.224,-0.015
DVU1574,-0.18,-0.036,-0.271,-0.031
DVU1575,-0.265,-0.054,-0.32,-0.026
DVU1576,-0.296,0.049,-0.241,0.013
DVU1577,-0.278,-0.016,-0.285,0.048
DVU1578,-0.231,-0.031,-0.256,-0.026
DVU1579,-0.267,0.014,-0.256,0.017
DVU1580,-0.238,-0.05,-0.279,0.005
DVU1581,-0.23,0.032,-0.255,0.039
DVU1582,-0.31,-0.013,-0.263,-0.026
DVU1583,-0.231,0.004,-0.251,0.008
DVU1584,-0.267,-0.014,-0.247,-0.027
DVU1585,-0.265,-0.024,-0.274,-0.035
DVU1586,-0.233,0.015,-0.182,-0.065
DVU1587,-0.277,-0.013,-0.303,0.027
DVU1588,-0.255,0.006,-0.267,0.081
DVU1589,-0.292,-0.061,-0.213,-0.101
DVU1590,-0.249,-0.016,-0.246,-0.036
DVU1591,-0.641,0.366,-0.418,0.236
DVU1592,-0.248,-0.013,-0.253,0.032
DVU1593,-0.33,-0.008,-0.302,-0.041
DVU1594,-0.252,-0.029,-0.247,-0.016
DVU1595,-0.25,0.024,-0.273,0.021
DVU1596,-0.28,0.003,-0.275,0.027
DVU1597,-0.31,0.065,-0.298,0.039
DVU1598,-0.244,0.036,-0.322,0.112
DVU1599,-0.294,0.008,-0.301,0.023
DVU1600,-0.306,0.015,-0.236,0.03
DVU1601,-0.406,0.123,-0.321,0.095
DVU1602,-0.29,0.012,-0.265,0.033
DVU1603,-0.364,0.061,-0.278,0.045
DVU1604,-0.222,-0.012,-0.289,0.019
DVU1605,-0.295,-0.008,-0.283,0.009
DVU1606,-0.242,-0.009,-0.282,0.004
DVU1607,-0.343,0.054,-0.352,0.091
DVU1608,-0.284,0.019,-0.224,-0.023
DVU1609,-0.289,0.027,-0.277,0.03
DVU1610,-0.286,-0.013,-0.244,-0.012
DVU1611,-0.276,0.015,-0.277,0.007
DVU1612,-0.246,-0.072,-0.322,0.017
DVU1613,-0.268,-0.007,-0.318,0.031
DVU1614,-0.41,0.142,-0.363,0.16
DVU1615,-0.233,-0.035,-0.297,0.011
DVU1616,-0.162,-0.13,-0.248,-0.198
DVU1617,-0.281,-0.048,-0.266,-0.022
DVU1618,-0.261,-0.003,-0.241,0.004
DVU1619,-0.291,-0.014,-0.272,0
DVU1620,-0.266,0.081,-0.411,0.048
DVU1621,-0.27,-0.054,-0.223,-0.096
DVU1622,-0.26,-0.025,-0.273,-0.037
DVU1623,-0.233,-0.023,-0.278,-0.018
DVU1624,-0.254,-0.022,-0.297,-0.007
DVU1625,-0.297,-0.01,-0.222,0.032
DVU1626,-0.269,0.006,-0.282,0.018
DVU4008,-0.307,0.045,-0.278,0.012
DVU1627,-0.257,0.012,-0.279,0.015
DVU1628,-0.232,-0.011,-0.268,0.005
DVU1629,-0.234,-0.057,-0.277,-0.024
DVU1630,-0.305,0.013,-0.249,-0.011
DVU1631,-0.239,-0.011,-0.265,-0.01
DVU1632,-0.232,-0.107,-0.253,-0.07
DVU1633,-0.337,0.036,-0.286,-0.017
DVU1634,-0.269,0.001,-0.296,-0.03
DVU1635,-0.233,0.028,-0.231,-0.075
DVU1636,-0.218,-0.047,-0.276,-0.04
DVU1637,-0.278,0.024,-0.35,0.016
DVU1638,-0.294,0.022,-0.235,0.027
DVU1639,-0.318,-0.015,-0.297,0.001
DVU4000,-0.157,-0.049,-0.166,-0.111
DVU1641,-0.313,0.014,-0.385,0.085
DVU1642,-0.275,0.036,-0.268,0.033
DVU1644,-0.298,-0.023,-0.261,0.017
DVU1645,-0.324,0.054,-0.306,0.081
DVU1646,-0.258,0.025,-0.248,0.056
DVU1647,-0.267,-0.004,-0.29,0.017
DVU1648,-0.315,0.037,-0.27,-0.029
DVU1649,-0.239,0.002,-0.248,0.001
DVU1650,-0.231,-0.022,-0.276,-0.009
DVU1651,-0.22,0.057,-0.217,-0.001
DVU1652,-0.257,0.089,-0.295,0.039
DVU1653,-0.266,0.009,-0.295,0.034
DVU1654,-0.252,0.042,-0.274,0.053
DVU1655,-0.262,-0.021,-0.308,-0.025
DVU1656,-0.308,0.02,-0.28,-0.064
DVU1657,-0.253,-0.022,-0.257,0.003
DVU1658,-0.261,-0.079,-0.285,-0.016
DVU1659,-0.364,0.112,-0.273,0.108
DVU1660,-0.218,-0.058,-0.277,-0.015
DVU1661,-0.205,-0.039,-0.307,-0.05
DVU1662,-0.254,-0.002,-0.276,0.011
DVU1663,-0.273,0.007,-0.301,0.02
DVU1664,-0.309,-0.056,-0.293,-0.009
DVU1665,-0.295,-0.042,-0.311,0.028
DVU1666,-0.232,-0.038,-0.253,-0.044
DVU1667,-0.242,0,-0.266,-0.021
DVU1668,-0.18,-0.021,-0.242,0.009
DVU1669,-0.242,0.017,-0.248,0.003
DVU1670,-0.289,-0.009,-0.266,-0.018
DVU1671,-0.214,-0.039,-0.271,0.008
DVU1672,-0.282,0.061,-0.296,0.088
DVU1673,-0.22,-0.013,-0.227,0
DVU1674,-0.295,0.01,-0.316,-0.037
DVU1675,-0.305,0.005,-0.31,0.107
DVU1676,-0.207,-0.01,-0.259,-0.053
DVU1677,-0.323,0.012,-0.309,0.015
DVU1678,-0.325,0.047,-0.304,0.034
DVU1679,-0.232,-0.051,-0.322,0.022
DVU1680,-0.281,-0.016,-0.268,0.015
DVU1681,-0.266,0.015,-0.276,0.014
DVU1682,-0.27,-0.029,-0.288,-0.007
DVU1683,-0.275,-0.007,-0.307,0.031
DVU1684,-0.238,0,-0.268,0.031
DVU1685,-0.251,0.005,-0.264,0.045
DVU1686,-0.25,0.024,-0.263,0.033
DVU1687,-0.314,0.063,-0.292,0.034
DVU1688,-0.314,0.065,-0.291,0.021
DVU1689,-0.244,-0.088,-0.312,0.028
DVU1690,-0.246,-0.012,-0.286,0.026
DVU1691,-0.351,0.013,-0.331,-0.128
DVU1692,-0.242,-0.004,-0.256,0.013
DVU1693,-0.275,0.021,-0.277,0.04
DVU1694,-0.347,-0.008,-0.268,0.035
