kmer_3_AAA,kmer_3_AAC,kmer_3_AAG,kmer_3_AAT,kmer_3_ACA,kmer_3_ACC,kmer_3_ACG,kmer_3_ACT,kmer_3_AGA,kmer_3_AGC,kmer_3_AGG,kmer_3_AGT,kmer_3_ATA,kmer_3_ATC,kmer_3_ATG,kmer_3_ATT,kmer_3_CAA,kmer_3_CAC,kmer_3_CAG,kmer_3_CAT,kmer_3_CCA,kmer_3_CCC,kmer_3_CCG,kmer_3_CCT,kmer_3_CGA,kmer_3_CGC,kmer_3_CGG,kmer_3_CGT,kmer_3_CTA,kmer_3_CTC,kmer_3_CTG,kmer_3_CTT,kmer_3_GAA,kmer_3_GAC,kmer_3_GAG,kmer_3_GAT,kmer_3_GCA,kmer_3_GCC,kmer_3_GCG,kmer_3_GCT,kmer_3_GGA,kmer_3_GGC,kmer_3_GGG,kmer_3_GGT,kmer_3_GTA,kmer_3_GTC,kmer_3_GTG,kmer_3_GTT,kmer_3_TAA,kmer_3_TAC,kmer_3_TAG,kmer_3_TAT,kmer_3_TCA,kmer_3_TCC,kmer_3_TCG,kmer_3_TCT,kmer_3_TGA,kmer_3_TGC,kmer_3_TGG,kmer_3_TGT,kmer_3_TTA,kmer_3_TTC,kmer_3_TTG,kmer_3_TTT
DVU1936,6,6,15,4,9,13,18,4,12,14,13,5,4,17,13,1,12,7,14,20,9,15,22,18,20,22,18,24,2,19,14,9,13,23,15,5,21,24,18,13,17,20,14,9,5,14,22,10,0,8,0,6,14,12,26,9,8,20,15,12,3,11,6,4
DVU1937,4,12,37,3,10,30,18,13,18,17,20,5,3,11,12,3,23,13,15,15,23,27,38,15,30,35,17,21,16,14,19,19,27,27,8,4,19,34,23,25,14,27,7,13,5,19,14,9,2,19,1,6,14,12,24,15,4,22,17,8,4,21,6,6
DVU1938,1,1,2,2,2,5,4,1,0,1,5,2,2,3,7,1,2,3,2,5,3,2,6,5,7,3,11,6,1,3,10,3,2,6,2,4,5,3,15,6,4,15,15,6,4,7,10,0,2,2,2,2,2,6,2,5,3,10,9,7,1,2,2,2
DVU1939,0,8,12,3,7,22,16,5,14,12,20,8,7,15,27,6,5,13,20,28,22,27,47,21,28,42,42,35,2,17,24,22,17,21,21,19,28,45,44,24,21,49,50,25,6,33,36,12,1,8,2,4,9,23,40,15,15,38,33,19,0,22,18,7
DVU1940,1,16,21,6,14,31,41,6,10,20,27,9,4,27,21,6,18,25,20,33,20,29,54,26,43,62,55,45,9,26,26,10,25,34,23,11,39,52,65,22,25,59,44,31,13,26,43,14,0,17,3,8,23,17,45,17,15,37,33,11,2,23,6,5
DVU1941,1,11,10,3,9,23,17,9,9,12,6,0,5,9,12,6,14,16,7,13,11,21,25,19,26,23,23,9,6,24,15,14,10,22,9,10,16,26,16,15,7,19,9,16,5,9,17,2,0,9,2,5,14,6,23,16,9,19,13,8,0,17,5,4
DVU1942,4,16,23,13,34,47,45,18,19,26,31,7,10,32,30,6,23,51,31,47,48,33,66,33,64,91,54,37,6,36,30,24,29,59,26,10,47,67,75,24,25,52,36,32,10,42,29,8,0,18,3,7,23,33,60,21,17,44,24,13,2,27,9,5
DVU1943,1,4,0,1,5,5,3,2,4,4,4,3,1,6,2,3,2,3,9,6,4,3,4,6,5,1,7,4,4,6,7,0,3,4,5,1,3,5,7,5,2,8,6,4,3,3,5,2,0,4,1,3,8,4,3,4,3,7,3,2,0,4,1,0
DVU1944,3,6,8,3,2,6,1,6,2,4,7,2,1,3,3,2,12,3,4,4,7,14,6,5,7,2,6,3,0,5,10,4,5,4,2,1,9,9,8,2,3,12,3,4,2,4,4,1,0,2,1,0,5,3,3,6,1,10,6,2,0,5,2,1
DVU1945,11,14,17,5,16,13,33,6,18,10,13,10,2,27,30,1,12,23,19,32,21,42,37,25,27,42,32,22,9,19,20,10,24,20,15,17,24,49,28,17,15,34,15,17,6,20,23,8,0,11,1,5,25,21,25,10,16,32,21,8,0,15,4,3
DVU1946,4,15,19,2,19,10,23,12,14,4,9,6,0,20,22,0,21,21,8,31,20,19,21,8,18,23,26,19,4,18,10,10,13,22,5,6,25,21,21,10,8,30,10,11,6,14,15,9,2,6,1,2,17,18,21,12,7,20,14,8,1,16,2,0
DVU1947,3,11,17,1,7,13,20,6,12,14,10,3,5,6,7,1,12,16,14,7,9,12,11,8,16,24,15,9,7,13,11,12,15,13,7,8,17,13,19,19,6,22,11,8,0,10,9,5,2,6,2,2,16,2,14,10,9,8,11,4,0,13,5,4
DVU1948,4,6,12,2,9,6,8,3,8,5,7,4,1,5,3,1,12,4,7,4,7,2,7,3,9,4,5,8,3,5,1,3,8,10,4,3,7,4,5,4,6,8,3,2,3,6,3,2,1,6,1,0,4,7,6,2,2,3,4,0,1,3,2,1
DVU1949,3,21,40,8,19,28,27,13,31,28,32,15,9,31,20,8,29,26,35,34,32,30,29,30,38,48,35,34,8,24,35,21,40,24,31,15,41,46,56,24,17,53,27,20,10,25,28,20,0,16,1,10,32,17,43,21,24,38,23,14,0,33,16,2
DVU1950,4,5,7,1,5,9,10,3,6,14,12,0,0,5,9,3,4,6,11,10,7,13,19,11,14,14,16,19,3,12,12,12,9,12,12,2,12,23,21,20,3,30,18,10,6,3,18,7,0,4,2,3,7,5,13,5,13,18,15,5,0,10,12,1
DVU1951,2,25,25,3,23,36,36,12,13,23,24,11,1,24,27,8,21,29,24,39,28,43,63,48,49,64,62,43,14,35,41,27,31,39,21,10,42,72,66,38,19,64,32,34,8,31,53,19,1,14,1,7,20,31,53,19,21,67,31,23,0,33,21,5
DVU1952,3,9,14,5,9,8,11,10,8,6,15,3,2,12,8,1,13,11,10,9,8,7,31,13,13,32,21,17,4,14,13,11,15,12,8,4,18,36,20,8,8,31,15,8,5,11,12,9,1,6,0,4,8,8,21,11,10,13,11,9,0,11,10,0
DVU1953,3,18,12,6,16,19,25,11,12,11,24,6,5,32,28,4,22,23,20,41,33,27,44,25,29,63,28,24,7,24,26,10,14,23,18,15,32,63,39,20,17,47,24,13,5,20,17,7,1,7,3,6,25,20,36,11,12,33,25,6,0,16,5,0
DVU1954,4,4,6,3,17,16,12,7,7,13,7,2,3,6,15,3,6,19,13,16,12,24,26,16,21,28,13,15,6,11,19,8,7,21,8,5,17,34,23,15,10,18,26,5,3,8,9,4,0,8,2,2,8,4,16,6,4,30,13,2,0,9,6,2
DVU1955,12,13,16,4,14,19,12,4,11,16,17,4,2,9,19,3,14,15,15,18,15,24,30,15,26,34,24,7,3,9,12,14,19,15,17,9,21,34,30,14,16,31,26,6,3,9,8,4,0,6,1,1,12,7,19,5,7,18,12,7,0,16,5,4
DVU1956,6,7,12,2,6,13,24,6,5,9,18,3,3,8,21,4,4,14,10,12,6,29,31,21,26,35,43,25,5,14,26,16,16,19,10,15,20,32,40,23,17,35,34,36,9,28,30,13,1,9,4,6,8,13,34,11,12,36,27,16,3,16,14,3
DVU1957,2,2,2,0,2,1,2,0,2,2,3,0,0,2,5,2,0,2,1,7,0,0,3,0,3,8,1,2,2,0,2,3,4,0,2,0,6,0,5,6,0,4,5,3,1,1,4,4,0,1,2,1,2,2,4,1,2,3,3,5,1,6,2,4
DVU1958,14,44,34,14,57,57,70,19,40,38,37,13,14,38,43,13,35,65,61,61,53,82,68,50,57,88,69,48,15,43,51,36,53,66,30,21,59,76,75,47,42,69,40,30,14,45,35,19,4,28,4,12,53,38,49,29,31,62,35,21,5,43,20,14
DVU1959,15,35,35,8,39,49,62,31,46,25,39,9,11,43,36,15,27,59,34,61,37,54,68,39,67,87,59,48,17,40,46,33,47,65,44,21,75,63,60,36,44,74,49,24,13,40,31,16,4,22,6,14,30,32,71,30,21,48,44,19,5,40,19,11
DVU1960,3,21,21,4,24,30,34,18,19,21,41,12,13,26,53,7,12,17,32,51,30,27,66,33,64,55,56,52,5,35,47,32,32,52,36,33,35,66,68,42,42,67,52,43,12,42,56,26,2,16,4,10,23,33,59,26,29,68,55,29,2,38,25,8
DVU1961,0,4,1,0,7,8,10,2,6,7,4,2,4,10,12,2,3,7,8,15,6,8,16,12,14,21,12,11,4,12,11,7,1,12,10,9,14,15,18,12,9,14,12,7,0,6,12,5,1,4,0,3,6,11,14,8,4,17,14,3,0,11,3,1
DVU1962,4,31,40,9,30,28,42,19,46,39,38,19,5,33,32,8,30,32,51,29,27,25,64,24,62,88,65,42,8,35,42,22,48,49,46,27,56,64,82,44,39,64,40,38,12,38,43,29,2,7,6,12,29,23,69,20,23,55,38,23,2,35,22,7
DVU1963,1,5,0,1,4,3,3,4,2,1,5,0,1,3,7,3,3,1,7,9,4,5,6,8,3,6,6,6,1,4,6,7,3,5,1,2,7,10,7,3,5,8,11,5,1,7,8,3,0,3,0,2,5,5,5,3,2,12,7,7,2,4,7,5
DVU1964,7,9,7,1,9,10,14,5,5,8,9,3,1,5,8,6,6,13,11,9,7,10,10,9,8,18,9,9,2,14,14,7,11,11,5,8,11,11,10,13,9,10,18,5,4,7,8,5,0,5,2,1,12,5,10,10,14,9,6,7,1,11,6,3
DVU1965,8,2,1,5,2,3,8,0,2,1,4,0,2,2,2,5,5,6,3,3,3,17,3,10,3,4,2,4,1,6,3,7,2,3,2,2,4,7,1,1,2,3,4,1,1,5,1,2,1,2,2,1,8,6,1,6,2,5,0,4,2,8,5,5
DVU1966,2,2,3,1,0,2,2,1,2,2,0,3,0,1,0,3,4,1,2,0,1,1,3,2,1,5,1,5,0,0,6,2,2,2,2,1,3,2,3,4,1,1,0,0,0,6,9,6,0,0,0,2,3,2,4,1,4,4,1,13,2,3,7,11
DVU1967,4,7,8,4,10,11,13,7,5,11,6,2,4,7,9,3,11,15,7,10,15,15,15,9,16,20,10,9,1,13,14,5,8,14,8,6,13,17,16,10,10,9,5,4,4,9,6,0,0,5,2,2,5,11,11,7,5,16,7,4,0,5,3,2
DVU1968,11,19,41,4,22,35,25,22,20,15,17,12,1,22,17,8,25,31,13,34,25,30,36,22,51,21,26,17,13,28,20,14,39,37,9,6,23,33,20,19,10,37,15,21,6,16,24,12,0,17,2,3,33,15,34,12,10,22,25,8,2,28,4,1
DVU1969,1,10,15,2,8,15,16,7,9,7,15,2,3,11,14,2,11,10,10,20,14,16,9,18,24,18,11,9,1,17,19,9,16,21,8,5,20,18,15,18,10,22,17,12,3,7,17,6,0,5,1,2,9,8,22,3,7,24,18,10,1,7,9,0
DVU1970,5,7,5,2,10,10,4,6,3,4,3,3,2,5,7,1,3,11,5,8,7,18,17,10,10,20,7,6,2,13,10,6,7,9,3,3,8,14,12,11,6,6,5,3,4,3,5,3,4,3,1,1,2,10,10,4,3,15,5,3,1,5,4,3
DVU1971,1,8,8,3,6,6,12,5,3,11,14,4,0,6,11,3,10,7,14,7,6,6,15,5,20,22,12,16,3,9,10,6,9,12,9,7,17,14,33,9,8,23,10,5,4,6,12,11,0,2,2,3,9,6,10,9,6,17,10,7,0,13,7,3
DVU1972,0,0,1,0,1,1,3,0,1,3,1,1,1,3,10,5,0,0,2,6,1,3,2,4,4,1,2,4,1,1,5,1,1,5,2,3,2,3,4,1,4,3,7,4,5,3,6,5,0,0,1,9,4,3,2,3,3,3,8,10,3,5,3,10
DVU1973,5,15,12,6,10,11,25,10,9,10,19,6,5,8,20,4,13,12,18,16,18,14,17,16,23,25,23,11,5,16,12,18,17,21,11,11,23,25,22,15,15,29,21,12,6,14,10,6,3,8,4,3,8,15,18,10,13,21,14,7,2,13,13,5
DVU1974,6,10,18,4,13,15,29,14,9,11,22,8,5,16,16,7,16,26,15,27,14,18,36,19,15,40,38,23,7,13,24,20,14,24,13,6,38,33,31,17,20,37,22,24,9,18,20,12,2,11,4,6,19,21,20,14,14,31,21,4,2,27,10,4
DVU1975,17,34,42,13,38,19,30,11,43,33,58,19,20,32,26,13,33,18,57,35,28,15,29,17,40,47,46,24,11,22,27,15,49,34,45,26,52,42,46,29,37,59,33,36,11,32,37,17,7,12,9,16,25,13,52,18,35,30,28,18,2,22,21,8
DVU1976,8,22,63,5,15,45,22,8,37,22,40,7,4,38,20,4,38,22,18,42,52,40,48,20,54,49,31,45,4,32,22,18,50,38,25,15,27,53,44,32,18,53,12,27,5,38,32,11,2,8,1,3,26,22,65,16,19,32,27,7,1,21,11,6
DVU1977,5,2,13,2,5,4,6,1,5,5,2,4,0,8,5,0,7,1,0,8,2,7,10,5,13,10,8,5,1,7,7,0,10,10,3,2,3,10,10,5,1,9,0,5,3,6,4,2,1,3,0,0,6,3,10,4,6,4,5,1,0,2,0,0
DVU1978,3,16,10,2,16,17,17,8,11,8,16,8,4,27,30,10,15,16,16,44,25,13,27,18,18,37,38,28,7,30,33,26,13,17,13,12,26,39,31,45,13,45,45,31,12,25,35,11,0,9,4,12,24,14,46,25,14,51,35,16,2,27,18,17
DVU1979,3,42,25,8,28,37,53,24,20,32,28,9,7,16,30,4,27,29,35,28,24,32,40,36,65,68,64,35,6,35,42,38,47,55,28,16,47,49,94,34,32,75,48,25,8,31,37,9,1,16,1,4,20,14,45,27,30,49,40,16,1,24,26,5
DVU1980,1,7,7,0,5,12,11,2,4,4,7,2,0,4,5,0,5,8,5,5,6,6,25,7,16,25,11,4,2,6,10,5,9,12,5,2,8,22,8,11,7,9,7,4,2,6,5,2,0,3,0,1,4,4,12,3,2,11,2,5,0,7,0,1
DVU1981,2,8,22,1,8,8,10,3,16,5,18,2,1,12,8,3,16,8,8,6,7,5,10,6,14,14,5,18,1,5,7,4,15,12,10,14,11,11,13,7,10,9,3,6,2,10,11,4,0,1,1,2,12,4,18,1,12,14,2,1,0,8,3,2
DVU1982,1,14,6,2,11,21,34,8,12,14,26,2,3,12,24,7,10,17,29,22,21,46,47,27,36,54,47,37,7,23,23,20,12,34,18,17,33,51,65,23,20,56,43,26,5,27,40,8,0,9,2,5,13,23,28,15,13,48,29,14,1,17,17,12
DVU1983,6,12,8,3,25,22,25,15,10,14,13,2,6,18,24,5,4,33,19,33,18,52,48,26,28,54,33,24,3,26,30,14,19,31,10,11,28,47,36,21,25,29,19,18,8,23,21,8,0,11,3,5,18,23,30,11,8,35,26,16,2,15,10,2
DVU1984,7,7,12,5,10,16,12,2,7,11,9,7,2,7,7,5,9,8,14,7,11,17,24,14,15,20,17,7,7,6,17,13,14,16,7,4,12,27,12,13,14,13,12,11,5,10,10,2,1,9,2,4,5,6,11,14,5,20,12,2,2,13,5,0
DVU1985,2,15,18,5,13,26,14,11,17,15,16,17,4,22,29,7,14,14,24,29,15,37,41,23,28,43,36,28,9,20,20,14,22,25,20,16,30,40,39,17,21,36,20,18,10,22,26,17,2,10,3,11,23,13,41,12,18,32,23,12,3,25,10,12
DVU1986,3,10,9,0,13,12,10,3,3,8,7,3,0,4,11,2,11,12,9,10,5,7,11,8,13,7,13,6,4,8,8,7,8,11,3,5,15,9,13,9,4,16,6,5,3,6,3,3,0,5,1,1,9,3,5,7,7,15,5,1,0,6,6,3
DVU1987,4,45,39,5,43,52,77,26,36,33,43,17,14,44,31,12,41,47,43,56,33,49,70,46,87,113,90,63,13,54,54,41,46,81,42,24,75,59,115,60,44,92,80,53,17,53,67,25,2,25,6,15,36,38,91,30,26,71,56,29,4,44,30,12
DVU1988,1,8,7,2,1,9,10,6,3,3,8,3,1,15,12,5,10,10,6,20,12,7,14,15,10,19,22,13,1,20,20,15,7,7,3,5,11,22,20,21,3,29,22,20,3,11,19,9,0,1,1,5,22,10,20,14,7,23,22,6,2,20,7,5
DVU1989,1,1,1,1,1,0,0,0,0,3,0,1,4,5,5,1,3,0,1,4,3,4,1,2,1,2,1,1,1,0,3,1,0,0,1,5,1,3,2,2,1,1,1,0,0,2,1,1,1,0,1,4,3,3,2,1,4,2,1,2,1,2,0,0
DVU1990,3,14,8,4,18,13,16,8,11,9,8,0,3,8,8,2,13,15,13,10,12,17,23,18,19,20,15,12,2,12,16,11,13,19,7,4,13,31,10,9,9,19,8,7,4,9,9,4,0,7,1,2,8,9,17,6,4,15,12,7,1,11,5,5
DVU1991,3,20,12,4,25,25,30,9,13,14,18,4,3,21,26,10,17,24,27,41,27,21,23,13,35,43,14,5,7,6,15,16,18,36,10,8,41,29,23,15,10,36,16,5,5,6,8,2,1,9,1,6,16,9,21,7,14,15,19,7,2,20,6,2
DVU1992,0,8,6,3,10,10,10,8,5,10,9,8,3,12,14,8,6,6,18,18,6,10,12,9,17,12,16,10,8,5,16,10,9,15,7,12,17,9,18,13,15,21,18,7,4,13,13,6,2,9,1,4,15,8,15,9,7,14,18,10,1,17,6,7
DVU1993,7,24,36,8,29,49,42,21,30,27,55,13,9,42,53,15,31,38,42,69,38,50,79,36,58,76,90,63,13,33,63,39,33,66,42,26,65,76,96,57,45,112,64,66,15,56,71,38,5,13,5,15,48,28,70,34,34,79,78,38,1,49,42,7
DVU1994,3,4,5,1,4,2,0,5,7,0,1,4,3,3,2,2,6,5,2,3,4,2,1,1,0,0,0,2,2,2,2,1,4,1,3,2,3,1,0,0,1,2,0,1,3,3,2,0,1,1,2,4,5,3,1,1,2,2,3,0,0,2,1,0
DVU1995,4,6,4,4,7,5,4,2,3,7,5,2,2,6,9,4,7,6,6,8,4,2,9,4,4,8,7,6,0,4,9,4,5,5,6,5,12,5,7,5,9,4,3,3,4,5,3,6,2,1,1,3,4,7,5,6,6,10,4,7,1,7,6,9
DVU1996,7,3,7,3,3,2,2,6,4,5,6,4,2,6,8,8,4,3,4,7,3,1,2,3,2,1,4,4,3,10,7,5,7,5,2,7,3,3,2,5,12,3,8,5,7,6,6,3,2,2,6,6,9,3,5,11,4,4,10,9,4,6,6,18
DVU1997,6,1,1,4,4,0,1,2,1,2,0,2,2,0,2,2,3,2,2,0,0,0,1,2,1,1,0,1,0,0,2,3,1,3,2,0,1,2,1,1,1,1,2,1,2,1,1,2,2,1,0,2,2,1,0,0,4,1,3,2,1,2,5,4
DVU1998,3,5,3,1,5,1,0,4,2,2,2,2,1,1,6,1,5,2,2,6,2,0,5,2,1,4,4,2,0,2,2,6,4,3,3,0,5,3,2,1,5,3,0,2,0,5,2,2,0,0,0,1,3,5,4,3,3,2,4,3,0,7,2,2
DVU1999,12,21,23,17,28,26,28,27,26,38,21,6,22,37,44,23,25,34,41,54,44,36,49,40,23,57,48,35,12,54,54,45,31,34,18,31,48,60,43,51,34,55,36,31,17,26,30,27,5,20,10,23,34,47,43,47,31,52,51,28,7,54,34,35
DVU2002,13,11,10,6,13,7,7,7,5,9,7,4,5,3,8,4,12,9,5,7,7,9,5,8,11,7,4,5,7,11,7,6,10,6,6,4,9,9,6,6,5,7,1,4,2,7,4,4,5,8,4,3,4,4,9,10,6,7,5,4,6,6,3,8
DVU2003,15,19,36,11,14,18,26,12,21,21,29,16,4,23,16,17,25,14,21,12,21,9,28,16,39,28,32,17,4,18,21,10,39,27,26,27,20,27,31,15,40,27,23,22,10,20,16,23,2,10,4,9,17,20,31,10,20,17,28,14,7,17,26,23
DVU2004,14,17,17,12,23,19,24,9,13,27,21,7,8,11,14,11,17,22,27,11,13,14,30,17,26,21,28,19,10,4,23,12,26,25,19,11,31,30,26,15,25,30,22,14,8,11,17,10,3,11,5,9,10,11,14,8,18,24,20,6,2,17,14,15
DVU2005,6,2,1,3,1,1,0,0,1,2,0,1,8,1,1,3,3,0,1,3,2,1,0,2,0,0,0,1,1,1,0,3,0,0,1,1,1,1,0,2,0,1,0,0,1,1,0,2,4,0,1,6,3,2,1,1,1,1,1,2,1,4,4,8
DVU2006,12,5,3,3,2,0,4,1,2,1,3,1,2,4,4,4,3,0,3,2,2,0,1,0,3,1,1,2,3,1,3,0,8,0,1,2,1,1,0,5,2,2,1,3,2,2,4,2,0,2,0,6,3,2,2,1,5,3,3,4,1,1,4,5
DVU2007,9,1,9,5,1,3,4,2,9,7,10,1,6,7,12,7,5,0,11,6,3,0,5,1,5,7,4,10,3,6,5,3,8,3,4,14,10,5,7,8,8,9,10,10,4,7,12,12,2,6,3,6,8,1,10,6,8,7,13,14,4,5,13,11
DVU2008,2,0,3,2,2,0,0,1,3,1,0,3,2,1,2,7,1,0,2,2,0,0,0,1,1,0,0,1,0,1,1,5,2,2,0,1,2,0,0,1,0,1,0,0,5,4,4,6,3,1,2,7,1,1,2,4,1,1,1,15,6,2,11,3
DVU2009,8,7,4,10,10,3,9,8,6,7,3,5,14,11,5,9,9,7,7,12,7,3,0,7,5,3,2,5,5,6,6,8,9,4,4,7,8,4,1,5,3,3,2,2,5,4,4,2,3,12,7,9,10,7,5,5,10,5,3,3,7,6,6,6
DVU2010,16,12,15,10,11,12,13,8,12,14,9,14,6,7,13,16,15,8,13,14,11,9,15,11,17,16,23,6,7,8,21,11,19,14,18,10,14,17,23,17,16,27,9,14,7,9,10,16,4,10,3,8,14,8,11,11,16,14,25,8,5,20,19,14
DVU2011,10,4,16,3,1,2,3,2,6,10,7,2,2,6,4,3,9,1,5,4,6,0,3,3,4,4,5,4,2,5,2,4,14,1,4,5,6,9,4,4,6,7,0,2,0,3,3,3,0,2,0,2,6,1,7,4,9,2,3,1,0,4,6,5
DVU2012,7,2,5,3,2,2,2,0,2,1,5,2,1,2,2,4,5,1,2,3,5,2,2,2,1,5,1,2,0,2,3,3,3,2,3,3,1,3,3,2,5,3,3,4,1,3,2,6,2,1,0,0,3,4,2,4,4,0,6,4,1,6,7,12
DVU2013,35,26,39,22,22,27,23,19,20,17,33,13,7,32,29,24,38,20,21,29,30,23,41,22,30,28,40,25,16,17,43,20,42,29,19,23,30,44,31,34,30,60,19,28,13,21,32,17,7,16,5,17,26,22,28,21,33,34,45,17,9,27,25,25
DVU2014,16,15,20,7,19,18,22,11,13,13,18,7,8,23,22,16,22,17,18,29,26,28,20,22,22,22,26,15,10,17,23,18,16,25,9,23,23,33,21,20,26,39,19,20,8,16,23,11,4,13,5,9,18,17,22,15,12,23,41,16,5,16,24,19
DVU2015,4,1,2,5,4,0,0,4,2,2,0,1,2,4,2,4,2,3,3,2,3,0,1,1,1,1,0,1,3,2,1,4,4,2,0,1,0,2,1,1,2,0,0,0,2,1,0,1,3,2,0,4,3,3,1,4,2,1,2,2,2,4,4,8
DVU2016,44,9,18,22,16,4,5,7,23,11,14,12,23,13,15,36,14,3,16,15,3,2,2,4,9,3,5,8,8,6,12,15,20,13,17,19,10,3,6,13,18,9,10,8,6,9,9,17,15,7,10,30,19,2,12,17,19,9,16,13,25,22,21,59
DVU2017,9,19,26,9,9,21,17,14,13,25,31,5,3,15,19,9,28,15,20,18,21,18,22,22,25,26,32,26,4,22,24,27,22,18,28,15,19,34,42,24,28,43,21,27,7,23,25,13,4,9,0,4,32,10,28,17,18,25,35,9,3,27,19,17
DVU2019,32,34,60,16,36,49,32,25,35,33,39,13,8,50,28,18,63,34,19,37,42,34,52,37,53,42,45,29,23,38,37,25,43,50,35,38,40,38,38,30,50,43,24,28,5,27,22,31,4,24,6,12,35,44,47,31,29,28,37,15,10,42,22,22
DVU2020,16,35,51,11,28,56,40,24,26,59,51,21,5,50,32,16,55,26,53,32,46,28,76,39,75,62,68,23,18,26,81,28,40,53,51,54,56,74,67,61,52,80,39,51,13,24,48,24,3,34,2,5,36,31,45,29,45,57,64,14,8,41,19,20
DVU2021,18,8,16,7,2,4,4,6,10,11,9,5,5,10,6,8,10,2,7,6,6,5,3,6,7,8,8,2,9,5,7,13,15,2,11,6,5,9,10,10,7,7,5,6,1,5,1,10,6,4,1,9,12,2,8,12,11,8,3,4,5,14,12,12
DVU2022,71,60,84,36,54,68,51,48,67,71,63,25,26,61,65,36,86,40,61,55,65,54,86,57,93,80,49,32,51,47,76,45,71,69,71,64,69,93,62,70,64,77,27,42,12,32,38,44,23,52,10,32,54,47,55,44,52,66,71,27,28,60,37,49
DVU2023,9,8,12,5,10,10,13,5,8,12,9,4,2,5,10,5,10,8,9,7,8,8,15,13,11,11,11,11,8,3,16,6,14,14,12,7,9,17,5,11,13,11,3,8,0,12,6,8,2,8,0,2,7,9,11,4,15,8,12,3,2,11,6,6
DVU2024,19,16,25,11,9,26,16,8,17,15,19,7,5,25,19,6,26,12,15,13,22,13,32,23,33,23,21,11,7,24,35,10,23,21,18,22,12,33,23,26,17,35,18,10,7,10,11,10,3,10,0,8,23,18,17,19,18,21,22,10,2,18,6,9
DVU2025,67,62,86,37,36,71,60,31,53,80,65,32,16,75,57,30,78,36,80,62,72,43,88,58,101,100,69,46,26,50,78,40,94,66,62,56,84,91,83,68,57,74,42,51,22,51,34,49,13,34,2,23,64,56,85,37,68,72,48,26,8,66,45,34
DVU2026,10,7,16,6,11,5,4,6,10,17,10,6,4,13,7,9,16,5,13,9,6,9,12,5,15,4,11,11,4,10,14,9,12,8,13,11,15,9,13,7,13,13,2,5,4,11,4,11,2,6,1,6,11,9,12,19,6,10,10,8,3,17,9,15
DVU2027,8,4,8,9,2,3,5,3,6,4,3,6,2,8,3,4,12,2,5,2,6,0,2,3,5,5,4,7,2,7,6,4,5,4,6,5,6,3,4,5,4,3,2,5,5,5,6,9,4,3,1,1,7,5,10,8,5,6,5,7,0,10,8,6
DVU2028,2,1,7,1,2,3,4,3,8,11,1,3,5,3,3,2,3,5,7,4,4,4,2,3,3,1,4,1,1,4,5,4,6,4,9,4,7,3,2,7,5,3,6,2,0,3,3,2,0,2,1,4,6,3,1,1,7,4,5,2,1,1,7,1
DVU2029,13,3,12,4,2,4,9,1,10,7,6,6,1,5,8,7,2,2,4,7,5,2,7,3,15,6,9,10,5,6,2,6,16,8,12,6,5,5,8,9,9,10,2,6,1,10,7,6,1,3,1,3,3,6,16,6,9,4,10,2,1,10,8,5
DVU2030,7,8,19,12,16,11,14,6,13,16,15,8,6,13,19,11,20,11,17,16,11,9,16,9,17,16,15,25,7,13,14,7,17,13,14,17,23,10,28,14,15,21,8,9,2,16,17,16,2,15,3,3,14,15,15,12,16,22,15,9,8,14,12,9
DVU2031,4,4,1,1,4,3,1,4,3,4,1,2,2,5,7,3,2,1,7,5,6,1,6,3,5,4,1,6,3,5,4,3,4,4,2,6,4,4,4,3,2,2,0,2,2,2,5,6,0,3,1,5,1,8,5,5,6,5,4,5,2,7,4,5
DVU2032,7,8,9,4,10,16,16,7,7,12,11,7,1,9,17,2,13,19,21,12,24,22,21,12,9,23,15,15,4,8,19,9,7,15,7,7,19,29,14,14,12,24,9,10,5,16,5,7,1,7,0,5,12,12,11,7,9,17,20,1,3,9,6,3
DVU2033,8,22,22,5,23,28,25,19,18,35,21,8,11,21,24,6,33,30,32,30,31,27,21,30,24,27,21,15,11,24,38,18,15,26,22,19,45,40,22,26,23,32,15,6,6,14,9,9,1,17,6,7,26,14,19,16,18,39,19,9,3,16,14,9
DVU2034,2,6,7,2,6,8,12,2,7,8,6,5,3,5,7,1,7,8,8,4,8,1,3,4,7,4,10,7,2,9,8,4,7,9,8,7,6,4,7,8,11,7,5,4,5,4,7,6,1,5,4,2,7,3,6,9,6,6,6,6,2,7,2,6
DVU2035,0,4,1,1,3,3,4,4,1,3,7,2,3,5,9,3,3,6,1,6,4,2,6,4,7,4,4,8,3,5,5,7,3,2,8,6,6,5,8,6,6,5,4,7,4,5,7,3,1,2,3,6,3,6,5,6,5,13,7,2,2,5,6,1
DVU2036,2,4,5,3,2,2,1,4,3,3,8,3,1,1,6,3,3,2,5,0,3,0,5,1,5,4,5,3,1,2,8,6,6,2,7,5,2,5,7,10,6,10,2,3,4,5,1,3,3,1,1,2,3,2,4,2,6,7,6,4,1,3,8,3
DVU2037,2,14,14,5,13,30,19,6,11,19,15,8,1,18,23,5,17,20,22,20,22,29,25,19,22,17,24,11,9,18,20,13,15,24,16,11,22,23,13,22,25,28,21,11,9,10,10,13,1,10,2,10,22,13,17,13,8,16,25,12,4,19,8,9
