,DACC_Twist.lag1,DACC_Twist.lag2,DACC_Tilt.lag1,DACC_Tilt.lag2,DACC_Twist.Tilt.lag.1,DACC_Twist.Tilt.lag.2,DACC_Tilt.Twist.lag.1,DACC_Tilt.Twist.lag.2
DVU1688,-0.4,0.032,-0.196,0.027,-0.314,0.065,-0.291,0.021
DVU1689,-0.329,-0.06,-0.156,-0.029,-0.244,-0.088,-0.312,0.028
DVU1690,-0.341,-0.025,-0.193,0.049,-0.246,-0.012,-0.286,0.026
DVU1691,-0.365,-0.041,-0.248,-0.113,-0.351,0.013,-0.331,-0.128
DVU1692,-0.327,0.012,-0.163,-0.026,-0.242,-0.004,-0.256,0.013
DVU1693,-0.336,0.042,-0.169,0.002,-0.275,0.021,-0.277,0.04
DVU1694,-0.368,0.051,-0.204,-0.026,-0.347,-0.008,-0.268,0.035
DVU1695,-0.398,-0.055,-0.233,-0.028,-0.35,-0.02,-0.299,-0.01
DVU1696,-0.35,0.058,-0.183,0.016,-0.297,0.064,-0.248,0.047
DVU1697,-0.373,-0.035,-0.192,-0.027,-0.31,-0.001,-0.265,-0.025
DVU1698,-0.445,0.095,-0.223,0.026,-0.339,0.069,-0.331,0.065
DVU1699,-0.452,-0.077,-0.187,-0.054,-0.421,0.035,-0.209,-0.159
DVU1700,-0.316,0.011,-0.18,0.028,-0.247,0.016,-0.268,0.029
DVU1701,-0.418,0.101,-0.212,0.031,-0.303,0.067,-0.369,0.055
DVU4024,-0.369,-0.017,-0.244,-0.028,-0.334,-0.017,-0.282,-0.028
DVU1702,-0.383,0.093,-0.223,0.019,-0.316,0.032,-0.312,0.104
DVU1703,-0.345,-0.03,-0.201,-0.01,-0.252,-0.024,-0.284,0.018
DVU1704,-0.391,-0.026,-0.218,-0.022,-0.258,-0.025,-0.319,0.002
DVU1705,-0.314,-0.03,-0.189,-0.053,-0.287,-0.047,-0.218,-0.028
DVU1707,-0.298,0.045,-0.205,0.053,-0.274,0.039,-0.261,0.089
DVU1708,-0.29,-0.046,-0.183,-0.029,-0.252,-0.036,-0.212,-0.038
DVU1709,-0.315,-0.001,-0.166,0.001,-0.251,0.023,-0.231,0.001
DVU1710,-0.34,0.006,-0.196,-0.035,-0.225,0.015,-0.322,-0.003
DVU1711,-0.241,-0.082,-0.155,0.027,-0.126,-0.013,-0.227,0.022
DVU1712,-0.314,-0.003,-0.182,0.003,-0.274,0.012,-0.235,0.003
DVU1713,-0.298,-0.06,-0.189,-0.031,-0.244,-0.058,-0.235,-0.018
DVU1714,-0.418,0.031,-0.22,0.016,-0.319,0.029,-0.333,0.039
DVU1715,-0.414,0.037,-0.214,0.016,-0.378,0.05,-0.285,0.031
DVU1716,-0.379,-0.024,-0.226,-0.03,-0.349,0.02,-0.262,-0.044
DVU1717,-0.418,0.046,-0.222,-0.025,-0.279,-0.014,-0.345,0.027
DVU1718,-0.339,-0.047,-0.182,-0.052,-0.259,-0.032,-0.253,-0.035
DVU1719,-0.258,-0.061,-0.165,-0.051,-0.214,-0.027,-0.198,-0.07
DVU1720,-0.343,0.039,-0.198,-0.001,-0.315,0.054,-0.199,0.002
DVU1721,-0.347,0.01,-0.193,0.017,-0.305,0.041,-0.233,0
DVU1722,-0.335,0.008,-0.135,0.035,-0.239,0.009,-0.235,0.018
DVU1723,-0.433,0.053,-0.236,0.027,-0.311,0.026,-0.374,0.085
DVU1724,-0.376,-0.013,-0.199,-0.023,-0.315,0.009,-0.277,-0.024
DVU1725,-0.398,0.034,-0.213,0.022,-0.331,0.062,-0.265,0.007
DVU1726,-0.323,-0.081,-0.202,0.005,-0.3,-0.024,-0.228,-0.027
DVU1727,-0.35,-0.078,-0.212,0.009,-0.307,-0.024,-0.256,0.009
DVU1728,-0.446,0.017,-0.217,0.004,-0.348,0.048,-0.312,0.016
DVU1729,-0.358,-0.052,-0.206,-0.009,-0.292,0.043,-0.278,-0.095
DVU1730,-0.305,0.015,-0.19,0.003,-0.203,0.028,-0.307,0.026
DVU1731,-0.331,-0.026,-0.163,0.061,-0.265,0.039,-0.239,0.022
DVU1732,-0.371,0.088,-0.186,0.037,-0.263,0.058,-0.32,0.099
DVU1733,-0.262,-0.037,-0.206,0.021,-0.301,0.044,-0.206,-0.033
DVU1734,-0.371,0,-0.188,-0.008,-0.306,-0.041,-0.29,-0.004
DVU1735,-0.353,0.166,-0.17,0.129,-0.202,0.165,-0.313,0.166
DVU1736,-0.263,-0.045,-0.143,0.049,-0.188,0.022,-0.232,-0.005
DVU1737,-0.442,0.042,-0.24,0.043,-0.437,0.099,-0.24,0.024
DVU1738,-0.404,0.08,-0.219,0.039,-0.334,0.094,-0.294,0.049
DVU1740,-0.324,0.013,-0.239,0.051,-0.352,0.051,-0.219,0.032
DVU1741,-0.326,0.051,-0.173,0.045,-0.329,0.067,-0.193,0.042
DVU1742,-0.423,0.007,-0.266,0,-0.279,-0.032,-0.407,0.004
DVU1743,-0.409,0.11,-0.197,0.04,-0.374,0.072,-0.279,0.083
DVU1744,-0.34,-0.01,-0.135,-0.019,-0.226,-0.029,-0.265,0.026
DVU1745,-0.314,-0.046,-0.194,-0.021,-0.23,-0.022,-0.287,-0.004
DVU1746,-0.363,0.048,-0.178,0.035,-0.258,0.027,-0.327,0.041
DVU1747,-0.327,0.001,-0.18,-0.036,-0.24,-0.022,-0.281,0.013
DVU1748,-0.414,0.045,-0.234,0.058,-0.336,0.034,-0.331,0.07
DVU1749,-0.371,0.058,-0.172,0.018,-0.32,0.037,-0.323,0.039
DVU1750,-0.369,0.044,-0.178,0.011,-0.267,0.009,-0.322,0.04
DVU1751,-0.368,0.063,-0.261,0.073,-0.311,0.008,-0.36,0.14
DVU1752,-0.378,0.056,-0.195,0.013,-0.318,0.054,-0.266,0.057
DVU1753,-0.422,0.162,-0.22,0.112,-0.34,0.087,-0.353,0.165
DVU1754,-0.4,0.037,-0.214,0.021,-0.282,0.066,-0.309,0.022
DVU1755,-0.356,0.023,-0.178,0.056,-0.268,0,-0.315,0.068
DVU1756,-0.416,0.087,-0.221,0.024,-0.298,0.075,-0.356,0.026
DVU1757,-0.41,0.048,-0.213,0.003,-0.36,0.04,-0.289,0.007
DVU1758,-0.331,-0.011,-0.167,-0.011,-0.234,-0.018,-0.304,-0.009
DVU1759,-0.304,-0.059,-0.15,0.05,-0.25,0.009,-0.211,-0.014
DVU1760,-0.341,0.014,-0.191,-0.027,-0.232,-0.038,-0.297,0.051
DVU1761,-0.411,-0.076,-0.253,-0.086,-0.402,-0.082,-0.275,-0.057
DVU1762,-0.296,-0.04,-0.18,-0.03,-0.206,-0.067,-0.258,0.022
DVU1763,-0.315,-0.029,-0.187,0.018,-0.365,0.023,-0.156,0.001
DVU1764,-0.381,-0.161,-0.246,-0.131,-0.359,-0.104,-0.264,-0.125
DVU1765,-0.365,0.023,-0.211,-0.007,-0.284,-0.007,-0.311,0.029
DVU1766,-0.387,0.043,-0.213,0.014,-0.287,0.022,-0.307,0.038
DVU1767,-0.385,0.054,-0.22,0.035,-0.328,0.05,-0.316,0.059
DVU1768,-0.354,-0.012,-0.186,0.002,-0.255,0,-0.295,0.007
DVU1769,-0.338,-0.04,-0.214,-0.035,-0.266,-0.039,-0.308,-0.001
DVU1770,-0.316,-0.007,-0.183,0.029,-0.207,0.01,-0.288,0.03
DVU1771,-0.379,0.032,-0.193,0.022,-0.304,0.035,-0.281,0.038
DVU1772,-0.389,0.019,-0.197,0.012,-0.282,0.013,-0.323,0.032
DVU1773,-0.399,0.145,-0.185,0.074,-0.323,0.101,-0.303,0.144
DVU1774,-0.35,0.003,-0.177,0.015,-0.247,0.015,-0.293,0.019
DVU1775,-0.394,0.007,-0.199,0.029,-0.299,0.033,-0.288,0.022
DVU1776,-0.518,0.178,-0.34,0.102,-0.531,0.177,-0.385,0.101
DVU1777,-0.35,-0.01,-0.173,0.005,-0.254,-0.006,-0.266,0.026
DVU1778,-0.359,-0.025,-0.197,0.002,-0.283,-0.003,-0.274,0.003
DVU1779,-0.457,0.063,-0.268,0.045,-0.407,0.06,-0.321,0.059
DVU1780,-0.442,0.051,-0.218,0.087,-0.371,0.073,-0.322,0.076
DVU1781,-0.391,0.039,-0.206,0.01,-0.335,0.013,-0.3,0.044
DVU1782,-0.355,0.015,-0.179,-0.004,-0.277,0.03,-0.264,0.006
DVU1783,-0.363,0.028,-0.193,-0.025,-0.313,-0.017,-0.276,0.029
DVU1784,-0.339,-0.007,-0.206,-0.007,-0.28,-0.03,-0.28,0.011
DVU1785,-0.356,-0.049,-0.188,-0.015,-0.241,-0.013,-0.308,-0.008
DVU1786,-0.383,0.005,-0.206,0.023,-0.275,0.026,-0.293,0.014
DVU1787,-0.368,0.034,-0.178,0.001,-0.32,0.017,-0.286,-0.003
DVU1788,-0.291,-0.063,-0.165,-0.031,-0.188,-0.073,-0.228,-0.02
DVU1789,-0.316,0,-0.18,0.005,-0.281,0,-0.233,0.008
DVU1790,-0.32,0.003,-0.172,0,-0.252,0.026,-0.237,0.002
DVU1791,-0.275,-0.03,-0.172,-0.023,-0.202,-0.06,-0.234,0.003
DVU1792,-0.248,-0.037,-0.145,-0.007,-0.219,-0.011,-0.16,-0.024
DVU1793,-0.286,0.019,-0.084,0.052,-0.267,0.029,-0.179,0.006
DVU1794,-0.388,-0.014,-0.213,0.023,-0.286,-0.006,-0.316,0.058
DVU1795,-0.237,-0.163,-0.159,-0.036,-0.194,-0.065,-0.151,-0.135
DVU1796,-0.245,0.006,-0.108,0.005,-0.183,0.021,-0.173,-0.025
DVU1797,-0.324,0.008,-0.162,0.014,-0.232,0.003,-0.283,0.026
DVU1798,-0.421,0.034,-0.222,-0.023,-0.349,0.029,-0.33,0.029
DVU1799,-0.35,0.001,-0.188,-0.019,-0.269,0.001,-0.269,0.009
DVU4005,-0.34,-0.007,-0.172,0.005,-0.291,0.014,-0.256,0.011
DVU1801,-0.355,0.028,-0.186,0.023,-0.287,0.024,-0.279,0.041
DVU1802,-0.4,-0.008,-0.198,-0.029,-0.288,0,-0.316,-0.007
DVU1803,-0.358,0.04,-0.205,-0.006,-0.309,0.026,-0.279,0.038
DVU1804,-0.374,0.004,-0.19,0.006,-0.324,0.021,-0.26,-0.008
DVU1805,-0.372,0.026,-0.203,0.018,-0.261,0.005,-0.3,0.066
DVU1806,-0.333,-0.039,-0.179,-0.035,-0.258,-0.02,-0.239,-0.036
DVU1807,-0.369,0.026,-0.193,0.05,-0.246,0.035,-0.325,0.066
DVU1808,-0.417,0.039,-0.225,0.004,-0.32,0.024,-0.317,0.04
DVU1809,-0.374,-0.025,-0.206,-0.019,-0.244,-0.056,-0.336,0.029
DVU1810,-0.426,0.046,-0.22,0.034,-0.395,0.073,-0.252,0.043
DVU1811,-0.429,0.041,-0.219,0.023,-0.378,0.062,-0.316,0.02
DVU1812,-0.391,0.02,-0.192,0.023,-0.318,0.038,-0.286,0.037
DVU1813,-0.467,0.007,-0.263,0.025,-0.4,0.052,-0.331,0.014
DVU1814,-0.436,0.025,-0.218,-0.021,-0.36,0.013,-0.316,0.004
DVU1815,-0.41,0.012,-0.189,0.018,-0.302,0.008,-0.334,0.035
DVU1816,-0.375,0.002,-0.188,-0.024,-0.314,0.03,-0.281,-0.034
DVU1817,-0.333,-0.014,-0.203,0.037,-0.319,0.058,-0.25,-0.005
DVU1818,-0.381,-0.077,-0.227,-0.05,-0.285,-0.043,-0.305,-0.05
DVU1819,-0.333,-0.055,-0.194,-0.028,-0.231,-0.042,-0.284,-0.014
DVU1820,-0.303,-0.085,-0.205,-0.004,-0.227,-0.014,-0.276,-0.06
DVU1821,-0.424,0.031,-0.222,-0.032,-0.371,0.008,-0.307,0.022
DVU1822,-0.395,0.026,-0.2,0.032,-0.311,0.042,-0.305,0.04
DVU1823,-0.367,0.007,-0.199,-0.005,-0.286,0.009,-0.305,0.002
DVU1824,-0.384,-0.024,-0.2,-0.019,-0.272,-0.039,-0.318,0.025
DVU1825,-0.394,0.039,-0.193,0.047,-0.316,0.032,-0.289,0.061
DVU1826,-0.298,-0.072,-0.179,-0.019,-0.23,0.002,-0.227,-0.09
DVU1827,-0.386,0.007,-0.193,0,-0.312,0.041,-0.294,-0.024
DVU1828,-0.372,0.006,-0.187,-0.001,-0.281,-0.001,-0.308,0.023
DVU1829,-0.495,0.048,-0.236,0.048,-0.398,0.056,-0.339,0.039
DVU1830,-0.391,0.026,-0.177,0.031,-0.287,0.01,-0.304,0.052
DVU1832,-0.282,-0.005,-0.18,-0.028,-0.225,-0.037,-0.227,0.067
DVU1833,-0.354,-0.02,-0.204,-0.014,-0.261,-0.003,-0.275,0.002
DVU1834,-0.338,-0.037,-0.194,-0.024,-0.259,-0.016,-0.277,-0.031
DVU1835,-0.352,0.013,-0.162,-0.016,-0.298,0.013,-0.276,0
DVU1836,-0.343,0.04,-0.181,0.019,-0.274,0.028,-0.277,0.032
DVU1837,-0.385,0.092,-0.209,0.034,-0.321,0.074,-0.337,0.064
DVU1838,-0.296,-0.07,-0.172,-0.059,-0.242,-0.057,-0.227,-0.062
DVU1839,-0.33,-0.1,-0.193,-0.082,-0.278,-0.051,-0.266,-0.054
DVU1840,-0.385,0.016,-0.174,0.036,-0.292,0.009,-0.309,0.043
DVU1841,-0.377,0.002,-0.195,0.013,-0.291,0.022,-0.312,0.003
DVU1842,-0.322,-0.048,-0.181,-0.036,-0.247,-0.025,-0.28,-0.032
DVU1843,-0.269,0.007,-0.137,-0.022,-0.237,0.029,-0.193,0
DVU1844,-0.271,-0.068,-0.148,-0.007,-0.212,-0.036,-0.205,-0.019
DVU1845,-0.346,-0.042,-0.208,0.03,-0.293,0.021,-0.239,0.012
DVU1846,-0.347,-0.059,-0.186,-0.022,-0.27,-0.006,-0.259,-0.031
DVU1847,-0.322,-0.075,-0.18,0.007,-0.243,-0.011,-0.263,-0.04
DVU1848,-0.338,0.008,-0.148,0.03,-0.28,0.02,-0.245,0.04
DVU1849,-0.391,0.006,-0.194,0.024,-0.275,0.033,-0.291,0.026
DVU1850,-0.381,-0.056,-0.189,0.027,-0.266,-0.01,-0.296,0.022
DVU1851,-0.303,-0.039,-0.176,-0.015,-0.238,-0.03,-0.251,-0.028
DVU1852,-0.423,0.01,-0.228,0.046,-0.33,0.031,-0.341,0.057
DVU1853,-0.418,0.05,-0.222,0.041,-0.323,0.001,-0.389,0.086
DVU1854,-0.327,-0.025,-0.148,-0.025,-0.235,0.006,-0.243,-0.045
DVU1855,-0.348,0.023,-0.195,-0.033,-0.25,0.013,-0.288,-0.026
DVU1856,-0.361,0.167,-0.186,0.051,-0.244,0.056,-0.297,0.171
DVU1857,-0.328,-0.04,-0.201,-0.027,-0.266,-0.03,-0.247,-0.018
DVU1858,-0.355,0.001,-0.178,-0.027,-0.26,0.008,-0.269,-0.036
DVU1859,-0.273,-0.084,-0.155,-0.032,-0.194,-0.077,-0.244,-0.037
DVU1860,-0.37,0.039,-0.189,0.039,-0.305,0.038,-0.298,0.04
DVU1861,-0.325,-0.008,-0.169,-0.022,-0.246,-0.022,-0.259,-0.001
DVU1862,-0.326,-0.014,-0.185,-0.032,-0.226,-0.026,-0.261,0.002
DVU1863,-0.342,-0.042,-0.197,-0.009,-0.284,-0.023,-0.269,-0.03
DVU1864,-0.199,-0.189,-0.153,-0.053,-0.125,-0.122,-0.18,-0.116
DVU1865,-0.371,0.076,-0.193,0.013,-0.363,0.068,-0.328,0.024
DVU1866,-0.401,-0.027,-0.189,-0.011,-0.363,0.027,-0.249,-0.041
DVU1867,-0.343,-0.024,-0.207,-0.039,-0.266,-0.032,-0.298,0.006
DVU1868,-0.31,-0.026,-0.171,-0.019,-0.215,-0.026,-0.275,-0.019
DVU1869,-0.353,-0.044,-0.208,-0.049,-0.266,-0.052,-0.281,-0.019
DVU1870,-0.418,-0.016,-0.215,-0.032,-0.347,0,-0.316,0.004
DVU1871,-0.342,-0.035,-0.19,-0.027,-0.274,-0.033,-0.238,-0.035
DVU1872,-0.313,0.046,-0.14,0.012,-0.233,0.038,-0.222,-0.002
DVU1873,-0.386,-0.06,-0.216,0.006,-0.294,-0.007,-0.313,-0.015
DVU1874,-0.302,-0.049,-0.18,-0.03,-0.239,-0.03,-0.243,-0.024
DVU1875,-0.27,-0.061,-0.195,-0.054,-0.215,-0.026,-0.235,-0.059
DVU1876,-0.273,-0.012,-0.154,-0.015,-0.248,0.019,-0.193,-0.029
DVU1877,-0.349,0.027,-0.182,0.034,-0.262,0.032,-0.288,0.049
DVU1878,-0.376,0.015,-0.229,0.014,-0.329,0.057,-0.285,0.023
DVU1879,-0.415,0.056,-0.206,0.019,-0.322,0.049,-0.311,0.04
DVU1880,-0.305,-0.067,-0.175,-0.021,-0.233,-0.026,-0.243,-0.041
DVU1881,-0.402,0.056,-0.191,0.037,-0.301,0.062,-0.291,0.042
DVU1882,-0.336,-0.035,-0.185,0,-0.238,-0.007,-0.287,0
DVU1883,-0.325,-0.021,-0.162,0.004,-0.274,-0.009,-0.25,0.042
DVU1884,-0.351,0.002,-0.193,0.026,-0.277,0,-0.268,0.05
DVU1885,-0.374,0.026,-0.21,0.015,-0.282,0.031,-0.301,0.026
DVU1886,-0.405,0.069,-0.213,0.038,-0.329,0.082,-0.327,0.037
DVU1887,-0.385,0.029,-0.195,0.033,-0.271,0.018,-0.296,0.046
DVU1888,-0.38,-0.036,-0.197,-0.008,-0.282,-0.011,-0.3,0
DVU1889,-0.345,-0.06,-0.208,-0.023,-0.27,-0.023,-0.257,-0.037
DVU1890,-0.319,-0.048,-0.175,-0.032,-0.229,-0.061,-0.249,-0.027
DVU1891,-0.409,0.007,-0.221,-0.034,-0.344,0.002,-0.295,-0.023
DVU1892,-0.396,0.05,-0.205,0.014,-0.343,0.059,-0.286,0.015
DVU1893,-0.318,-0.036,-0.174,-0.002,-0.227,-0.01,-0.256,-0.003
DVU1894,-0.373,0.024,-0.147,-0.006,-0.276,-0.014,-0.306,0.031
DVU1895,-0.356,-0.005,-0.169,-0.02,-0.249,-0.003,-0.308,-0.004
DVU1896,-0.321,-0.079,-0.198,-0.03,-0.218,-0.062,-0.259,-0.01
DVU1897,-0.31,-0.026,-0.17,-0.008,-0.24,-0.015,-0.248,-0.011
DVU1898,-0.386,0.016,-0.201,-0.004,-0.302,-0.02,-0.322,0.042
DVU1899,-0.326,-0.065,-0.164,-0.045,-0.235,-0.042,-0.252,-0.041
DVU1900,-0.329,-0.039,-0.167,-0.045,-0.286,-0.012,-0.223,-0.066
DVU1901,-0.295,0.021,-0.161,0.041,-0.213,0.028,-0.251,0.024
DVU1902,-0.308,-0.024,-0.169,-0.02,-0.254,-0.022,-0.24,-0.001
DVU1903,-0.337,-0.02,-0.185,0.002,-0.276,0.008,-0.254,-0.007
DVU1904,-0.309,-0.097,-0.178,-0.034,-0.217,-0.047,-0.26,-0.048
DVU1905,-0.303,-0.016,-0.132,0.052,-0.236,0.016,-0.216,0.026
DVU1906,-0.324,-0.025,-0.157,0.014,-0.228,0.009,-0.262,0.061
DVU1907,-0.368,-0.039,-0.211,0.014,-0.271,-0.005,-0.313,0.002
DVU1908,-0.366,0.04,-0.213,0.034,-0.267,0.028,-0.334,0.049
DVU1909,-0.315,-0.049,-0.197,-0.009,-0.265,0.005,-0.28,-0.023
DVU1910,-0.388,0.022,-0.198,0.013,-0.29,0.019,-0.321,0.02
DVU1911,-0.329,-0.17,-0.182,-0.098,-0.181,-0.143,-0.272,-0.088
DVU1912,-0.325,-0.023,-0.202,-0.004,-0.323,0.038,-0.216,-0.049
DVU1913,-0.354,0.003,-0.195,0.023,-0.233,0.014,-0.3,0.018
DVU1914,-0.345,-0.026,-0.196,-0.026,-0.282,-0.022,-0.259,-0.002
DVU1915,-0.447,0.071,-0.178,0.036,-0.365,0.091,-0.307,0.037
DVU1916,-0.436,-0.006,-0.242,-0.021,-0.362,-0.015,-0.324,-0.025
DVU1917,-0.335,-0.096,-0.194,-0.044,-0.258,-0.031,-0.268,-0.061
DVU1919,-0.397,0.064,-0.174,-0.027,-0.29,0.036,-0.291,0.013
DVU1920,-0.541,0.155,-0.352,0.075,-0.548,0.189,-0.433,0.077
DVU1921,-0.34,-0.025,-0.195,-0.002,-0.266,0.024,-0.276,-0.017
DVU1922,-0.371,0.025,-0.205,0.04,-0.279,0.048,-0.309,0.035
DVU1923,-0.356,-0.005,-0.196,-0.032,-0.256,-0.049,-0.283,0.042
DVU1924,-0.318,0.018,-0.176,0.028,-0.271,0.033,-0.202,0.009
DVU1925,-0.369,-0.004,-0.192,-0.021,-0.304,-0.031,-0.265,0.01
DVU1926,-0.384,0.037,-0.175,-0.014,-0.261,-0.034,-0.35,0.049
DVU1927,-0.342,-0.021,-0.194,-0.002,-0.262,0.002,-0.276,0.005
DVU1928,-0.321,-0.074,-0.2,0.039,-0.249,-0.027,-0.3,0.014
DVU1929,-0.339,0.097,-0.174,0.017,-0.282,0.071,-0.269,0.035
DVU1930,-0.321,-0.026,-0.2,-0.042,-0.257,-0.032,-0.276,-0.021
DVU1931,-0.405,0.105,-0.199,0.123,-0.25,0.08,-0.342,0.151
DVU1932,-0.354,-0.058,-0.202,-0.061,-0.28,-0.029,-0.265,-0.068
DVU1933,-0.394,0.034,-0.211,0.019,-0.3,0.01,-0.311,0.044
DVU1934,-0.396,-0.018,-0.214,0.01,-0.326,0.017,-0.296,0.01
DVU1935,-0.322,-0.112,-0.219,-0.079,-0.239,-0.09,-0.279,-0.078
DVU1936,-0.396,0.017,-0.19,0.022,-0.282,0.006,-0.304,0.062
DVU1937,-0.312,-0.047,-0.195,-0.008,-0.219,-0.028,-0.298,-0.016
DVU1938,-0.433,0.104,-0.21,0.076,-0.41,0.15,-0.28,0.008
DVU1939,-0.349,-0.001,-0.183,-0.002,-0.27,-0.001,-0.279,0.022
DVU1940,-0.392,0.024,-0.214,0.039,-0.317,0.031,-0.304,0.046
DVU1941,-0.343,-0.051,-0.2,-0.046,-0.287,-0.016,-0.254,-0.077
DVU1942,-0.369,0.014,-0.213,-0.003,-0.269,0.01,-0.312,0.029
DVU1943,-0.404,0.028,-0.202,-0.075,-0.312,0.012,-0.328,-0.037
DVU1944,-0.211,-0.011,-0.145,0.034,-0.195,0.058,-0.179,-0.029
DVU1945,-0.393,0.019,-0.193,0.013,-0.318,0.009,-0.292,0.049
DVU1946,-0.414,0.03,-0.226,0.013,-0.326,0.054,-0.322,0.024
DVU1947,-0.338,-0.012,-0.186,-0.014,-0.261,0.011,-0.252,-0.03
DVU1948,-0.366,-0.087,-0.214,-0.013,-0.28,-0.053,-0.292,0.005
DVU1949,-0.332,0,-0.181,-0.009,-0.242,-0.02,-0.275,0.015
DVU1950,-0.372,0.013,-0.196,-0.005,-0.303,0.05,-0.278,-0.015
DVU1951,-0.363,-0.025,-0.203,-0.017,-0.294,-0.016,-0.275,-0.018
DVU1952,-0.323,0.012,-0.213,0.011,-0.262,-0.001,-0.294,0.025
DVU1953,-0.349,-0.037,-0.208,-0.045,-0.265,-0.053,-0.303,-0.011
DVU1954,-0.387,0.045,-0.177,0.05,-0.296,0.015,-0.317,0.058
DVU1955,-0.287,0.021,-0.154,-0.019,-0.223,-0.018,-0.241,0.026
DVU1956,-0.37,-0.03,-0.187,-0.041,-0.332,-0.015,-0.241,-0.042
DVU1957,-0.45,0.147,-0.196,0.057,-0.304,0.116,-0.376,0.095
DVU1958,-0.395,0.026,-0.189,0.026,-0.288,0.027,-0.308,0.038
DVU1959,-0.368,0.034,-0.187,0.007,-0.268,0.013,-0.3,0.044
DVU1960,-0.369,-0.002,-0.201,0.007,-0.308,0.019,-0.268,0.014
DVU1961,-0.382,0.05,-0.198,0.044,-0.311,0.074,-0.276,0.043
DVU1962,-0.32,-0.028,-0.199,-0.005,-0.268,-0.01,-0.245,-0.013
DVU1963,-0.387,0.059,-0.168,0.057,-0.275,0.024,-0.305,0.097
DVU1964,-0.384,0.008,-0.156,0.004,-0.268,0.022,-0.281,-0.006
DVU1965,-0.361,0.03,-0.068,0.041,-0.185,-0.026,-0.265,0.06
DVU1966,-0.45,0.139,-0.24,0.039,-0.244,0.07,-0.409,0.123
DVU1967,-0.377,0.024,-0.203,0.043,-0.297,0.038,-0.304,0.03
DVU1968,-0.326,-0.092,-0.197,-0.019,-0.248,-0.066,-0.277,-0.036
DVU1969,-0.353,-0.015,-0.168,-0.01,-0.273,-0.007,-0.234,-0.013
DVU1970,-0.324,-0.003,-0.171,0.007,-0.265,0.003,-0.276,0.004
DVU1971,-0.353,0.022,-0.206,0.016,-0.285,0.073,-0.278,-0.023
DVU1972,-0.553,0.185,-0.208,0.085,-0.437,0.128,-0.397,0.141
DVU1973,-0.331,0.007,-0.18,0,-0.288,0.025,-0.239,-0.005
DVU1974,-0.365,0.008,-0.205,0.012,-0.302,0.026,-0.288,0.001
DVU1975,-0.337,0.001,-0.186,0.008,-0.283,-0.006,-0.24,0.018
DVU1976,-0.29,-0.13,-0.187,-0.068,-0.177,-0.097,-0.252,-0.055
DVU1977,-0.291,-0.145,-0.209,-0.055,-0.296,-0.083,-0.19,-0.108
DVU1978,-0.379,-0.033,-0.206,-0.039,-0.308,-0.029,-0.293,-0.021
DVU1979,-0.333,-0.022,-0.189,-0.021,-0.298,0.008,-0.223,-0.027
DVU1980,-0.322,-0.074,-0.209,-0.003,-0.246,-0.062,-0.284,0.002
DVU1981,-0.338,-0.071,-0.17,-0.016,-0.212,-0.046,-0.227,-0.034
DVU1982,-0.371,0.042,-0.179,0.006,-0.296,0.057,-0.266,0.01
DVU1983,-0.406,0.051,-0.192,0.016,-0.306,0.009,-0.331,0.062
DVU1984,-0.312,-0.008,-0.182,-0.012,-0.276,-0.023,-0.243,0.018
DVU1985,-0.323,-0.012,-0.188,-0.026,-0.259,-0.011,-0.279,-0.004
DVU1986,-0.376,-0.07,-0.209,-0.04,-0.302,-0.04,-0.273,-0.075
DVU1987,-0.365,-0.004,-0.194,0.01,-0.3,0.018,-0.266,-0.001
DVU1988,-0.312,-0.066,-0.192,-0.008,-0.257,-0.021,-0.229,-0.016
DVU1989,-0.405,0.006,-0.218,-0.021,-0.366,0.027,-0.349,-0.003
DVU1990,-0.386,-0.022,-0.203,-0.074,-0.305,-0.044,-0.293,-0.034
DVU1991,-0.396,-0.026,-0.215,-0.057,-0.294,-0.026,-0.324,-0.029
DVU1992,-0.367,-0.025,-0.194,-0.041,-0.305,-0.022,-0.294,-0.023
DVU1993,-0.358,-0.041,-0.206,-0.021,-0.288,-0.012,-0.27,-0.028
DVU1994,-0.378,-0.034,-0.23,-0.003,-0.318,0.02,-0.344,-0.018
DVU1995,-0.382,0.064,-0.204,0.027,-0.287,0.035,-0.297,0.055
DVU1996,-0.361,-0.018,-0.168,-0.006,-0.286,-0.032,-0.283,0.033
DVU1997,-0.368,0.013,-0.228,0.107,-0.399,0.032,-0.244,0.042
DVU1998,-0.288,-0.004,-0.186,0.038,-0.244,0.047,-0.236,0.011
DVU1999,-0.357,0.001,-0.194,0.01,-0.283,0.018,-0.298,0.02
DVU2002,-0.359,0.019,-0.194,0.059,-0.292,0.041,-0.274,0.031
DVU2003,-0.268,-0.086,-0.182,-0.024,-0.233,-0.054,-0.209,-0.029
DVU2004,-0.372,0.019,-0.2,-0.002,-0.322,0.021,-0.276,0.008
DVU2005,-0.368,0.133,-0.215,0.247,-0.329,0.21,-0.352,0.107
DVU2006,-0.444,0.038,-0.216,0.031,-0.383,0.039,-0.322,0.053
DVU2007,-0.409,-0.022,-0.216,-0.06,-0.295,-0.077,-0.33,0
DVU2008,-0.574,0.132,-0.359,0.061,-0.332,0.016,-0.571,0.159
DVU2009,-0.472,0.084,-0.266,0.087,-0.376,0.065,-0.41,0.124
DVU2010,-0.282,-0.023,-0.209,-0.009,-0.288,0.006,-0.224,-0.018
