kmer_2_AA,kmer_2_AC,kmer_2_AG,kmer_2_AT,kmer_2_CA,kmer_2_CC,kmer_2_CG,kmer_2_CT,kmer_2_GA,kmer_2_GC,kmer_2_GG,kmer_2_GT,kmer_2_TA,kmer_2_TC,kmer_2_TG,kmer_2_TT
DVU1703,222,244,223,146,298,221,303,165,254,311,229,126,61,211,165,120
DVU1704,13,21,17,14,27,19,18,5,20,16,19,6,4,13,8,7
DVU1705,173,74,86,94,100,54,46,62,80,70,64,50,74,64,68,91
DVU1707,23,13,13,11,15,9,20,11,15,19,12,8,7,14,9,10
DVU1708,104,68,64,50,67,58,77,63,81,82,52,40,34,57,62,54
DVU1709,121,103,97,76,111,107,129,96,130,134,92,46,35,99,84,60
DVU1710,25,30,39,20,43,56,56,31,38,62,33,30,8,38,35,34
DVU1711,8,4,13,8,14,9,8,4,12,12,10,7,0,10,9,9
DVU1712,57,99,117,49,112,113,193,65,131,202,173,68,22,69,91,40
DVU1713,21,41,36,14,43,44,85,32,41,88,89,23,6,31,32,9
DVU1714,34,148,85,59,139,185,285,103,117,256,227,118,35,123,122,57
DVU1715,12,38,25,19,34,61,72,30,38,76,51,34,9,22,52,14
DVU1716,17,27,19,7,22,35,46,11,28,43,34,16,3,9,22,5
DVU1717,15,33,19,9,33,45,46,23,21,45,31,20,6,24,22,9
DVU1718,52,69,55,34,83,86,89,54,61,101,76,34,14,56,52,16
DVU1719,34,51,64,21,70,61,88,35,63,107,120,28,3,35,46,13
DVU1720,6,21,13,12,18,32,40,18,26,41,28,16,2,14,30,15
DVU1721,54,110,89,53,113,128,191,93,120,215,173,66,19,72,121,35
DVU1722,11,14,14,11,16,32,47,20,19,43,44,22,3,26,24,7
DVU1723,5,37,11,21,38,56,69,30,26,70,64,29,6,30,44,18
DVU1724,42,115,79,53,112,122,184,94,105,185,174,76,30,90,103,40
DVU1725,18,41,39,13,42,51,69,24,42,76,74,38,9,18,48,6
DVU1726,8,10,18,9,17,18,29,13,17,37,24,11,2,12,19,4
DVU1727,5,10,13,14,20,26,42,20,15,45,49,23,2,27,28,11
DVU1728,13,40,19,15,38,39,43,24,31,44,36,15,5,21,28,5
DVU1729,11,17,16,11,21,22,33,15,17,35,18,13,5,17,17,10
DVU1730,6,17,13,11,25,33,37,21,13,41,21,12,3,25,16,11
DVU1731,14,6,11,14,11,2,8,7,14,14,14,8,7,6,16,18
DVU1732,11,4,15,11,14,11,17,11,11,25,25,17,5,13,21,16
DVU1733,7,13,10,13,13,10,23,16,16,15,17,13,7,24,11,13
DVU1734,11,9,10,9,13,12,15,7,11,16,15,12,4,10,14,8
DVU1735,9,7,10,10,15,10,12,6,9,15,9,4,3,11,6,7
DVU1736,8,14,12,6,12,29,21,14,16,24,4,4,3,9,12,6
DVU1737,5,17,13,6,12,12,25,9,19,25,28,13,4,4,20,6
DVU1738,16,33,28,21,41,45,80,31,29,87,74,44,11,32,53,19
DVU1740,11,26,23,16,21,19,60,14,38,59,42,17,6,10,31,8
DVU1741,49,49,72,30,47,50,99,44,84,103,121,56,21,38,71,37
DVU1742,7,18,17,13,27,18,21,15,14,25,8,11,7,20,12,6
DVU1743,17,32,23,13,25,33,48,21,31,54,56,22,11,8,37,6
DVU1744,14,13,13,12,15,22,11,19,17,16,19,13,6,16,22,14
DVU1745,40,36,34,23,43,40,40,35,36,50,32,21,13,32,34,30
DVU1746,56,75,59,52,110,111,80,73,40,117,72,42,35,71,61,55
DVU1747,226,207,188,142,239,226,209,177,202,228,151,139,96,190,172,153
DVU1748,236,144,109,164,171,55,66,104,119,97,40,45,127,100,87,108
DVU1749,20,11,24,16,13,14,10,6,25,14,17,10,14,4,15,8
DVU1750,41,69,51,24,73,93,57,55,43,71,36,28,29,45,33,34
DVU1751,14,4,10,14,14,2,4,7,3,13,6,8,11,8,10,18
DVU1752,12,14,26,5,21,14,23,12,17,33,19,8,6,9,10,10
DVU1753,6,7,6,9,11,14,20,16,7,27,10,6,5,13,13,3
DVU1754,12,32,26,15,33,27,50,23,33,47,24,19,8,27,22,9
DVU1755,7,9,12,12,17,30,26,11,10,30,20,15,5,15,18,5
DVU1756,15,21,20,12,32,24,22,10,14,26,14,12,6,17,11,7
DVU1757,39,68,70,54,71,55,123,56,91,112,108,65,30,70,75,34
DVU1758,37,52,39,35,66,66,63,42,45,62,45,23,14,57,29,32
DVU1759,18,9,30,16,20,17,29,18,29,36,43,28,6,22,34,13
DVU1760,27,23,28,42,41,28,47,35,37,49,46,33,15,51,44,38
DVU1761,18,17,7,11,15,11,13,12,12,12,10,12,9,11,15,6
DVU1762,13,18,14,27,35,36,37,33,18,49,44,20,6,38,36,34
DVU1763,11,8,12,4,8,8,12,6,15,11,20,12,2,7,13,6
DVU1764,8,16,10,14,15,15,33,17,18,30,26,16,6,19,22,4
DVU1765,53,104,69,55,92,118,169,86,105,146,101,61,31,97,74,33
DVU1766,52,88,61,57,114,115,154,82,80,166,114,75,12,96,106,40
DVU1767,28,76,40,39,72,80,119,63,63,117,76,38,20,61,59,17
DVU1768,31,90,50,57,105,127,133,69,77,133,104,51,15,84,78,28
DVU1769,61,82,73,51,102,125,136,65,82,143,87,60,21,78,77,22
DVU1770,20,27,26,11,37,31,37,21,18,39,25,18,8,29,13,11
DVU1771,60,110,83,72,115,145,198,98,120,187,175,118,30,114,144,51
DVU1772,47,116,93,94,129,149,232,109,129,199,189,133,45,155,136,66
DVU1773,31,20,15,17,19,25,20,20,21,26,14,11,13,13,22,6
DVU1774,46,56,47,38,71,80,79,51,58,76,60,47,12,69,55,36
DVU1775,23,43,35,24,47,50,69,35,46,66,51,37,9,42,45,22
DVU1776,6,4,6,11,3,0,7,8,8,9,6,8,10,5,13,9
DVU1777,30,42,37,41,54,42,71,39,51,68,65,40,16,54,50,37
DVU1778,44,74,64,57,78,95,163,89,93,152,119,99,24,104,117,73
DVU1779,7,5,9,19,14,10,19,5,13,21,17,18,6,12,24,7
DVU1780,9,23,16,16,18,17,29,16,23,23,30,20,13,17,22,13
DVU1781,29,37,27,34,38,51,70,37,46,69,63,35,14,39,53,23
DVU1782,63,78,85,60,106,127,137,74,95,144,122,80,21,95,98,42
DVU1783,27,39,33,37,48,54,68,46,42,72,66,47,18,51,61,43
DVU1784,43,57,28,32,54,67,89,43,47,79,61,33,15,50,43,20
DVU1785,21,34,16,32,46,45,61,47,24,60,44,32,11,60,40,29
DVU1786,34,63,52,45,63,62,111,59,80,97,75,73,17,73,87,67
DVU1787,25,24,37,27,33,36,57,31,36,65,79,44,19,32,51,30
DVU1788,107,105,141,82,128,122,174,99,170,148,98,85,30,148,88,47
DVU1789,74,85,110,78,107,85,186,82,130,189,166,94,36,101,117,78
DVU1790,82,134,131,69,145,182,247,167,159,265,167,128,30,160,174,75
DVU1791,23,22,33,17,31,35,44,26,35,50,34,21,5,29,30,14
DVU1792,20,9,21,8,14,11,15,14,21,22,9,5,4,12,12,6
DVU1793,1,2,3,4,3,12,4,7,5,8,14,6,2,4,11,12
DVU1794,5,8,9,14,15,20,16,13,10,19,11,13,5,17,18,10
DVU1795,23,13,21,8,20,23,29,11,21,28,17,15,1,19,14,9
DVU1796,11,4,10,3,6,10,8,7,10,12,14,6,2,5,10,4
DVU1797,24,26,49,41,57,85,88,45,50,102,82,52,10,62,66,36
DVU1798,17,23,20,30,37,32,45,31,24,51,50,36,13,39,45,22
DVU1799,64,111,104,68,119,151,245,100,140,224,211,134,23,129,150,75
DVU4005,15,44,32,41,42,101,116,56,62,115,81,50,12,55,80,45
DVU1801,48,70,59,39,72,106,126,70,72,118,103,70,24,80,75,55
DVU1802,17,52,31,32,65,84,95,55,39,95,78,48,11,68,56,34
DVU1803,24,50,31,48,51,83,125,71,59,130,124,68,19,67,101,37
DVU1804,36,99,52,68,84,147,199,131,105,196,188,121,30,119,171,83
DVU1805,59,113,77,60,127,120,176,89,104,173,78,49,19,106,73,40
DVU1806,43,78,69,66,85,94,148,84,108,137,122,66,20,102,94,54
DVU1807,27,62,38,49,78,109,94,49,55,94,51,30,16,65,47,23
DVU1808,41,79,37,48,84,104,138,53,68,124,74,50,12,72,67,25
DVU1809,50,133,67,67,155,150,175,86,84,167,134,65,28,116,74,35
DVU1810,12,17,10,18,17,20,31,42,17,45,43,34,11,28,55,22
DVU1811,15,40,19,43,46,67,78,71,28,93,92,60,28,62,84,37
DVU1812,51,61,68,72,78,94,127,61,91,109,117,88,32,96,93,42
DVU1813,6,17,7,16,18,12,23,24,10,24,25,24,11,24,29,23
DVU1814,18,36,20,35,42,37,38,52,30,48,49,43,18,48,64,33
DVU1815,33,91,51,92,122,115,144,114,70,131,152,105,42,158,111,94
DVU1816,31,65,55,45,78,107,112,59,72,121,106,67,16,63,92,32
DVU1817,19,14,20,15,18,22,24,19,23,31,25,17,7,16,28,13
DVU1818,33,61,42,57,73,74,115,75,66,96,74,74,20,106,80,42
DVU1819,40,75,75,74,117,149,181,97,88,181,129,82,18,139,96,57
DVU1820,15,17,25,16,26,33,38,24,23,40,25,18,9,31,18,7
DVU1821,20,42,28,46,56,37,92,31,44,84,102,43,16,53,51,10
DVU1822,40,82,40,49,81,90,122,56,66,106,109,56,24,71,66,36
DVU1823,64,89,80,72,126,118,165,72,88,169,144,76,27,105,88,40
DVU1824,17,36,30,28,41,62,86,41,41,84,77,56,11,48,66,40
DVU1825,41,110,49,59,108,139,139,83,88,155,103,42,21,65,98,28
DVU1826,19,12,19,5,17,33,28,16,13,33,15,16,5,16,16,9
DVU1827,47,87,41,51,82,138,146,69,75,124,90,63,22,86,75,27
DVU1828,59,134,96,79,147,186,203,109,123,199,156,82,38,126,106,46
DVU1829,9,9,10,5,11,6,16,6,11,16,12,14,2,8,15,5
DVU1830,40,85,55,44,79,93,104,66,79,85,81,54,26,79,59,35
DVU1832,8,6,7,7,11,4,4,6,8,9,6,1,2,6,7,9
DVU1833,166,226,204,141,265,279,367,193,249,341,260,218,56,258,238,114
DVU1834,153,225,182,169,273,333,384,213,238,361,265,200,64,284,234,126
DVU1835,24,38,42,40,53,78,87,58,49,104,105,55,18,56,79,46
DVU1836,43,75,58,57,86,104,119,58,82,127,112,39,21,61,72,37
DVU1837,37,50,49,38,51,68,75,50,55,75,47,39,31,51,45,21
DVU1838,36,42,48,43,57,66,93,48,62,87,93,55,14,69,63,47
DVU1839,19,14,16,20,25,31,25,18,21,26,24,18,4,28,24,10
DVU1840,19,56,44,48,58,85,113,74,64,114,115,65,26,75,86,43
DVU1841,39,57,48,54,63,78,99,72,67,91,67,58,29,86,69,36
DVU1842,32,45,48,41,52,101,103,58,59,89,67,60,23,79,57,42
DVU1843,38,42,58,37,47,87,87,75,76,93,79,39,14,74,63,44
DVU1844,26,13,19,16,16,15,26,23,28,26,24,19,5,26,27,20
DVU1845,10,17,19,16,24,13,27,13,26,34,17,8,2,13,22,11
DVU1846,17,30,24,33,41,34,38,46,30,40,43,33,15,55,42,36
DVU1847,33,47,46,35,60,74,86,57,58,90,76,49,10,66,65,41
DVU1848,5,25,12,22,23,48,62,48,25,55,76,43,11,53,49,36
DVU1849,22,30,29,30,41,49,69,36,39,65,50,42,8,51,49,22
DVU1850,16,27,14,27,30,36,44,29,31,34,29,21,7,42,28,13
DVU1851,63,85,65,62,110,125,123,81,82,121,97,58,19,108,74,49
DVU1852,30,41,41,38,46,36,61,23,55,56,39,32,18,33,42,20
DVU1853,6,18,17,13,17,22,28,16,20,33,27,18,11,10,26,14
DVU1854,42,39,46,38,54,51,59,38,54,57,53,30,15,55,36,25
DVU1855,15,15,19,16,31,25,27,24,9,37,21,15,10,30,15,11
DVU1856,6,5,7,8,11,11,15,17,8,24,9,13,1,14,23,16
DVU1857,99,109,154,91,148,138,197,106,169,210,154,123,36,132,152,69
DVU1858,17,23,32,23,32,32,49,26,35,47,49,45,10,37,47,32
DVU1859,2,11,5,5,12,19,7,7,7,9,9,3,2,6,7,14
DVU1860,49,80,47,65,99,146,138,114,57,164,125,81,36,107,117,83
DVU1861,62,79,79,48,81,88,116,67,101,107,72,36,24,78,49,28
DVU1862,47,76,50,32,82,99,105,57,67,103,72,39,9,65,54,38
DVU1863,31,59,28,30,54,80,87,64,49,86,53,34,14,60,54,35
DVU1864,25,18,24,14,27,21,23,10,24,18,14,12,4,24,8,15
DVU1865,3,6,6,7,9,15,15,12,5,21,11,3,5,9,8,5
DVU1866,25,52,20,23,39,65,93,31,44,63,82,46,12,48,41,17
DVU1867,29,58,33,33,58,81,99,56,51,97,61,36,14,58,53,31
DVU1868,37,58,38,38,73,88,89,56,50,83,62,40,11,77,46,32
DVU1869,108,170,132,98,210,192,245,111,162,253,167,93,28,143,131,72
DVU1870,14,41,25,35,45,58,90,45,42,89,88,56,14,50,73,32
DVU1871,57,76,64,61,93,109,154,79,88,148,126,87,20,102,105,37
DVU1872,16,18,14,6,20,55,54,17,18,55,46,33,0,18,38,17
DVU1873,35,42,26,31,50,39,47,31,34,42,47,33,14,44,37,20
DVU1874,100,141,170,106,167,204,309,130,215,290,215,120,35,175,146,74
DVU1875,12,15,24,19,24,18,33,19,25,29,19,15,8,32,13,12
DVU1876,37,54,61,21,54,75,113,53,70,113,119,40,12,53,49,26
DVU1877,31,76,42,31,69,113,131,73,64,127,97,48,16,70,66,46
DVU1878,40,63,37,55,85,75,107,55,57,109,84,56,12,75,79,33
DVU1879,20,60,43,49,78,83,116,63,55,127,120,71,20,70,93,32
DVU1880,36,38,41,31,59,35,54,34,38,53,58,33,12,56,30,33
DVU1881,56,80,44,47,83,89,107,61,68,96,62,44,21,75,57,26
DVU1882,107,168,130,81,197,218,228,163,147,246,167,96,35,174,131,72
DVU1883,7,26,23,23,32,51,50,29,34,56,51,17,6,29,34,20
DVU1884,83,129,131,102,160,147,262,127,167,254,242,140,35,166,168,89
DVU1885,58,80,80,58,97,109,170,70,98,152,102,93,22,105,94,42
DVU1886,29,43,39,30,49,73,76,32,48,80,41,32,14,34,46,11
DVU1887,63,116,99,77,146,124,191,90,116,183,122,98,30,128,107,52
DVU1888,16,48,23,38,51,80,117,53,48,98,89,59,10,75,65,29
DVU1889,25,47,26,28,57,50,71,36,38,71,47,22,5,46,35,22
DVU1890,39,61,50,32,77,92,109,54,59,112,80,37,6,67,50,22
DVU1891,19,58,33,30,47,66,88,37,56,84,63,45,17,30,65,23
DVU1892,13,32,30,33,39,63,95,37,42,99,78,47,14,40,63,24
DVU1893,111,170,124,87,184,221,276,141,161,254,198,100,35,177,116,65
DVU1894,10,11,14,8,14,22,15,15,13,20,14,15,6,13,19,9
DVU1895,15,59,35,51,93,128,102,101,31,130,100,60,21,107,84,49
DVU1896,16,14,23,5,25,23,23,16,13,36,16,13,4,14,17,5
DVU1897,59,87,103,85,115,190,237,121,135,248,189,112,24,138,156,91
DVU1898,33,60,42,41,63,75,84,56,54,84,61,46,26,59,58,27
DVU1899,15,38,31,25,38,49,81,52,46,72,77,50,9,61,57,54
DVU1900,40,48,53,33,54,81,92,58,62,92,84,62,17,64,72,29
DVU1901,35,49,65,45,72,85,114,60,69,113,86,52,17,84,56,44
DVU1902,28,34,57,29,48,68,94,58,57,107,119,63,15,59,76,26
DVU1903,114,192,184,126,205,279,408,192,247,385,311,198,50,228,238,125
DVU1904,22,25,32,30,37,34,45,20,38,34,34,29,11,43,25,17
DVU1905,23,29,22,16,31,46,38,26,28,41,29,18,8,25,27,21
DVU1906,8,8,6,3,10,15,13,7,5,13,7,4,2,9,3,3
DVU1907,49,71,66,58,83,105,165,66,85,147,94,89,26,96,91,46
DVU1908,33,55,31,31,63,71,86,38,39,83,53,29,15,49,34,15
DVU1909,11,21,18,17,28,33,46,16,23,45,40,17,5,24,21,9
DVU1910,46,117,60,64,134,194,211,91,88,223,141,78,19,96,118,44
DVU1911,18,32,23,20,34,51,54,29,36,41,16,20,4,44,21,9
DVU1912,18,29,21,19,31,46,51,35,32,59,46,18,7,29,36,11
DVU1913,48,81,71,50,101,109,138,64,84,121,86,66,17,101,62,27
DVU1914,73,120,90,56,130,133,178,89,112,169,130,77,24,108,90,37
DVU1915,12,8,17,22,16,13,16,9,23,19,34,22,8,14,31,11
DVU1916,10,5,8,12,10,2,11,4,10,13,6,7,4,7,12,10
DVU1917,50,61,48,33,74,96,90,53,54,77,67,67,14,79,60,30
DVU1919,21,33,27,30,37,31,35,33,41,35,29,17,12,37,31,21
DVU1920,7,6,4,14,8,6,11,3,7,11,9,8,10,5,10,6
DVU1921,62,64,46,35,76,86,100,57,52,97,66,48,16,72,52,24
DVU1922,74,142,91,54,148,167,190,90,106,175,119,81,32,111,82,38
DVU1923,16,40,22,19,32,39,58,35,41,47,42,20,8,38,28,12
DVU1924,11,10,13,12,13,28,27,15,21,30,12,11,1,15,22,10
DVU1925,14,49,18,30,45,64,70,48,43,73,52,20,9,41,48,17
DVU1926,8,36,15,23,36,56,50,34,29,51,36,21,9,33,36,15
DVU1927,118,207,124,106,202,297,321,182,189,296,183,123,46,202,163,57
DVU1928,16,26,16,23,32,41,53,36,21,48,41,27,12,47,27,31
DVU1929,7,6,5,14,14,24,15,15,8,18,14,11,3,20,17,6
DVU1930,50,62,71,32,89,86,100,52,60,113,45,36,16,66,38,22
DVU1931,21,40,24,17,41,38,37,33,30,41,22,19,9,30,30,11
DVU1932,39,54,37,26,62,60,68,39,45,65,44,26,10,50,31,15
DVU1933,21,26,27,30,37,47,45,27,34,55,36,30,11,28,48,19
DVU1934,23,34,24,44,49,55,76,53,37,74,73,61,16,70,72,39
DVU1935,19,30,26,44,56,60,87,57,31,81,57,53,13,89,52,42
DVU1936,31,44,44,35,53,64,84,44,57,76,60,51,14,61,55,24
DVU1937,56,71,61,29,66,103,103,68,66,101,61,47,28,65,51,37
DVU1938,7,12,8,13,12,16,27,17,14,29,40,21,8,15,29,7
DVU1939,23,50,55,55,66,117,147,65,78,141,145,87,15,87,105,47
DVU1940,44,92,67,58,96,129,205,71,93,178,159,96,28,102,96,36
DVU1941,25,58,28,32,50,76,81,59,51,73,51,33,16,59,49,26
DVU1942,56,144,83,78,152,180,246,96,125,213,145,89,28,137,98,43
DVU1943,6,15,15,12,20,17,17,17,14,20,20,13,8,19,15,5
DVU1944,20,15,15,9,23,32,18,19,13,28,22,11,3,17,19,8
DVU1945,47,68,52,60,86,125,123,58,76,118,81,57,17,81,77,22
DVU1946,40,64,33,42,81,68,86,42,47,77,59,44,11,68,49,19
DVU1947,32,46,40,19,49,40,64,43,43,68,47,24,12,42,32,22
DVU1948,25,26,24,10,27,19,26,12,25,20,19,14,8,19,9,7
DVU1949,72,87,107,68,124,121,155,88,110,167,117,83,27,113,99,51
DVU1950,17,27,32,17,31,50,63,39,36,76,61,34,9,30,51,23
DVU1951,55,107,71,60,113,182,218,117,102,218,149,111,23,123,142,59
DVU1952,32,38,32,23,43,59,83,42,39,82,62,37,11,48,43,21
DVU1953,40,71,53,69,106,129,144,67,70,154,101,49,17,92,76,21
DVU1954,17,52,29,27,54,78,77,44,42,89,59,24,12,34,49,17
DVU1955,45,49,49,33,62,84,91,38,60,99,79,24,8,43,44,25
DVU1956,27,49,36,36,40,87,129,61,60,115,122,80,20,66,91,36
DVU1957,6,5,7,9,10,3,14,7,7,17,12,10,4,9,13,13
DVU1958,106,203,129,108,222,253,262,145,170,257,181,113,48,169,149,82
DVU1959,93,181,119,105,181,198,261,136,178,234,191,100,46,163,132,75
DVU1960,49,106,93,99,112,156,227,119,154,211,204,136,32,141,181,73
DVU1961,5,27,19,28,33,42,58,34,33,59,42,23,8,39,38,15
DVU1962,84,119,143,78,142,140,257,107,170,246,181,122,27,141,139,66
DVU1963,7,14,8,14,20,23,21,18,12,27,29,19,5,18,28,18
DVU1964,24,38,25,20,39,36,44,37,36,45,42,24,8,37,36,21
DVU1965,16,13,8,11,17,33,13,17,9,13,10,9,6,21,11,20
DVU1966,8,5,7,4,7,7,12,8,8,12,2,21,2,10,22,23
DVU1967,23,41,25,23,43,54,55,33,36,56,28,19,9,34,32,10
DVU1968,75,104,65,48,103,113,115,75,91,95,83,58,22,94,65,35
DVU1969,28,46,34,30,51,57,62,46,50,71,61,33,8,42,59,17
DVU1970,19,30,14,15,27,52,43,31,22,45,20,15,9,26,26,13
DVU1971,20,29,33,20,38,32,70,28,37,73,46,33,7,34,40,23
DVU1972,1,5,6,19,8,10,11,8,12,10,18,19,10,12,24,21
DVU1973,38,56,45,37,59,65,82,51,60,85,77,36,18,51,55,33
DVU1974,38,71,50,44,84,87,116,64,58,119,103,59,23,74,70,43
DVU1975,106,98,153,91,143,89,157,75,155,169,165,97,44,108,111,53
DVU1976,98,90,107,66,120,160,179,76,128,156,110,86,14,129,85,39
DVU1977,23,16,16,13,16,24,36,15,25,28,15,15,4,23,16,2
DVU1978,31,58,43,71,91,83,121,96,56,141,134,83,25,109,116,64
DVU1979,78,142,89,57,119,132,232,121,147,224,180,85,22,106,135,56
DVU1980,15,30,17,9,23,44,56,23,29,49,27,15,4,23,20,8
DVU1981,33,29,41,24,38,28,51,17,52,42,28,27,4,35,29,13
DVU1982,23,74,55,46,78,141,174,73,81,172,145,80,16,79,104,47
DVU1983,29,87,40,53,89,144,139,73,71,132,91,60,19,82,85,29
DVU1984,31,40,35,21,38,66,59,43,41,64,50,27,16,36,39,20
DVU1985,40,64,65,62,81,116,135,63,84,126,95,75,26,89,85,50
DVU1986,22,38,22,17,42,31,39,27,27,46,31,15,7,24,28,15
DVU1987,93,198,130,101,187,198,353,162,193,309,269,162,48,195,182,90
DVU1988,18,26,17,33,46,48,64,56,23,74,74,42,7,66,58,34
DVU1989,5,1,4,15,8,10,5,5,6,8,3,4,6,9,9,3
DVU1990,29,55,29,21,51,70,66,41,43,63,43,26,10,40,38,22
DVU1991,39,89,50,60,109,84,97,44,72,108,67,21,17,53,55,30
DVU1992,17,38,32,37,48,37,55,39,44,57,61,36,16,47,49,31
DVU1993,76,141,125,119,180,203,287,148,167,294,287,180,38,180,229,99
DVU1994,14,11,12,10,16,8,2,7,10,4,4,8,8,10,7,3
DVU1995,18,18,17,21,27,19,25,17,22,29,19,18,7,22,27,23
DVU1996,20,13,19,24,18,9,11,25,22,13,28,22,16,28,27,34
DVU1997,12,7,5,6,7,3,3,5,7,5,5,6,5,3,10,12
DVU1998,12,10,8,9,15,9,11,10,11,11,10,9,1,15,12,11
DVU1999,73,109,92,126,154,169,163,165,114,202,156,100,58,171,162,130
DVU2002,40,34,25,20,33,29,27,31,27,30,17,17,20,27,22,23
DVU2003,81,70,87,60,72,74,116,53,120,93,112,69,25,78,79,73
DVU2004,60,75,68,44,77,74,94,49,82,102,91,46,28,43,68,48
DVU2005,13,2,4,13,7,5,1,5,2,4,1,4,11,7,5,17
DVU2006,23,7,7,14,8,3,7,7,12,7,8,10,8,8,15,11
DVU2007,24,10,27,32,22,9,26,17,30,30,37,35,17,25,42,33
DVU2008,8,3,7,12,5,1,2,7,5,3,1,19,13,8,18,22
DVU2009,29,30,22,39,35,17,15,25,24,18,10,15,31,27,21,25
DVU2010,54,44,49,42,50,46,62,47,61,71,66,42,25,44,63,58
DVU2011,33,8,25,15,19,12,17,13,25,23,15,9,4,18,15,15
DVU2012,17,6,10,9,11,11,9,8,12,9,15,12,3,13,14,26
DVU2013,122,91,84,92,108,116,123,96,113,139,137,83,45,97,129,86
DVU2014,58,70,52,69,86,96,85,68,73,97,104,58,31,72,92,64
DVU2015,13,8,5,12,10,5,3,10,7,4,2,4,9,11,7,18
DVU2016,93,32,61,87,48,11,25,41,69,32,45,41,62,50,57,127
DVU2017,63,61,74,46,81,83,109,77,84,119,119,68,17,87,87,66
DVU2019,142,142,120,104,153,165,169,123,167,146,145,85,46,157,109,96
DVU2020,114,148,157,103,166,189,228,153,198,258,222,109,44,141,180,88
DVU2021,49,16,35,29,25,20,25,34,35,34,25,17,20,34,26,43
DVU2022,251,221,226,188,242,262,254,219,276,294,210,126,117,200,216,174
DVU2023,35,38,33,22,34,44,44,33,47,42,35,26,12,31,38,25
DVU2024,71,59,58,55,66,90,88,76,85,94,80,38,21,77,71,35
DVU2025,252,198,230,178,256,261,316,194,279,326,224,156,72,242,214,153
DVU2026,40,26,43,33,43,32,41,37,44,44,33,30,15,51,34,44
DVU2027,29,13,20,17,21,11,21,19,20,18,14,25,9,30,23,24
DVU2028,11,12,24,13,19,13,9,14,23,19,16,8,7,11,18,10
DVU2029,32,16,29,21,15,17,40,19,43,27,27,24,8,31,25,24
DVU2030,46,47,53,49,64,45,73,41,61,75,53,51,23,56,62,43
DVU2031,10,12,11,17,15,16,16,15,16,15,6,15,9,19,20,18
DVU2032,28,49,37,29,65,79,62,40,37,76,55,33,13,42,47,21
DVU2033,57,95,82,62,125,109,87,91,83,133,76,38,31,75,85,42
DVU2034,17,28,27,16,27,16,28,23,31,25,27,22,12,25,24,17
DVU2035,7,14,13,20,16,16,23,20,19,25,22,19,12,20,27,14
DVU2036,14,9,18,11,10,9,17,17,20,24,21,13,7,11,23,15
DVU2037,35,68,54,47,79,95,74,60,66,80,85,42,23,65,61,40
DVU2038,18,21,19,9,28,27,19,27,16,29,19,8,6,24,15,11
DVU2039,10,21,14,12,26,31,19,22,17,22,18,12,3,24,19,5
DVU2040,15,29,23,11,25,21,21,15,31,20,20,11,7,12,18,8
DVU2041,38,50,66,46,66,86,70,66,77,93,88,48,19,59,82,41
DVU2042,24,44,52,49,64,62,58,44,56,75,54,37,25,47,58,45
DVU2043,78,99,73,82,137,131,135,104,91,166,131,69,26,111,118,50
DVU2044,5,4,7,9,5,9,9,9,13,9,8,6,3,10,11,8
DVU2045,9,8,16,8,9,8,8,13,18,13,18,12,4,9,20,9
DVU2046,14,12,9,10,17,14,19,3,8,20,13,6,5,7,7,6
DVU2047,4,9,8,10,9,11,11,19,13,12,11,5,5,18,11,8
DVU2048,11,6,14,14,14,11,15,5,16,12,5,9,4,16,8,10
DVU2051,146,39,86,130,49,25,50,53,93,55,58,84,112,58,97,163
DVU2052,34,48,30,33,54,58,85,42,45,74,46,35,12,59,39,28
DVU2053,16,47,22,29,61,53,75,50,22,73,48,35,14,66,34,35
DVU2054,1,3,5,4,3,6,11,8,7,11,6,6,3,8,7,9
DVU2055,87,131,104,67,129,156,207,126,129,196,165,115,44,135,129,71
DVU2056,2,9,1,9,9,11,13,9,7,13,10,4,3,9,10,3
DVU2057,53,75,96,61,92,117,181,67,113,183,119,70,26,82,90,38
DVU2058,33,45,31,29,54,64,66,28,45,69,42,17,7,34,33,14
DVU2059,25,72,32,24,64,115,131,73,50,123,69,48,13,73,59,21
DVU2060,2,5,6,4,4,8,11,7,8,11,11,6,2,6,9,4
DVU2061,60,92,50,62,111,137,156,75,72,139,92,62,21,111,67,27
DVU2062,119,242,149,112,221,382,412,218,240,397,276,131,42,212,207,98
DVU2063,89,214,127,77,184,340,334,202,201,326,248,129,33,180,195,75
DVU2064,59,47,69,57,86,91,125,56,77,122,71,58,10,98,63,32
DVU2065,8,3,8,11,9,22,19,12,11,20,17,17,3,17,20,12
DVU2066,37,78,67,49,78,129,169,85,88,164,129,85,27,90,102,47
DVU2067,30,67,40,60,76,86,135,56,77,128,91,62,14,72,92,35
DVU2068,26,52,31,35,51,63,91,54,53,81,79,52,14,63,64,33
DVU4011,9,16,16,17,20,34,33,13,25,35,32,18,4,15,29,16
DVU2069,48,106,91,72,116,183,237,96,125,237,210,124,27,106,159,54
DVU2070,32,47,43,21,50,69,83,49,46,92,63,42,15,43,54,24
DVU2071,13,48,19,35,65,112,100,94,24,135,65,43,13,76,83,31
DVU2072,139,170,190,160,228,284,359,183,253,344,266,139,39,256,187,72
DVU2073,26,24,24,23,28,25,30,22,31,20,25,18,11,36,16,9
DVU2074,24,36,38,32,44,39,65,30,45,56,73,43,16,47,42,20
