C3s,A3s,G3s,CAI,CBI,Fop,Nc,GC3s,GC,L_sym,L_aa,Gravy,Aromo,X
DVU1647,0.4678,0.156,0.3654,0.255,0.196,0.523,49.42,0.684,0.586,405,412,-0.003398,0.072816,NA
DVU1648,0.4661,0.1624,0.4018,0.284,0.231,0.542,46.66,0.704,0.598,142,146,-0.056849,0.068493,NA
DVU1649,0.5366,0.1447,0.3652,0.239,0.179,0.51,42.68,0.742,0.627,868,905,-0.318674,0.069613,NA
DVU1650,0.5817,0.122,0.3469,0.258,0.244,0.554,42.01,0.749,0.623,363,374,-0.297326,0.090909,NA
DVU1651,0.495,0.1277,0.3708,0.343,0.251,0.542,43.47,0.703,0.55,118,123,0.411382,0.113821,NA
DVU1652,0.6207,0.1795,0.2991,0.234,0.165,0.509,43.11,0.748,0.588,163,174,-0.148276,0.103448,NA
DVU1653,0.5637,0.1243,0.3689,0.245,0.178,0.507,42.12,0.771,0.623,874,904,-0.053208,0.066372,NA
DVU1654,0.4622,0.141,0.3699,0.219,0.112,0.465,48.15,0.694,0.619,284,294,-0.14864,0.068027,NA
DVU1655,0.6344,0.1038,0.364,0.302,0.264,0.569,40.82,0.811,0.618,376,388,0.002319,0.103093,NA
DVU1656,0.4113,0.1339,0.4299,0.284,0.267,0.547,43.68,0.708,0.65,137,141,-0.275177,0.070922,NA
DVU1657,0.6351,0.1486,0.3099,0.274,0.182,0.521,33.63,0.719,0.572,96,99,-0.515152,0.080808,NA
DVU1658,0.4545,0.142,0.3187,0.18,-0.03,0.383,51.54,0.66,0.606,206,215,0.330698,0.055814,NA
DVU1659,0.4722,0.2414,0.32,0.189,0.165,0.525,41.38,0.625,0.548,40,45,-0.493333,0.088889,NA
DVU1660,0.515,0.11,0.342,0.223,0.196,0.512,47.4,0.75,0.616,248,265,0.870566,0.132075,NA
DVU1661,0.6538,0.1489,0.2667,0.33,0.279,0.581,32.71,0.742,0.615,62,64,-0.635938,0.046875,NA
DVU1662,0.4923,0.118,0.4126,0.24,0.253,0.538,44.21,0.764,0.61,364,380,0.542894,0.089474,NA
DVU1663,0.4952,0.1368,0.3939,0.224,0.165,0.494,44.89,0.75,0.615,344,360,0.479722,0.1,NA
DVU1664,0.4831,0.1989,0.3333,0.233,0.12,0.479,48.23,0.673,0.59,211,216,-0.293518,0.055556,NA
DVU1665,0.5115,0.1083,0.3426,0.246,0.172,0.51,48.64,0.707,0.6,147,155,0.178065,0.051613,NA
DVU1666,0.6507,0.0922,0.3704,0.355,0.316,0.594,31.6,0.806,0.598,180,185,-0.458919,0.075676,NA
DVU1667,0.5471,0.1169,0.3594,0.242,0.154,0.493,43.51,0.758,0.624,748,776,0.081315,0.06701,NA
DVU1668,0.5314,0.1326,0.4737,0.294,0.254,0.561,44.65,0.787,0.6,221,225,-0.401778,0.08,NA
DVU1669,0.4798,0.1266,0.3744,0.22,0.159,0.491,43.01,0.716,0.632,285,292,-0.425342,0.034247,NA
DVU1670,0.5475,0.1697,0.2821,0.248,0.111,0.471,44.15,0.696,0.604,204,212,0.162736,0.033019,NA
DVU1671,0.5369,0.148,0.3677,0.249,0.166,0.504,45.6,0.728,0.577,585,601,0.168053,0.078203,NA
DVU1672,0.3576,0.2455,0.3889,0.213,0.102,0.455,54.7,0.616,0.587,198,208,-0.155769,0.072115,NA
DVU1673,0.4924,0.2245,0.2979,0.168,0.002,0.409,51.78,0.661,0.602,301,314,-0.218153,0.092357,NA
DVU1674,0.4798,0.2278,0.3061,0.221,0.157,0.5,53.28,0.653,0.596,196,204,-0.098039,0.063725,NA
DVU1675,0.6667,0.2051,0.1622,0.346,0.441,0.667,34.08,0.706,0.642,51,54,-0.488889,0.12963,NA
DVU1676,0.5,0.0816,0.3407,0.358,0.27,0.57,41.39,0.702,0.586,114,116,0.575862,0.060345,NA
DVU1677,0.467,0.1463,0.3454,0.248,0.118,0.478,44.22,0.678,0.616,245,251,0.149004,0.059761,NA
DVU1678,0.4676,0.1628,0.375,0.277,0.275,0.575,46.68,0.688,0.614,160,164,0.009146,0.085366,NA
DVU1679,0.4935,0.1773,0.3333,0.217,0.164,0.503,51.21,0.699,0.618,173,178,-0.266854,0.050562,NA
DVU1680,0.5695,0.1063,0.3618,0.219,0.128,0.482,40.63,0.793,0.651,251,263,0.005323,0.079848,NA
DVU1681,0.552,0.0989,0.3819,0.274,0.191,0.515,38.42,0.765,0.614,328,340,0.102647,0.047059,NA
DVU1682,0.566,0.1146,0.3431,0.309,0.256,0.562,40.82,0.74,0.607,331,344,-0.051744,0.098837,NA
DVU1683,0.6178,0.1449,0.3866,0.249,0.238,0.551,39.74,0.792,0.583,557,578,-0.425086,0.112457,NA
DVU1684,0.5994,0.1517,0.3071,0.237,0.125,0.486,41.65,0.758,0.637,364,376,-0.113298,0.079787,NA
DVU1685,0.4948,0.2,0.3317,0.192,0.044,0.429,45.2,0.7,0.64,233,249,-0.204016,0.076305,NA
DVU1686,0.4702,0.1587,0.3665,0.23,0.171,0.499,48.61,0.692,0.612,399,411,-0.352068,0.06326,NA
DVU1687,0.4928,0.2398,0.2579,0.243,0.181,0.52,51.16,0.636,0.587,225,235,-0.215319,0.089362,NA
DVU1688,0.4537,0.2039,0.3177,0.279,0.157,0.506,52.13,0.628,0.566,261,269,-0.033457,0.092937,NA
DVU1689,0.5556,0.1087,0.3488,0.229,0.111,0.467,38.02,0.75,0.623,60,61,0.086885,0.065574,NA
DVU1690,0.5066,0.1644,0.3209,0.283,0.17,0.516,49.8,0.659,0.552,182,189,-0.178836,0.089947,NA
DVU1691,0.3103,0.2222,0.375,0.256,0.122,0.471,34.14,0.529,0.476,34,35,-0.508571,0.085714,NA
DVU1692,0.4123,0.202,0.3587,0.205,-0.007,0.411,57.04,0.62,0.555,129,131,0.099237,0.099237,NA
DVU1693,0.4007,0.1373,0.3893,0.196,0.064,0.436,51.64,0.667,0.629,312,324,-0.10679,0.067901,NA
DVU1694,0.4483,0.2453,0.3878,0.242,0.085,0.478,59.04,0.672,0.643,67,69,-0.028986,0.043478,NA
DVU1695,0.4863,0.1181,0.4029,0.24,0.1,0.46,40.78,0.779,0.682,163,169,0.286982,0.035503,NA
DVU1696,0.4211,0.1735,0.5,0.262,0.191,0.538,39.89,0.735,0.628,117,122,-0.194262,0.04918,NA
DVU1697,0.4824,0.1043,0.4444,0.217,0.1,0.481,42.87,0.802,0.661,187,192,-0.141146,0.041667,NA
DVU1698,0.3214,0.1707,0.4576,0.231,0.103,0.464,44.76,0.647,0.607,153,161,-0.218634,0.10559,NA
DVU1699,0.1786,0.2857,0.5714,0.121,-0.481,0.171,36.1,0.6,0.47,35,39,-0.561538,0,NA
DVU1700,0.381,0.3518,0.2428,0.24,0.043,0.448,53.53,0.483,0.476,404,415,-0.359277,0.098795,NA
DVU1701,0.2778,0.2836,0.2075,0.215,-0.019,0.398,47.22,0.367,0.394,98,105,1.004762,0.161905,NA
DVU4024,0.3556,0.3419,0.2523,0.221,0.074,0.456,53.47,0.469,0.459,160,167,-0.397605,0.071856,NA
DVU1702,0.4432,0.234,0.4469,0.271,0.199,0.523,48.46,0.689,0.574,235,247,-0.736437,0.080972,NA
DVU1703,0.5738,0.1578,0.4335,0.325,0.246,0.562,40.4,0.766,0.578,1073,1099,-0.512921,0.080073,NA
DVU1704,0.4426,0.2545,0.26,0.287,0.239,0.569,44.68,0.556,0.578,72,75,-1.566667,0.013333,NA
DVU1705,0.3109,0.4025,0.2289,0.216,0.047,0.445,59.29,0.403,0.421,402,416,-0.388702,0.079327,NA
DVU1707,0.4898,0.2545,0.3529,0.319,0.198,0.559,46.63,0.618,0.527,68,69,-0.834783,0.101449,NA
DVU1708,0.4475,0.2683,0.3077,0.274,0.126,0.495,52.67,0.575,0.514,325,337,-0.58813,0.091988,NA
DVU1709,0.6144,0.1796,0.3645,0.388,0.302,0.597,38.87,0.736,0.557,489,506,-0.492095,0.098814,NA
DVU1710,0.4465,0.175,0.3467,0.215,0.105,0.457,50.58,0.661,0.606,186,192,0.009896,0.057292,NA
DVU1711,0.4194,0.2105,0.3824,0.22,-0.141,0.341,NA,0.634,0.556,41,45,0.202222,0.066667,NA
DVU1712,0.4881,0.1238,0.4719,0.243,0.138,0.511,42.08,0.773,0.66,515,533,-0.899062,0.075047,NA
DVU1713,0.6047,0.0888,0.4072,0.247,0.156,0.525,34.58,0.86,0.703,200,211,-0.44455,0.056872,NA
DVU1714,0.5471,0.0725,0.4554,0.246,0.174,0.517,37.04,0.851,0.684,671,697,-0.161263,0.091822,NA
DVU1715,0.5238,0.0903,0.4526,0.244,0.117,0.481,40.15,0.811,0.677,185,195,-0.058462,0.082051,NA
DVU1716,0.5729,0.1413,0.3667,0.296,0.146,0.518,36.3,0.786,0.687,112,114,-0.507895,0.026316,NA
DVU1717,0.6552,0.0185,0.4369,0.309,0.219,0.545,33.07,0.917,0.662,132,133,0.06015,0.067669,NA
DVU1718,0.7429,0.0515,0.4213,0.35,0.27,0.583,29.01,0.91,0.628,300,310,-0.265161,0.083871,NA
DVU1719,0.4787,0.1757,0.4206,0.292,0.178,0.547,39.52,0.751,0.683,265,279,-0.37957,0.039427,NA
DVU1720,0.4896,0.0625,0.4744,0.217,0.096,0.453,37.44,0.792,0.661,106,110,-0.505455,0.045455,NA
DVU1721,0.5502,0.0878,0.4892,0.268,0.198,0.529,36.13,0.849,0.665,524,550,-0.344545,0.061818,NA
DVU1722,0.4851,0.0769,0.44,0.176,0.104,0.451,40.33,0.823,0.692,113,117,-0.033333,0.017094,NA
DVU1723,0.509,0.0714,0.4697,0.281,0.215,0.537,38.66,0.831,0.69,177,184,0.167391,0.097826,NA
DVU1724,0.5453,0.0797,0.5286,0.254,0.206,0.534,35.31,0.856,0.656,515,534,-0.360487,0.099251,NA
DVU1725,0.4663,0.0898,0.4909,0.247,0.059,0.454,36.84,0.809,0.686,194,202,-0.621782,0.054455,NA
DVU1726,0.5538,0.1,0.4242,0.192,0.057,0.436,39.74,0.821,0.675,78,82,0.246341,0.012195,NA
DVU1727,0.5426,0.0526,0.4886,0.196,0.154,0.486,31.09,0.879,0.687,107,116,0.399138,0.077586,NA
DVU1728,0.6102,0.1089,0.4444,0.257,0.265,0.568,35.72,0.848,0.65,132,138,-0.468116,0.057971,NA
DVU1729,0.6026,0.1385,0.3667,0.315,0.302,0.591,41.98,0.784,0.63,88,92,-0.394565,0.086957,NA
DVU1730,0.6111,0.0875,0.32,0.325,0.272,0.571,31.68,0.806,0.667,98,101,0.067327,0.059406,NA
DVU1731,0.1915,0.439,0.325,0.148,-0.06,0.382,50.35,0.4,0.458,55,56,-0.15,0.089286,NA
DVU1732,0.2969,0.1897,0.4364,0.22,-0.004,0.431,50.78,0.597,0.582,72,75,0.049333,0.093333,NA
DVU1733,0.5455,0.1633,0.3696,0.255,0.192,0.534,41.87,0.726,0.562,73,73,-0.086301,0.150685,NA
DVU1734,0.5532,0.186,0.3171,0.241,0.235,0.554,38.3,0.696,0.575,56,58,-0.293104,0.051724,NA
DVU1735,0.6053,0.1765,0.2258,0.249,0.27,0.591,38.89,0.682,0.56,44,47,-0.808511,0.085106,NA
DVU1736,0.6346,0.1224,0.2708,0.373,0.261,0.574,34.82,0.754,0.646,61,64,-0.7375,0.046875,NA
DVU1737,0.3214,0.127,0.55,0.244,0.129,0.478,43.91,0.761,0.662,67,72,-0.111111,0.069444,NA
DVU1738,0.4703,0.0667,0.5478,0.253,0.176,0.51,35.37,0.84,0.671,206,214,-0.140187,0.084112,NA
DVU1740,0.3679,0.1176,0.6531,0.207,0.174,0.516,37.93,0.817,0.674,126,133,-0.735338,0.045113,NA
DVU1741,0.336,0.1654,0.4939,0.202,0.018,0.43,52.16,0.672,0.622,305,323,-0.774613,0.074303,NA
DVU1742,0.5385,0.1639,0.3158,0.271,0.131,0.493,54.54,0.707,0.582,75,79,-0.177215,0.050633,NA
DVU1743,0.4068,0.1712,0.5556,0.268,0.321,0.597,35.44,0.777,0.667,139,145,-0.608276,0.041379,NA
DVU1744,0.3065,0.2344,0.3175,0.223,0.079,0.446,50.61,0.527,0.546,74,80,-0.3125,0.075,NA
DVU1745,0.4406,0.2535,0.2857,0.265,0.211,0.535,57.54,0.587,0.553,172,179,-0.211173,0.067039,NA
DVU1746,0.4717,0.2174,0.2548,0.257,0.168,0.513,51.65,0.602,0.583,359,369,-0.304065,0.084011,NA
DVU1747,0.5114,0.2932,0.2175,0.273,0.207,0.539,50.66,0.58,0.534,957,981,-0.380326,0.09684,NA
DVU1748,0.327,0.4895,0.1361,0.231,0.046,0.463,52.98,0.353,0.394,581,590,-0.298983,0.074576,NA
DVU1749,0.2881,0.4545,0.2549,0.127,-0.19,0.329,54.53,0.429,0.493,70,73,-0.836986,0.054795,NA
DVU1750,0.5488,0.276,0.2727,0.239,0.124,0.486,46.52,0.668,0.583,253,260,-0.561539,0.115385,NA
DVU1751,0.3947,0.2581,0.2308,0.27,0.074,0.467,NA,0.467,0.396,45,48,0.041666,0.145833,NA
DVU1752,0.3906,0.3492,0.3279,0.282,0.101,0.5,47.93,0.592,0.62,76,79,-0.218987,0.113924,NA
DVU1753,0.44,0.1556,0.3864,0.173,0.094,0.463,41.84,0.722,0.643,54,57,0.226316,0.052632,NA
DVU1754,0.5217,0.1875,0.3846,0.272,0.163,0.508,43.1,0.758,0.63,132,135,-0.274815,0.066667,NA
DVU1755,0.5493,0.1884,0.2769,0.229,0.196,0.513,44.74,0.731,0.662,78,80,0.695,0.025,NA
DVU1756,0.6364,0.1538,0.3934,0.292,0.1,0.494,32.41,0.795,0.59,83,87,-0.685058,0.103448,NA
DVU1757,0.4216,0.1389,0.4945,0.191,0.035,0.44,49.69,0.737,0.608,357,373,-0.301877,0.080429,NA
DVU1758,0.5282,0.2595,0.289,0.202,0.102,0.473,47.13,0.677,0.584,226,235,-0.178724,0.097872,NA
DVU1759,0.3483,0.15,0.4444,0.279,0.071,0.466,51.87,0.647,0.601,116,122,-0.468033,0.07377,NA
DVU1760,0.3653,0.2517,0.2826,0.256,0.074,0.466,54.74,0.529,0.543,189,194,0.221134,0.097938,NA
DVU1761,0.4,0.3478,0.2558,0.196,0.102,0.468,53.1,0.532,0.508,62,63,-0.336508,0.047619,NA
DVU1762,0.5448,0.1624,0.2079,0.249,0.128,0.479,33.83,0.662,0.594,142,152,0.827631,0.131579,NA
DVU1763,0.275,0.3333,0.4286,0.162,-0.097,0.347,48.43,0.592,0.595,49,51,-0.211765,0.039216,NA
DVU1764,0.5122,0.0833,0.3636,0.245,0.334,0.593,42.46,0.767,0.637,86,89,0.207865,0.022472,NA
DVU1765,0.6126,0.1384,0.3584,0.267,0.164,0.511,38.83,0.788,0.63,448,464,-0.227371,0.075431,NA
DVU1766,0.4963,0.1459,0.3894,0.25,0.152,0.498,43.32,0.746,0.638,456,470,0.092128,0.034043,NA
DVU1767,0.5108,0.2046,0.3169,0.264,0.229,0.543,46.82,0.7,0.649,313,322,-0.163044,0.052795,NA
DVU1768,0.5678,0.1455,0.3377,0.225,0.156,0.495,42.65,0.769,0.649,394,410,0.112195,0.039024,NA
DVU1769,0.7337,0.0833,0.3618,0.354,0.272,0.587,31.66,0.864,0.633,397,421,-0.233254,0.083135,NA
DVU1770,0.6804,0.0737,0.382,0.286,0.18,0.529,37.31,0.84,0.612,119,123,-0.364228,0.089431,NA
DVU1771,0.4844,0.1303,0.4178,0.229,0.096,0.464,44.78,0.743,0.635,588,606,-0.156106,0.049505,NA
DVU1772,0.5215,0.1298,0.3595,0.23,0.125,0.484,46.13,0.728,0.628,655,673,-0.129123,0.071322,NA
DVU1773,0.4557,0.3857,0.1912,0.216,0.158,0.505,58.61,0.538,0.536,91,97,-0.794845,0.123711,NA
DVU1774,0.5252,0.1818,0.3288,0.253,0.204,0.523,43.3,0.706,0.593,279,293,-0.192491,0.075085,NA
DVU1775,0.5028,0.1538,0.319,0.234,0.14,0.49,44.59,0.696,0.623,204,214,-0.021963,0.03271,NA
DVU1776,0.1818,0.25,0.5417,0.09,-0.057,0.343,NA,0.543,0.441,35,37,0.443243,0.054054,NA
DVU1777,0.4532,0.1989,0.3988,0.213,0.158,0.504,49.82,0.671,0.584,234,245,-0.149796,0.093878,NA
DVU1778,0.4059,0.1351,0.3973,0.23,0.09,0.454,50.71,0.673,0.615,465,481,0.180457,0.047817,NA
DVU1779,0.2414,0.3393,0.2593,0.204,0.034,0.429,44.62,0.444,0.569,63,68,0.252941,0.058824,NA
DVU1780,0.4167,0.1622,0.4429,0.218,0.077,0.454,61,0.68,0.581,97,101,-0.326733,0.118812,NA
DVU1781,0.4144,0.1453,0.4431,0.216,0.036,0.426,47.34,0.713,0.615,209,221,0.019457,0.058824,NA
DVU1782,0.4923,0.1099,0.4497,0.235,0.127,0.478,42.67,0.766,0.621,462,475,-0.220421,0.050526,NA
DVU1783,0.4975,0.1236,0.3964,0.237,0.049,0.456,46.46,0.709,0.591,237,250,0.028,0.112,NA
DVU1784,0.5787,0.2092,0.3077,0.272,0.219,0.545,40,0.736,0.623,246,253,0.012648,0.067194,NA
DVU1785,0.5169,0.1341,0.3517,0.231,0.171,0.492,43.52,0.749,0.598,191,200,1.0325,0.09,NA
DVU1786,0.4197,0.1445,0.376,0.251,0.13,0.484,50.63,0.647,0.586,343,352,-0.202841,0.073864,NA
DVU1787,0.3279,0.125,0.5032,0.228,0.054,0.449,47.27,0.673,0.611,205,208,-0.233173,0.091346,NA
DVU1788,0.6351,0.1023,0.4239,0.319,0.254,0.562,38.5,0.796,0.578,573,590,-0.437627,0.052542,NA
DVU1789,0.4088,0.1545,0.4785,0.213,0.089,0.468,47.53,0.703,0.605,549,572,-0.357343,0.078671,NA
DVU1790,0.4701,0.1256,0.3865,0.255,0.158,0.498,45.24,0.716,0.631,753,771,-0.171077,0.057069,NA
DVU1791,0.5495,0.127,0.3554,0.274,0.123,0.483,43.34,0.727,0.617,143,149,-0.331544,0.026846,NA
DVU1792,0.6744,0.0196,0.5208,0.289,0.149,0.508,31.74,0.857,0.552,63,67,-1.013433,0.074627,NA
DVU1793,0.2812,0.0417,0.5652,0.099,-0.24,0.219,51.82,0.688,0.604,32,32,0.328125,0.125,NA
DVU1794,0.6038,0.0455,0.3077,0.338,0.247,0.55,34.59,0.733,0.582,60,67,0.28806,0.119403,NA
DVU1795,0.5571,0.1039,0.4054,0.284,0.101,0.483,37.5,0.775,0.607,89,90,-0.366667,0.044444,NA
DVU1796,0.3636,0.375,0.2812,0.134,0.084,0.459,43.08,0.568,0.6,37,40,-0.1125,0.075,NA
DVU1797,0.4215,0.1013,0.4439,0.21,0.064,0.439,46.19,0.718,0.641,280,291,-0.146392,0.065292,NA
DVU1798,0.4406,0.1145,0.4576,0.194,0.077,0.444,45.97,0.731,0.595,160,171,0.492982,0.111111,NA
DVU1799,0.5018,0.1038,0.415,0.241,0.135,0.487,44.35,0.763,0.647,657,682,-0.125953,0.052786,NA
DVU4005,0.4184,0.1653,0.3515,0.211,0.057,0.44,50.98,0.669,0.659,302,315,0.212698,0.073016,NA
DVU1801,0.5213,0.1118,0.408,0.231,0.115,0.478,44.13,0.769,0.621,381,395,-0.198987,0.101266,NA
DVU1802,0.4713,0.1233,0.3598,0.213,0.115,0.464,47.74,0.725,0.652,276,286,0.254196,0.06993,NA
DVU1803,0.3773,0.1228,0.4416,0.23,0.183,0.511,47.21,0.693,0.654,352,362,0.219613,0.058011,NA
DVU1804,0.3665,0.1045,0.4372,0.205,0.101,0.459,48.54,0.684,0.64,580,609,0.021018,0.077176,NA
DVU1805,0.561,0.1921,0.3259,0.244,0.171,0.507,41.57,0.737,0.626,471,487,-0.157084,0.051335,NA
DVU1806,0.5305,0.0936,0.4299,0.271,0.239,0.546,41.33,0.772,0.616,434,456,0.175658,0.052632,NA
DVU1807,0.6139,0.1515,0.2441,0.245,0.114,0.47,37.39,0.74,0.632,285,295,0.051186,0.037288,NA
DVU1808,0.5584,0.1691,0.3333,0.234,0.137,0.491,41.91,0.753,0.647,344,358,-0.024581,0.030726,NA
DVU1809,0.631,0.1332,0.3179,0.268,0.268,0.571,38.68,0.795,0.641,511,528,-0.231061,0.0625,NA
DVU1810,0.3565,0.0874,0.48,0.222,0.127,0.444,44.03,0.706,0.59,126,140,0.716428,0.15,NA
DVU1811,0.3922,0.1283,0.4265,0.19,0.058,0.41,49.52,0.714,0.62,266,287,0.959582,0.083624,NA
DVU1812,0.4676,0.1348,0.4238,0.222,0.068,0.453,45.8,0.723,0.598,397,426,-0.114319,0.100939,NA
DVU1813,0.3846,0.0882,0.5161,0.244,0.152,0.484,51.4,0.72,0.55,93,97,1.153608,0.164948,NA
DVU1814,0.45,0.1189,0.3939,0.259,0.11,0.466,50.34,0.689,0.557,193,203,0.609359,0.147783,NA
DVU1815,0.4969,0.1,0.4454,0.226,0.152,0.495,43.12,0.778,0.587,505,541,0.674307,0.157116,NA
DVU1816,0.4281,0.1263,0.4056,0.229,0.051,0.451,45.01,0.703,0.644,364,373,-0.169169,0.061662,NA
DVU1817,0.5385,0.1375,0.3165,0.279,0.04,0.464,55.49,0.691,0.579,97,103,-0.083495,0.067961,NA
DVU1818,0.5828,0.078,0.4073,0.305,0.272,0.563,38.6,0.816,0.596,348,362,0.613536,0.096685,NA
DVU1819,0.5987,0.0525,0.3804,0.274,0.229,0.538,38.14,0.817,0.642,515,532,0.246428,0.058271,NA
DVU1820,0.6458,0.0714,0.3297,0.399,0.234,0.56,34.14,0.793,0.625,116,121,0.063636,0.07438,NA
DVU1821,0.5251,0.0942,0.4335,0.254,0.193,0.525,41.35,0.792,0.648,240,251,0.053785,0.055777,NA
DVU1822,0.6167,0.1,0.4043,0.249,0.173,0.518,40.43,0.828,0.627,338,364,-0.215659,0.115385,NA
DVU1823,0.5634,0.1103,0.4193,0.262,0.186,0.525,41.58,0.79,0.63,491,507,-0.171795,0.059172,NA
DVU1824,0.4155,0.1168,0.4271,0.198,0.022,0.407,50.97,0.712,0.64,243,254,0.129921,0.070866,NA
DVU1825,0.5673,0.1731,0.3259,0.233,0.157,0.504,40.59,0.757,0.646,419,442,0.125566,0.042986,NA
DVU1826,0.7429,0.0845,0.2174,0.322,0.203,0.552,31.28,0.77,0.633,87,90,-0.266667,0.066667,NA
DVU1827,0.6282,0.1234,0.2847,0.262,0.215,0.531,37.68,0.774,0.644,390,407,-0.065602,0.04914,NA
DVU1828,0.5437,0.1491,0.3488,0.233,0.16,0.502,42.76,0.747,0.639,604,629,-0.249126,0.062003,NA
DVU1829,0.3256,0.2308,0.4054,0.19,-0.003,0.429,48.83,0.592,0.601,49,51,-0.515686,0,NA
DVU1830,0.4689,0.2166,0.3525,0.187,0.103,0.463,51.37,0.689,0.604,341,354,-0.257062,0.079096,NA
DVU1832,0.3793,0.3077,0.25,0.177,-0.039,0.394,61,0.515,0.485,33,33,-0.239394,0.030303,NA
DVU1833,0.5894,0.0934,0.365,0.339,0.272,0.575,35.94,0.76,0.608,1147,1191,-0.270529,0.06717,NA
DVU1834,0.601,0.0897,0.3833,0.29,0.228,0.548,38.3,0.787,0.612,1180,1234,-0.200405,0.08752,NA
DVU1835,0.4176,0.1469,0.3853,0.223,0.12,0.473,52.79,0.681,0.632,298,310,0.165806,0.074194,NA
DVU1836,0.4451,0.2152,0.3697,0.207,0.056,0.441,47.12,0.684,0.633,367,383,-0.087467,0.046997,NA
DVU1837,0.54,0.1543,0.4056,0.294,0.173,0.528,42.18,0.73,0.59,248,260,-0.611923,0.146154,NA
DVU1838,0.5269,0.1017,0.3991,0.23,0.088,0.466,43.14,0.752,0.609,298,307,0.027036,0.081433,NA
DVU1839,0.6071,0.0824,0.32,0.279,0.12,0.485,35.47,0.743,0.586,101,107,0.279439,0.065421,NA
DVU1840,0.4,0.1185,0.4228,0.192,0.043,0.424,46.39,0.692,0.634,354,361,0.115235,0.052632,NA
DVU1841,0.5352,0.087,0.3939,0.282,0.192,0.523,43.08,0.743,0.588,327,337,-0.174778,0.086053,NA
DVU1842,0.5131,0.1285,0.3191,0.292,0.215,0.533,41.21,0.697,0.617,304,318,-0.018868,0.09434,NA
DVU1843,0.4047,0.1573,0.3591,0.216,0.07,0.455,49.43,0.64,0.612,308,317,-0.271293,0.050473,NA
DVU1844,0.3556,0.2184,0.4268,0.185,0.073,0.435,59.81,0.62,0.538,108,109,-0.054129,0.073394,NA
DVU1845,0.5,0.1493,0.4375,0.198,0.108,0.47,52.05,0.747,0.596,83,90,-0.643333,0.044444,NA
DVU1846,0.4937,0.1203,0.4224,0.233,0.125,0.459,54.63,0.738,0.55,172,185,0.905405,0.118919,NA
DVU1847,0.5373,0.0513,0.3899,0.275,0.136,0.493,44.54,0.766,0.616,290,297,0.161616,0.047138,NA
DVU1848,0.3955,0.0719,0.4832,0.163,0.064,0.416,45.69,0.768,0.641,185,197,0.706091,0.116751,NA
DVU1849,0.474,0.1529,0.3522,0.235,0.178,0.5,51.14,0.69,0.621,200,210,-0.097619,0.061905,NA
DVU1850,0.5574,0.1261,0.3505,0.252,0.235,0.537,40.6,0.75,0.594,136,142,0.295775,0.042254,NA
DVU1851,0.6349,0.1149,0.3366,0.258,0.173,0.516,38.13,0.8,0.604,419,440,-0.1025,0.086364,NA
DVU1852,0.381,0.2941,0.3497,0.196,0.009,0.426,49.77,0.585,0.571,195,203,-0.293596,0.078818,NA
DVU1853,0.35,0.2027,0.411,0.246,0.159,0.489,53.21,0.63,0.612,92,98,-0.478571,0.061224,NA
DVU1854,0.455,0.2234,0.3237,0.253,0.196,0.538,50.36,0.631,0.572,225,230,-0.306522,0.034783,NA
DVU1855,0.4483,0.2118,0.3133,0.19,-0.007,0.392,47.34,0.637,0.594,102,106,-0.238679,0.075472,NA
DVU1856,0.3273,0.1277,0.4255,0.213,0.125,0.475,56.34,0.644,0.575,59,62,0.182258,0.096774,NA
DVU1857,0.511,0.1138,0.4154,0.284,0.114,0.494,43.2,0.74,0.597,674,695,-0.075252,0.051799,NA
DVU1858,0.3401,0.1364,0.4603,0.236,0.047,0.441,55.15,0.635,0.59,170,178,-0.260674,0.095506,NA
DVU1859,0.4722,0.2258,0.3103,0.312,0.134,0.487,39.21,0.667,0.593,39,41,0.485366,0.097561,NA
DVU1860,0.4589,0.1538,0.3649,0.24,0.154,0.489,47.79,0.701,0.614,479,502,0.444024,0.115538,NA
DVU1861,0.5986,0.1497,0.3919,0.258,0.213,0.537,39.34,0.776,0.599,361,371,-0.53558,0.061995,NA
DVU1862,0.5906,0.1679,0.3024,0.275,0.276,0.575,42.48,0.739,0.627,322,331,-0.420544,0.048338,NA
DVU1863,0.5148,0.1481,0.3415,0.244,0.176,0.5,47.89,0.722,0.621,266,272,0.171691,0.058824,NA
DVU1864,0.7101,0.1831,0.2812,0.336,0.285,0.589,39.03,0.744,0.534,90,93,-0.594624,0.086022,NA
DVU1865,0.4318,0.125,0.3889,0.267,0.343,0.6,30.44,0.733,0.652,45,46,0.786956,0.043478,NA
DVU1866,0.5049,0.1366,0.3966,0.253,0.22,0.536,45.66,0.768,0.662,224,233,-0.079399,0.06867,NA
DVU1867,0.6039,0.1531,0.2677,0.274,0.157,0.514,39.94,0.75,0.637,276,282,0.019858,0.085106,NA
DVU1868,0.626,0.1087,0.3349,0.27,0.241,0.549,38.37,0.789,0.618,284,292,0.058562,0.061644,NA
DVU1869,0.601,0.1483,0.3246,0.29,0.203,0.543,38.8,0.756,0.619,746,771,-0.04358,0.042802,NA
DVU1870,0.3808,0.11,0.4368,0.192,0.027,0.427,50.15,0.688,0.645,253,265,-0.058868,0.071698,NA
DVU1871,0.4898,0.1029,0.4466,0.226,0.134,0.481,44.93,0.774,0.629,455,468,0.132479,0.053419,NA
